Hour,Region,AvailableRenewable_MW,Total_Load_MW,ElectricityPrice_CNY_per_MWh,SellPrice_CNY_per_MWh,CarbonIntensity_tCO2_per_MWh,ChargePower_MW,DischargePower_MW,SOC_MWh,RenewableToLoad_MW,RenewableCharge_MW,GridCharge_MW,GridPurchase_MW,GridLoadPurchase_MW,GridSell_MW,Curtailment_MW,NetGridImport_MW,GridEnergyForCost_MW,ChargeMode,GridImportMode,Method
10,RegionB,770.0000000000,531.3600000000,694.4100000000,0.0000000000,0.5535000000,0.0000000000,0.0000000000,32.0000000000,531.3600000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,238.6400000000,0.0000000000,0.0000000000,0,1,Q2_candidate_plus_integrated_storage_MILP
11,RegionB,762.8460000000,531.3599995500,694.8300000000,0.0000000000,0.5468000000,0.0000000000,0.0000000000,32.0000000000,531.3599995500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,231.4860004500,0.0000000000,0.0000000000,0,1,Q2_candidate_plus_integrated_storage_MILP
12,RegionB,741.8670000000,482.3819995500,695.2500000000,0.0000000000,0.5427000000,0.0000000000,0.0000000000,32.0000000000,482.3819995500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,259.4850004500,0.0000000000,0.0000000000,0,1,Q2_candidate_plus_integrated_storage_MILP
13,RegionB,708.4910000000,443.2360495500,695.6600000000,0.0000000000,0.5417000000,0.0000000000,0.0000000000,32.0000000000,443.2360495500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,265.2549504500,0.0000000000,0.0000000000,0,1,Q2_candidate_plus_integrated_storage_MILP
14,RegionB,665.0000000000,422.4338995500,696.0600000000,0.0000000000,0.5439000000,0.0000000000,0.0000000000,32.0000000000,422.4338995500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,242.5661004500,0.0000000000,0.0000000000,0,1,Q2_candidate_plus_integrated_storage_MILP
15,RegionB,614.3550000000,377.5004995500,696.4500000000,0.0000000000,0.5491000000,0.0000000000,0.0000000000,32.0000000000,377.5004995500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,236.8545004500,0.0000000000,0.0000000000,0,1,Q2_candidate_plus_integrated_storage_MILP
16,RegionB,560.0000000000,341.6593500000,696.8400000000,0.0000000000,0.5570000000,33.0849189048,0.0000000000,62.7689745815,341.6593500000,33.0849189048,0.0000000000,0.0000000000,0.0000000000,0.0000000000,185.2557310952,0.0000000000,0.0000000000,1,1,Q2_candidate_plus_integrated_storage_MILP
17,RegionB,505.6450000000,344.7360004500,1010.9700000000,0.0000000000,0.5671000000,90.0000000000,0.0000000000,146.4689745815,344.7360004500,90.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,70.9089995500,0.0000000000,0.0000000000,1,1,Q2_candidate_plus_integrated_storage_MILP
18,RegionB,455.0000000000,291.1005004500,1011.5100000000,0.0000000000,0.5788000000,90.0000000000,0.0000000000,230.1689745815,291.1005004500,90.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,73.8994995500,0.0000000000,0.0000000000,1,1,Q2_candidate_plus_integrated_storage_MILP
19,RegionB,411.5090000000,336.9734995500,1012.0300000000,0.0000000000,0.5913000000,74.5355004500,0.0000000000,299.4869900000,336.9734995500,74.5355004500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1,1,Q2_candidate_plus_integrated_storage_MILP
20,RegionB,378.1330000000,356.0760000000,1012.5400000000,0.0000000000,0.6038000000,22.0570000000,0.0000000000,320.0000000000,356.0760000000,22.0570000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0000000000,0.0000000000,0.0000000000,1,1,Q2_candidate_plus_integrated_storage_MILP
21,RegionB,357.1540000000,375.3270000000,1013.0400000000,0.0000000000,0.6155000000,0.0000000000,18.1730000000,300.2467391304,357.1540000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,1,Q2_candidate_plus_integrated_storage_MILP
22,RegionB,350.0000000000,423.6299995500,629.0800000000,0.0000000000,0.6256000000,0.0000000000,56.1569995500,239.2065222283,350.0000000000,0.0000000000,0.0000000000,17.4730000000,17.4730000000,0.0000000000,0.0000000000,17.4730000000,0.0000000000,0,1,Q2_candidate_plus_integrated_storage_MILP
23,RegionB,357.1540000000,444.7440004500,629.3700000000,0.0000000000,0.6334000000,0.0000000000,87.5900004500,144.0000000000,357.1540000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,1,Q2_candidate_plus_integrated_storage_MILP
0,RegionC,378.1330000000,468.1097995400,435.5000000000,0.0000000000,0.5925000000,0.0000000000,85.0000000000,42.6086956522,378.1330000000,0.0000000000,0.0000000000,4.9767995400,4.9767995400,0.0000000000,0.0000000000,4.9767995400,0.0000000000,0,1,Q2_candidate_plus_integrated_storage_MILP
1,RegionC,411.5090000000,536.5440000000,435.7800000000,0.0000000000,0.5946000000,0.0000000000,0.0000000000,42.6086956522,411.5090000000,0.0000000000,0.0000000000,125.0350000000,125.0350000000,0.0000000000,0.0000000000,125.0350000000,0.0000000000,0,1,Q2_candidate_plus_integrated_storage_MILP
2,RegionC,455.0000000000,536.5440000000,436.0700000000,0.0000000000,0.5937000000,0.0000000000,11.6000000000,30.0000000000,455.0000000000,0.0000000000,0.0000000000,69.9440000000,69.9440000000,0.0000000000,0.0000000000,69.9440000000,0.0000000000,0,1,Q2_candidate_plus_integrated_storage_MILP
3,RegionC,505.6450000000,536.5440000000,436.3500000000,0.0000000000,0.5900000000,0.0000000000,-0.0000000000,30.0000000000,505.6450000000,-0.0000000000,0.0000000000,30.8990000000,30.8990000000,0.0000000000,0.0000000000,30.8990000000,0.0000000000,0,1,Q2_candidate_plus_integrated_storage_MILP
4,RegionC,560.0000000000,536.5440000000,436.6300000000,0.0000000000,0.5836000000,0.0000000000,0.0000000000,30.0000000000,536.5440000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,23.4560000000,0.0000000000,0.0000000000,0,1,Q2_candidate_plus_integrated_storage_MILP
5,RegionC,614.3550000000,536.5439995400,436.9100000000,0.0000000000,0.5751000000,0.0000000000,0.0000000000,30.0000000000,536.5439995400,-0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,77.8110004600,0.0000000000,0.0000000000,0,1,Q2_candidate_plus_integrated_storage_MILP
6,RegionC,665.0000000000,536.5440000000,437.1900000000,0.0000000000,0.5651000000,0.0000000000,0.0000000000,30.0000000000,536.5440000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,128.4560000000,0.0000000000,0.0000000000,0,1,Q2_candidate_plus_integrated_storage_MILP
7,RegionC,708.4910000000,536.5439995400,673.0300000000,0.0000000000,0.5543000000,0.0000000000,0.0000000000,30.0000000000,536.5439995400,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,171.9470004600,0.0000000000,0.0000000000,0,1,Q2_candidate_plus_integrated_storage_MILP
8,RegionC,741.8670000000,536.5440004600,673.4500000000,0.0000000000,0.5435000000,0.0000000000,0.0000000000,30.0000000000,536.5440004600,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,205.3229995400,0.0000000000,0.0000000000,0,1,Q2_candidate_plus_integrated_storage_MILP
9,RegionC,762.8460000000,536.5440004600,673.8700000000,0.0000000000,0.5334000000,0.0000000000,0.0000000000,30.0000000000,536.5440004600,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,226.3019995400,0.0000000000,0.0000000000,0,1,Q2_candidate_plus_integrated_storage_MILP
10,RegionC,770.0000000000,536.5440004600,674.2900000000,0.0000000000,0.5249000000,0.0000000000,0.0000000000,30.0000000000,536.5440004600,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,233.4559995400,0.0000000000,0.0000000000,0,1,Q2_candidate_plus_integrated_storage_MILP
11,RegionC,762.8460000000,527.8500000000,674.6900000000,0.0000000000,0.5185000000,0.0000000000,0.0000000000,30.0000000000,527.8500000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,234.9960000000,0.0000000000,0.0000000000,0,1,Q2_candidate_plus_integrated_storage_MILP
12,RegionC,741.8670000000,474.4163995400,675.1000000000,0.0000000000,0.5147000000,0.0000000000,0.0000000000,30.0000000000,474.4163995400,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,267.4506004600,0.0000000000,0.0000000000,0,1,Q2_candidate_plus_integrated_storage_MILP
13,RegionC,708.4910000000,464.8116004600,675.4900000000,0.0000000000,0.5137000000,0.0000000000,0.0000000000,30.0000000000,464.8116004600,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,243.6793995400,0.0000000000,0.0000000000,0,1,Q2_candidate_plus_integrated_storage_MILP
14,RegionC,665.0000000000,429.9031200000,675.8800000000,0.0000000000,0.5157000000,0.0000000000,0.0000000000,30.0000000000,429.9031200000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,235.0968800000,0.0000000000,0.0000000000,0,1,Q2_candidate_plus_integrated_storage_MILP
15,RegionC,614.3550000000,386.5642204600,676.2700000000,0.0000000000,0.5207000000,0.0000000000,0.0000000000,30.0000000000,386.5642204600,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,227.7907795400,0.0000000000,0.0000000000,0,1,Q2_candidate_plus_integrated_storage_MILP
16,RegionC,560.0000000000,342.1309804600,676.6400000000,0.0000000000,0.5282000000,0.0000000000,0.0000000000,30.0000000000,342.1309804600,-0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,217.8690195400,0.0000000000,0.0000000000,0,1,Q2_candidate_plus_integrated_storage_MILP
17,RegionC,505.6450000000,368.8050000000,981.6700000000,0.0000000000,0.5378000000,85.0000000000,0.0000000000,109.0500000000,368.8050000000,85.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,51.8400000000,0.0000000000,0.0000000000,1,1,Q2_candidate_plus_integrated_storage_MILP
18,RegionC,455.0000000000,293.0016000000,982.1900000000,0.0000000000,0.5489000000,85.0000000000,0.0000000000,188.1000000000,293.0016000000,85.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,76.9984000000,0.0000000000,0.0000000000,1,1,Q2_candidate_plus_integrated_storage_MILP
19,RegionC,411.5090000000,312.7908000000,982.7000000000,0.0000000000,0.5608000000,81.5489481141,0.0000000000,263.9405217461,312.7908000000,81.5489481141,0.0000000000,0.0000000000,0.0000000000,0.0000000000,17.1692518859,0.0000000000,0.0000000000,1,1,Q2_candidate_plus_integrated_storage_MILP
20,RegionC,378.1330000000,349.6919995400,983.1900000000,0.0000000000,0.5726000000,28.4410004600,0.0000000000,290.3906521739,349.6919995400,28.4410004600,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0000000000,0.0000000000,0.0000000000,1,1,Q2_candidate_plus_integrated_storage_MILP
21,RegionC,357.1540000000,364.5959995400,983.6700000000,0.0000000000,0.5837000000,0.0000000000,7.4419995400,282.3015222391,357.1540000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,1,Q2_candidate_plus_integrated_storage_MILP
22,RegionC,350.0000000000,400.5174004600,610.8500000000,0.0000000000,0.5932000000,0.0000000000,50.5174004600,227.3913043478,350.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,1,Q2_candidate_plus_integrated_storage_MILP
23,RegionC,357.1540000000,455.6622004600,611.1300000000,0.0000000000,0.6006000000,0.0000000000,85.0000000000,135.0000000000,357.1540000000,0.0000000000,0.0000000000,13.5082004600,13.5082004600,0.0000000000,0.0000000000,13.5082004600,0.0000000000,0,1,Q2_candidate_plus_integrated_storage_MILP
0,RegionD,378.1330000000,443.3408000000,279.5000000000,218.0100000000,0.4525000000,0.0000000000,65.2078000000,334.8840860215,378.1330000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,0,Q2_candidate_plus_integrated_storage_MILP
1,RegionD,411.5090000000,465.3568000000,279.6800000000,218.1500000000,0.4541000000,0.0000000000,53.8478000000,276.9832258065,411.5090000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,0,Q2_candidate_plus_integrated_storage_MILP
2,RegionD,455.0000000000,526.2080004267,279.8600000000,218.2900000000,0.4534000000,0.0000000000,71.2080004267,200.4154834122,455.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,0,Q2_candidate_plus_integrated_storage_MILP
3,RegionD,505.6450000000,523.9167995733,280.0500000000,218.4400000000,0.4505000000,0.0000000000,18.2717995733,180.7683870968,505.6450000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,0,Q2_candidate_plus_integrated_storage_MILP
4,RegionD,560.0000000000,588.2112004267,280.2300000000,218.5800000000,0.4456000000,0.0000000000,28.2112004267,150.4337629820,560.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,0,Q2_candidate_plus_integrated_storage_MILP
5,RegionD,614.3550000000,589.3631995733,280.4100000000,218.7200000000,0.4391000000,24.9918004267,0.0000000000,173.9260553831,589.3631995733,24.9918004267,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1,0,Q2_candidate_plus_integrated_storage_MILP
6,RegionD,665.0000000000,587.3408000000,280.5900000000,218.8600000000,0.4315000000,77.6592000000,0.0000000000,246.9257033831,587.3408000000,77.6592000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1,0,Q2_candidate_plus_integrated_storage_MILP
7,RegionD,708.4910000000,607.4111995733,431.9500000000,336.9200000000,0.4233000000,0.0000000000,9.9249523740,236.2537115831,597.4862471993,0.0000000000,0.0000000000,0.0000000000,0.0000000000,111.0047528007,0.0000000000,-111.0047528007,0.0000000000,0,0,Q2_candidate_plus_integrated_storage_MILP
8,RegionD,741.8670000000,580.3135995733,432.2200000000,337.1300000000,0.4150000000,0.0000000000,18.4465995733,216.4186582785,561.8670000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,180.0000000000,0.0000000000,-180.0000000000,0.0000000000,0,0,Q2_candidate_plus_integrated_storage_MILP
9,RegionD,762.8460000000,548.3391995733,432.4800000000,337.3300000000,0.4074000000,34.5068004267,0.0000000000,248.8550506796,548.3391995733,34.5068004267,0.0000000000,0.0000000000,0.0000000000,180.0000000000,0.0000000000,-180.0000000000,0.0000000000,1,0,Q2_candidate_plus_integrated_storage_MILP
10,RegionD,770.0000000000,541.8367995733,432.7500000000,337.5500000000,0.4008000000,48.1632004267,0.0000000000,294.1284590807,541.8367995733,48.1632004267,0.0000000000,0.0000000000,0.0000000000,180.0000000000,0.0000000000,-180.0000000000,0.0000000000,1,0,Q2_candidate_plus_integrated_storage_MILP
11,RegionD,762.8460000000,488.7296000000,433.0100000000,337.7500000000,0.3959000000,94.1164000000,0.0000000000,382.5978750807,488.7296000000,94.1164000000,0.0000000000,0.0000000000,0.0000000000,180.0000000000,0.0000000000,-180.0000000000,0.0000000000,1,0,Q2_candidate_plus_integrated_storage_MILP
12,RegionD,741.8670000000,452.1600000000,433.2700000000,337.9500000000,0.3930000000,109.7070000000,0.0000000000,485.7224550807,452.1600000000,109.7070000000,0.0000000000,0.0000000000,0.0000000000,180.0000000000,0.0000000000,-180.0000000000,0.0000000000,1,0,Q2_candidate_plus_integrated_storage_MILP
13,RegionD,708.4910000000,453.5424000000,433.5300000000,338.1500000000,0.3923000000,74.9486000000,0.0000000000,556.1741390807,453.5424000000,74.9486000000,0.0000000000,0.0000000000,0.0000000000,180.0000000000,0.0000000000,-180.0000000000,0.0000000000,1,0,Q2_candidate_plus_integrated_storage_MILP
14,RegionD,665.0000000000,390.1311995733,433.7800000000,338.3500000000,0.3938000000,94.8688004267,0.0000000000,645.3508114818,390.1311995733,94.8688004267,0.0000000000,0.0000000000,0.0000000000,180.0000000000,0.0000000000,-180.0000000000,0.0000000000,1,0,Q2_candidate_plus_integrated_storage_MILP
15,RegionD,614.3550000000,388.6515195733,434.0200000000,338.5400000000,0.3976000000,45.7034804267,0.0000000000,688.3120830829,388.6515195733,45.7034804267,0.0000000000,0.0000000000,0.0000000000,180.0000000000,0.0000000000,-180.0000000000,0.0000000000,1,0,Q2_candidate_plus_integrated_storage_MILP
