Hour,Region,PricePeriod,ElectricityPrice_CNY_per_MWh,SellPrice_CNY_per_MWh,CarbonIntensity_tCO2_per_MWh,AvailableRenewable_MW,NonAI_IT_Load_MW,AbsoluteHour,AI_IT_Load_MW,IT_Load_MW,PUE,Total_Load_MW,Q2Method
50,RegionA,Valley,472.8600000000,0.0000000000,0.6833000000,650.0000000000,386.0133330000,2378,2.7000000000,388.7133330000,1.3500000000,524.7629995500,rolling_shadow_price_exchange::lagrangian_balanced
51,RegionA,Valley,473.0400000000,0.0000000000,0.6787000000,722.3500000000,393.1773330000,2379,2.7426666667,395.9199996667,1.3500000000,534.4919995500,rolling_shadow_price_exchange::lagrangian_balanced
52,RegionA,Valley,473.2200000000,0.0000000000,0.6712000000,800.0000000000,376.7273330000,2380,2.2293333333,378.9566663333,1.3500000000,511.5914995500,rolling_shadow_price_exchange::lagrangian_balanced
53,RegionA,Valley,473.3900000000,0.0000000000,0.6612000000,877.6500000000,374.4486670000,2381,1.8813333333,376.3300003333,1.3500000000,508.0455004500,rolling_shadow_price_exchange::lagrangian_balanced
54,RegionA,Valley,473.5500000000,0.0000000000,0.6496000000,950.0000000000,376.8520000000,2382,1.5906666667,378.4426666667,1.3500000000,510.8976000000,rolling_shadow_price_exchange::lagrangian_balanced
55,RegionA,Flat,728.7800000000,0.0000000000,0.6370000000,1012.1300000000,391.7786670000,2383,2.9213333333,394.7000003333,1.3500000000,532.8450004500,rolling_shadow_price_exchange::lagrangian_balanced
56,RegionA,Flat,729.0000000000,0.0000000000,0.6245000000,1059.8100000000,394.5553330000,2384,3.1680000000,397.7233330000,1.3500000000,536.9264995500,rolling_shadow_price_exchange::lagrangian_balanced
57,RegionA,Flat,729.2000000000,0.0000000000,0.6128000000,1089.7800000000,397.4733330000,2385,2.9666666667,400.4399996667,1.3500000000,540.5939995500,rolling_shadow_price_exchange::lagrangian_balanced
58,RegionA,Flat,729.4000000000,0.0000000000,0.6027000000,1100.0000000000,396.8240000000,2386,18.1760000000,415.0000000000,1.3500000000,560.2500000000,rolling_shadow_price_exchange::lagrangian_balanced
59,RegionA,Flat,729.5700000000,0.0000000000,0.5950000000,1089.7800000000,369.5850000000,2387,17.9266666667,387.5116666667,1.3500000000,523.1407500000,rolling_shadow_price_exchange::lagrangian_balanced
60,RegionA,Flat,729.7400000000,0.0000000000,0.5902000000,1059.8100000000,342.4593330000,2388,17.6253333333,360.0846663333,1.3500000000,486.1142995500,rolling_shadow_price_exchange::lagrangian_balanced
61,RegionA,Flat,729.8900000000,0.0000000000,0.5887000000,1012.1300000000,315.1733330000,2389,17.5133333333,332.6866663333,1.3500000000,449.1269995500,rolling_shadow_price_exchange::lagrangian_balanced
62,RegionA,Flat,730.0200000000,0.0000000000,0.5905000000,950.0000000000,303.7700000000,2390,14.0933333333,317.8633333333,1.3500000000,429.1155000000,rolling_shadow_price_exchange::lagrangian_balanced
63,RegionA,Flat,730.1400000000,0.0000000000,0.5955000000,877.6500000000,261.0856670000,2391,1.9200000000,263.0056670000,1.3500000000,355.0576504500,rolling_shadow_price_exchange::lagrangian_balanced
64,RegionA,Flat,730.2400000000,0.0000000000,0.6035000000,800.0000000000,246.1323330000,2392,1.8026666667,247.9349996667,1.3500000000,334.7122495500,rolling_shadow_price_exchange::lagrangian_balanced
65,RegionA,Peak,1058.9800000000,0.0000000000,0.6138000000,722.3500000000,205.5583330000,2393,3.1066666667,208.6649996667,1.3500000000,281.6977495500,rolling_shadow_price_exchange::lagrangian_balanced
66,RegionA,Peak,1059.0900000000,0.0000000000,0.6258000000,650.0000000000,216.9636670000,2394,2.9880000000,219.9516670000,1.3500000000,296.9347504500,rolling_shadow_price_exchange::lagrangian_balanced
67,RegionA,Peak,1059.1700000000,0.0000000000,0.6386000000,587.8700000000,224.5660000000,2395,2.6173333333,227.1833333333,1.3500000000,306.6975000000,rolling_shadow_price_exchange::lagrangian_balanced
68,RegionA,Peak,1059.2300000000,0.0000000000,0.6514000000,540.1900000000,219.6760000000,2396,3.0440000000,222.7200000000,1.3500000000,300.6720000000,rolling_shadow_price_exchange::lagrangian_balanced
69,RegionA,Peak,1059.2700000000,0.0000000000,0.6633000000,510.2200000000,207.5086670000,2397,2.1813333333,209.6900003333,1.3500000000,283.0815004500,rolling_shadow_price_exchange::lagrangian_balanced
70,RegionA,Flat,657.4900000000,0.0000000000,0.6735000000,500.0000000000,260.8906670000,2398,4.9893333333,265.8800003333,1.3500000000,358.9380004500,rolling_shadow_price_exchange::lagrangian_balanced
71,RegionA,Flat,657.4900000000,0.0000000000,0.6812000000,510.2200000000,302.2800000000,2399,3.9400000000,306.2200000000,1.3500000000,413.3970000000,rolling_shadow_price_exchange::lagrangian_balanced
0,RegionB,Valley,440.3000000000,0.0000000000,0.6112000000,540.1900000000,329.5996670000,2328,9.1600000000,338.7596670000,1.3500000000,457.3255504500,rolling_shadow_price_exchange::lagrangian_balanced
1,RegionB,Valley,440.5000000000,0.0000000000,0.6132000000,587.8700000000,349.9616670000,2329,22.6000000000,372.5616670000,1.3500000000,502.9582504500,rolling_shadow_price_exchange::lagrangian_balanced
2,RegionB,Valley,440.7100000000,0.0000000000,0.6121000000,650.0000000000,354.2093330000,2330,24.5506666667,378.7599996667,1.3500000000,511.3259995500,rolling_shadow_price_exchange::lagrangian_balanced
3,RegionB,Valley,440.9200000000,0.0000000000,0.6079000000,722.3500000000,352.7773330000,2331,26.4826666667,379.2599996667,1.3500000000,512.0009995500,rolling_shadow_price_exchange::lagrangian_balanced
4,RegionB,Valley,441.1400000000,0.0000000000,0.6010000000,800.0000000000,339.1006670000,2332,35.3600000000,374.4606670000,1.3500000000,505.5219004500,rolling_shadow_price_exchange::lagrangian_balanced
5,RegionB,Valley,441.3700000000,0.0000000000,0.5919000000,877.6500000000,346.7413330000,2333,34.7986666667,381.5399996667,1.3500000000,515.0789995500,rolling_shadow_price_exchange::lagrangian_balanced
6,RegionB,Valley,441.6100000000,0.0000000000,0.5812000000,950.0000000000,364.8793330000,2334,25.4340000000,390.3133330000,1.3500000000,526.9229995500,rolling_shadow_price_exchange::lagrangian_balanced
7,RegionB,Flat,679.7600000000,0.0000000000,0.5697000000,1012.1300000000,346.4893330000,2335,50.0373333333,396.5266663333,1.3500000000,535.3109995500,rolling_shadow_price_exchange::lagrangian_balanced
8,RegionB,Flat,680.1400000000,0.0000000000,0.5582000000,1059.8100000000,358.4623330000,2336,31.9796666667,390.4419996667,1.3500000000,527.0966995500,rolling_shadow_price_exchange::lagrangian_balanced
9,RegionB,Flat,680.5300000000,0.0000000000,0.5475000000,1089.7800000000,379.0433330000,2337,15.3566666667,394.3999996667,1.3500000000,532.4399995500,rolling_shadow_price_exchange::lagrangian_balanced
10,RegionB,Flat,680.9200000000,0.0000000000,0.5385000000,1100.0000000000,378.1320000000,2338,23.2746666667,401.4066666667,1.3500000000,541.8990000000,rolling_shadow_price_exchange::lagrangian_balanced
11,RegionB,Flat,681.3200000000,0.0000000000,0.5317000000,1089.7800000000,372.8233330000,2339,27.5600000000,400.3833330000,1.3500000000,540.5174995500,rolling_shadow_price_exchange::lagrangian_balanced
12,RegionB,Flat,681.7300000000,0.0000000000,0.5276000000,1059.8100000000,322.6046670000,2340,72.7680000000,395.3726670000,1.3500000000,533.7531004500,rolling_shadow_price_exchange::lagrangian_balanced
13,RegionB,Flat,682.1500000000,0.0000000000,0.5266000000,1012.1300000000,323.3373330000,2341,72.7976666667,396.1349996667,1.3500000000,534.7822495500,rolling_shadow_price_exchange::lagrangian_balanced
14,RegionB,Flat,682.5700000000,0.0000000000,0.5288000000,950.0000000000,276.1840000000,2342,64.9866666667,341.1706666667,1.3500000000,460.5804000000,rolling_shadow_price_exchange::lagrangian_balanced
15,RegionB,Flat,682.9900000000,0.0000000000,0.5341000000,877.6500000000,242.6993330000,2343,52.9173333333,295.6166663333,1.3500000000,399.0824995500,rolling_shadow_price_exchange::lagrangian_balanced
16,RegionB,Flat,683.4200000000,0.0000000000,0.5421000000,800.0000000000,238.4366670000,2344,24.5483333333,262.9850003333,1.3500000000,355.0297504500,rolling_shadow_price_exchange::lagrangian_balanced
17,RegionB,Peak,991.5900000000,0.0000000000,0.5523000000,722.3500000000,219.4903330000,2345,3.1196666667,222.6099996667,1.3500000000,300.5234995500,rolling_shadow_price_exchange::lagrangian_balanced
18,RegionB,Peak,992.2300000000,0.0000000000,0.5641000000,650.0000000000,184.2533330000,2346,2.7600000000,187.0133330000,1.3500000000,252.4679995500,rolling_shadow_price_exchange::lagrangian_balanced
19,RegionB,Peak,992.8700000000,0.0000000000,0.5768000000,587.8700000000,202.8813330000,2347,2.0666666667,204.9479996667,1.3500000000,276.6797995500,rolling_shadow_price_exchange::lagrangian_balanced
20,RegionB,Peak,993.5100000000,0.0000000000,0.5894000000,540.1900000000,200.0480000000,2348,2.1120000000,202.1600000000,1.3500000000,272.9160000000,rolling_shadow_price_exchange::lagrangian_balanced
21,RegionB,Peak,994.1600000000,0.0000000000,0.6013000000,510.2200000000,242.9640000000,2349,1.9760000000,244.9400000000,1.3500000000,330.6690000000,rolling_shadow_price_exchange::lagrangian_balanced
22,RegionB,Flat,617.4700000000,0.0000000000,0.6115000000,500.0000000000,267.6920000000,2350,2.5693333333,270.2613333333,1.3500000000,364.8528000000,rolling_shadow_price_exchange::lagrangian_balanced
23,RegionB,Flat,617.8700000000,0.0000000000,0.6195000000,510.2200000000,311.7866670000,2351,3.3733333333,315.1600003333,1.3500000000,425.4660004500,rolling_shadow_price_exchange::lagrangian_balanced
24,RegionB,Valley,446.5300000000,0.0000000000,0.6248000000,540.1900000000,331.2233330000,2352,6.3366666667,337.5599996667,1.3500000000,455.7059995500,rolling_shadow_price_exchange::lagrangian_balanced
25,RegionB,Valley,446.8200000000,0.0000000000,0.6271000000,587.8700000000,385.6310000000,2353,15.7973333333,401.4283333333,1.3500000000,541.9282500000,rolling_shadow_price_exchange::lagrangian_balanced
26,RegionB,Valley,447.1200000000,0.0000000000,0.6261000000,650.0000000000,384.5666670000,2354,16.7833333333,401.3500003333,1.3500000000,541.8225004500,rolling_shadow_price_exchange::lagrangian_balanced
27,RegionB,Valley,447.4100000000,0.0000000000,0.6221000000,722.3500000000,381.8070000000,2355,23.2213333333,405.0283333333,1.3500000000,546.7882500000,rolling_shadow_price_exchange::lagrangian_balanced
28,RegionB,Valley,447.7000000000,0.0000000000,0.6154000000,800.0000000000,381.0333330000,2356,23.3650000000,404.3983330000,1.3500000000,545.9377495500,rolling_shadow_price_exchange::lagrangian_balanced
29,RegionB,Valley,447.9900000000,0.0000000000,0.6064000000,877.6500000000,378.8783330000,2357,26.1150000000,404.9933330000,1.3500000000,546.7409995500,rolling_shadow_price_exchange::lagrangian_balanced
30,RegionB,Valley,448.2700000000,0.0000000000,0.5959000000,950.0000000000,381.2360000000,2358,19.4040000000,400.6400000000,1.3500000000,540.8640000000,rolling_shadow_price_exchange::lagrangian_balanced
31,RegionB,Flat,690.0900000000,0.0000000000,0.5845000000,1012.1300000000,380.1606670000,2359,14.1393333333,394.3000003333,1.3500000000,532.3050004500,rolling_shadow_price_exchange::lagrangian_balanced
32,RegionB,Flat,690.5300000000,0.0000000000,0.5731000000,1059.8100000000,379.8506670000,2360,15.6493333333,395.5000003333,1.3500000000,533.9250004500,rolling_shadow_price_exchange::lagrangian_balanced
33,RegionB,Flat,690.9600000000,0.0000000000,0.5625000000,1089.7800000000,350.2113330000,2361,28.0086666667,378.2199996667,1.3500000000,510.5969995500,rolling_shadow_price_exchange::lagrangian_balanced
34,RegionB,Flat,691.3800000000,0.0000000000,0.5535000000,1100.0000000000,365.4543330000,2362,11.4656666667,376.9199996667,1.3500000000,508.8419995500,rolling_shadow_price_exchange::lagrangian_balanced
35,RegionB,Flat,691.8000000000,0.0000000000,0.5468000000,1089.7800000000,362.7906670000,2363,5.4386666667,368.2293336667,1.3500000000,497.1096004500,rolling_shadow_price_exchange::lagrangian_balanced
36,RegionB,Flat,692.2200000000,0.0000000000,0.5427000000,1059.8100000000,330.5920000000,2364,14.0663333333,344.6583333333,1.3500000000,465.2887500000,rolling_shadow_price_exchange::lagrangian_balanced
37,RegionB,Flat,692.6300000000,0.0000000000,0.5417000000,1012.1300000000,298.3550000000,2365,13.4920000000,311.8470000000,1.3500000000,420.9934500000,rolling_shadow_price_exchange::lagrangian_balanced
38,RegionB,Flat,693.0300000000,0.0000000000,0.5439000000,950.0000000000,280.8883330000,2366,13.3226666667,294.2109996667,1.3500000000,397.1848495500,rolling_shadow_price_exchange::lagrangian_balanced
39,RegionB,Flat,693.4200000000,0.0000000000,0.5491000000,877.6500000000,256.3330000000,2367,5.2303333333,261.5633333333,1.3500000000,353.1105000000,rolling_shadow_price_exchange::lagrangian_balanced
40,RegionB,Flat,693.8100000000,0.0000000000,0.5570000000,800.0000000000,200.6893330000,2368,3.7413333333,204.4306663333,1.3500000000,275.9813995500,rolling_shadow_price_exchange::lagrangian_balanced
41,RegionB,Peak,1006.5700000000,0.0000000000,0.5671000000,722.3500000000,190.8946670000,2369,2.7503333333,193.6450003333,1.3500000000,261.4207504500,rolling_shadow_price_exchange::lagrangian_balanced
42,RegionB,Peak,1007.1100000000,0.0000000000,0.5788000000,650.0000000000,178.5946670000,2370,2.4840000000,181.0786670000,1.3500000000,244.4562004500,rolling_shadow_price_exchange::lagrangian_balanced
43,RegionB,Peak,1007.6300000000,0.0000000000,0.5913000000,587.8700000000,191.3273330000,2371,3.7826666667,195.1099996667,1.3500000000,263.3984995500,rolling_shadow_price_exchange::lagrangian_balanced
44,RegionB,Peak,1008.1400000000,0.0000000000,0.6038000000,540.1900000000,232.9260000000,2372,5.6000000000,238.5260000000,1.3500000000,322.0101000000,rolling_shadow_price_exchange::lagrangian_balanced
45,RegionB,Peak,1008.6400000000,0.0000000000,0.6155000000,510.2200000000,237.5366670000,2373,6.2600000000,243.7966670000,1.3500000000,329.1255004500,rolling_shadow_price_exchange::lagrangian_balanced
46,RegionB,Flat,626.3500000000,0.0000000000,0.6256000000,500.0000000000,296.9360000000,2374,11.0573333333,307.9933333333,1.3500000000,415.7910000000,rolling_shadow_price_exchange::lagrangian_balanced
47,RegionB,Flat,626.6400000000,0.0000000000,0.6334000000,510.2200000000,282.9753330000,2375,12.9746666667,295.9499996667,1.3500000000,399.5324995500,rolling_shadow_price_exchange::lagrangian_balanced
48,RegionB,Valley,452.7700000000,0.0000000000,0.6384000000,540.1900000000,326.3646670000,2376,21.7820000000,348.1466670000,1.3500000000,469.9980004500,rolling_shadow_price_exchange::lagrangian_balanced
49,RegionB,Valley,452.9700000000,0.0000000000,0.6404000000,587.8700000000,352.3613330000,2377,22.8553333333,375.2166663333,1.3500000000,506.5424995500,rolling_shadow_price_exchange::lagrangian_balanced
50,RegionB,Valley,453.1500000000,0.0000000000,0.6392000000,650.0000000000,382.8506670000,2378,19.5660000000,402.4166670000,1.3500000000,543.2625004500,rolling_shadow_price_exchange::lagrangian_balanced
51,RegionB,Valley,453.3300000000,0.0000000000,0.6349000000,722.3500000000,383.3320000000,2379,19.8680000000,403.2000000000,1.3500000000,544.3200000000,rolling_shadow_price_exchange::lagrangian_balanced
52,RegionB,Valley,453.5000000000,0.0000000000,0.6279000000,800.0000000000,361.2666670000,2380,43.2966666667,404.5633336667,1.3500000000,546.1605004500,rolling_shadow_price_exchange::lagrangian_balanced
53,RegionB,Valley,453.6700000000,0.0000000000,0.6186000000,877.6500000000,353.5386670000,2381,32.6380000000,386.1766670000,1.3500000000,521.3385004500,rolling_shadow_price_exchange::lagrangian_balanced
54,RegionB,Valley,453.8200000000,0.0000000000,0.6077000000,950.0000000000,357.0840000000,2382,27.6533333333,384.7373333333,1.3500000000,519.3954000000,rolling_shadow_price_exchange::lagrangian_balanced
55,RegionB,Flat,698.4100000000,0.0000000000,0.5959000000,1012.1300000000,367.3306670000,2383,10.7493333333,378.0800003333,1.3500000000,510.4080004500,rolling_shadow_price_exchange::lagrangian_balanced
56,RegionB,Flat,698.6200000000,0.0000000000,0.5842000000,1059.8100000000,363.4200000000,2384,8.9400000000,372.3600000000,1.3500000000,502.6860000000,rolling_shadow_price_exchange::lagrangian_balanced
57,RegionB,Flat,698.8200000000,0.0000000000,0.5732000000,1089.7800000000,361.1400000000,2385,11.2653333333,372.4053333333,1.3500000000,502.7472000000,rolling_shadow_price_exchange::lagrangian_balanced
58,RegionB,Flat,699.0100000000,0.0000000000,0.5638000000,1100.0000000000,348.6093330000,2386,29.5306666667,378.1399996667,1.3500000000,510.4889995500,rolling_shadow_price_exchange::lagrangian_balanced
59,RegionB,Flat,699.1800000000,0.0000000000,0.5566000000,1089.7800000000,357.3126670000,2387,29.6276666667,386.9403336667,1.3500000000,522.3694504500,rolling_shadow_price_exchange::lagrangian_balanced
60,RegionB,Flat,699.3300000000,0.0000000000,0.5521000000,1059.8100000000,309.8926670000,2388,38.9626666667,348.8553336667,1.3500000000,470.9547004500,rolling_shadow_price_exchange::lagrangian_balanced
61,RegionB,Flat,699.4700000000,0.0000000000,0.5507000000,1012.1300000000,312.1226670000,2389,23.5143333333,335.6370003333,1.3500000000,453.1099504500,rolling_shadow_price_exchange::lagrangian_balanced
62,RegionB,Flat,699.6000000000,0.0000000000,0.5524000000,950.0000000000,283.5113330000,2390,21.3720000000,304.8833330000,1.3500000000,411.5924995500,rolling_shadow_price_exchange::lagrangian_balanced
