TaskType,SourceRegion,ExecutionRegion,ArrivalHour,StartMinute,EndMinute,Duration_min,GPU_Demand,MaxLatency_ms,NetworkLatency_ms,LatestFinishHour,SLA_met,SchedulePhase,TaskID
AITraining,RegionD,RegionD,2392,143520,143917,397,124,150,5,2406,True,q1-fix-and-opt,17673
RealTimeInference,RegionC,RegionC,2376,142560,142635,75,1,20,5,2378,True,q1-arrival,17820
AITraining,RegionD,RegionD,2378,142680,142782,102,120,150,5,2406,True,q1-arrival,17864
AITraining,RegionE,RegionE,2391,143460,143619,159,78,150,5,2406,True,q1-arrival,17898
BatchInference,RegionE,RegionE,2398,143880,144136,256,23,80,5,2406,True,q1-arrival,17938
AITraining,RegionF,RegionF,2388,143280,143416,136,26,150,5,2406,True,q1-arrival,17991
BatchInference,RegionC,RegionC,2388,143280,143584,304,9,80,5,2406,True,q1-arrival,18061
BatchInference,RegionE,RegionE,2376,142560,142600,40,16,80,5,2406,True,q1-arrival,18201
AITraining,RegionF,RegionF,2385,143100,143307,207,58,150,5,2406,True,q1-arrival,18325
BatchInference,RegionA,RegionA,2391,143460,143806,346,19,80,5,2406,True,q1-arrival,18367
RealTimeInference,RegionA,RegionA,2396,143760,144086,326,3,20,5,2402,True,q1-arrival,18394
BatchInference,RegionB,RegionB,2378,142680,142947,267,18,80,5,2406,True,q1-arrival,18427
RealTimeInference,RegionE,RegionE,2391,143460,143547,87,5,20,5,2393,True,q1-arrival,18687
AITraining,RegionF,RegionE,2380,142800,142865,65,38,150,18,2406,True,q1-arrival,18713
AITraining,RegionF,RegionE,2381,142860,142912,52,120,150,18,2406,True,q1-arrival,18720
BatchInference,RegionA,RegionA,2392,143520,143792,272,17,80,5,2406,True,q1-arrival,18826
BatchInference,RegionB,RegionB,2391,143460,143731,271,8,80,5,2406,True,q1-arrival,18847
BatchInference,RegionD,RegionD,2386,143160,143426,266,7,80,5,2406,True,q1-arrival,18869
BatchInference,RegionA,RegionA,2381,142860,143111,251,12,80,5,2406,True,q1-arrival,18905
RealTimeInference,RegionC,RegionC,2398,143880,144079,199,6,20,5,2402,True,q1-arrival,19172
RealTimeInference,RegionD,RegionD,2386,143160,143360,200,4,20,5,2390,True,q1-arrival,19264
AITraining,RegionE,RegionE,2398,143880,144241,361,121,150,5,2406,True,q1-fix-and-opt,19289
AITraining,RegionE,RegionE,2392,143520,143746,226,104,150,5,2406,True,q1-arrival,19387
BatchInference,RegionE,RegionE,2382,142920,143044,124,23,80,5,2406,True,q1-arrival,19440
AITraining,RegionE,RegionE,2387,143220,143569,349,43,150,5,2406,True,q1-arrival,19584
BatchInference,RegionD,RegionD,2390,143400,143714,314,11,80,5,2406,True,q1-arrival,19682
BatchInference,RegionF,RegionF,2378,142680,142801,121,9,80,5,2406,True,q1-arrival,19684
RealTimeInference,RegionA,RegionA,2386,143160,143232,72,4,20,5,2388,True,q1-arrival,19693
AITraining,RegionD,RegionD,2381,142860,143065,205,71,150,5,2406,True,q1-arrival,20139
BatchInference,RegionD,RegionD,2396,143760,144008,248,16,80,5,2406,True,q1-arrival,20312
AITraining,RegionF,RegionF,2377,142620,142955,335,110,150,5,2406,True,q1-arrival,20392
BatchInference,RegionD,RegionD,2388,143280,143519,239,14,80,5,2406,True,q1-arrival,20403
BatchInference,RegionC,RegionC,2386,143160,143344,184,14,80,5,2406,True,q1-arrival,20632
BatchInference,RegionF,RegionF,2397,143820,144024,204,14,80,5,2406,True,q1-arrival,20799
AITraining,RegionB,RegionB,2380,142800,143010,210,112,150,5,2406,True,q1-arrival,20964
RealTimeInference,RegionA,RegionA,2377,142620,142778,158,2,20,5,2380,True,q1-arrival,20965
RealTimeInference,RegionA,RegionA,2383,142980,143088,108,7,20,5,2385,True,q1-arrival,21103
RealTimeInference,RegionB,RegionB,2390,143400,143466,66,1,20,5,2392,True,q1-arrival,21242
AITraining,RegionF,RegionF,2388,143280,143588,308,125,150,5,2406,True,q1-arrival,21356
AITraining,RegionC,RegionC,2377,142620,142838,218,110,150,5,2406,True,q1-arrival,21384
RealTimeInference,RegionB,RegionB,2399,143940,144041,101,1,20,5,2401,True,q1-arrival,21400
RealTimeInference,RegionC,RegionC,2387,143220,143362,142,5,20,5,2390,True,q1-arrival,21428
AITraining,RegionD,RegionD,2394,143640,143893,253,34,150,5,2406,True,q1-arrival,21451
AITraining,RegionF,RegionF,2397,143820,144109,289,49,150,5,2406,True,q1-arrival,21730
RealTimeInference,RegionA,RegionA,2392,143520,143836,316,4,20,5,2398,True,q1-arrival,21792
AITraining,RegionD,RegionD,2388,143280,143536,256,59,150,5,2406,True,q1-arrival,21837
RealTimeInference,RegionA,RegionA,2393,143580,143672,92,3,20,5,2395,True,q1-arrival,21897
BatchInference,RegionE,RegionE,2398,143880,143959,79,7,80,5,2406,True,q1-arrival,22136
AITraining,RegionE,RegionE,2383,142980,143371,391,112,150,5,2406,True,q1-fix-and-opt,22175
RealTimeInference,RegionD,RegionD,2398,143880,143891,11,6,20,5,2399,True,q1-arrival,22360
BatchInference,RegionC,RegionC,2381,142860,142998,138,23,80,5,2406,True,q1-arrival,22462
AITraining,RegionF,RegionF,2395,143700,143885,185,16,150,5,2406,True,q1-arrival,22576
RealTimeInference,RegionF,RegionF,2377,142620,142870,250,2,20,5,2382,True,q1-arrival,22636
AITraining,RegionE,RegionE,2385,143100,143235,135,80,150,5,2406,True,q1-arrival,22705
RealTimeInference,RegionC,RegionC,2391,143460,143505,45,2,20,5,2392,True,q1-arrival,22706
AITraining,RegionF,RegionF,2386,143160,143505,345,62,150,5,2406,True,q1-arrival,22852
BatchInference,RegionE,RegionE,2381,142860,143089,229,7,80,5,2406,True,q1-arrival,22871
RealTimeInference,RegionC,RegionC,2384,143040,143148,108,3,20,5,2386,True,q1-arrival,22890
BatchInference,RegionA,RegionA,2377,142620,142828,208,19,80,5,2406,True,q1-arrival,22926
AITraining,RegionF,RegionF,2386,143160,143297,137,52,150,5,2406,True,q1-arrival,22937
RealTimeInference,RegionC,RegionC,2387,143220,143553,333,3,20,5,2393,True,q1-arrival,23146
RealTimeInference,RegionE,RegionE,2392,143520,143635,115,5,20,5,2394,True,q1-arrival,23364
BatchInference,RegionD,RegionD,2394,143640,143880,240,15,80,5,2406,True,q1-arrival,23381
AITraining,RegionE,RegionE,2398,143880,144144,264,19,150,5,2406,True,q1-arrival,23421
RealTimeInference,RegionA,RegionA,2379,142740,143137,397,5,20,5,2386,True,q1-arrival,23424
AITraining,RegionD,RegionD,2377,142620,142751,131,113,150,5,2406,True,q1-arrival,23479
AITraining,RegionF,RegionF,2385,143100,143331,231,76,150,5,2406,True,q1-arrival,23514
RealTimeInference,RegionB,RegionB,2393,143580,143715,135,1,20,5,2396,True,q1-arrival,23544
BatchInference,RegionA,RegionA,2386,143160,143473,313,15,80,5,2406,True,q1-arrival,23667
RealTimeInference,RegionB,RegionB,2396,143760,144037,277,7,20,5,2401,True,q1-arrival,23682
RealTimeInference,RegionB,RegionB,2387,143220,143320,100,7,20,5,2389,True,q1-arrival,23708
RealTimeInference,RegionA,RegionA,2385,143100,143387,287,5,20,5,2390,True,q1-arrival,23890
AITraining,RegionD,RegionD,2389,143340,143570,230,127,150,5,2406,True,q1-arrival,23936
AITraining,RegionB,RegionB,2395,143700,143792,92,110,150,5,2406,True,q1-arrival,24073
BatchInference,RegionE,RegionE,2397,143820,143946,126,20,80,5,2406,True,q1-arrival,24255
BatchInference,RegionD,RegionD,2393,143580,143648,68,16,80,5,2406,True,q1-arrival,24477
RealTimeInference,RegionB,RegionB,2378,142680,142825,145,4,20,5,2381,True,q1-arrival,24568
BatchInference,RegionA,RegionA,2390,143400,143703,303,9,80,5,2406,True,q1-arrival,24572
BatchInference,RegionD,RegionD,2383,142980,143064,84,12,80,5,2406,True,q1-arrival,24641
RealTimeInference,RegionC,RegionC,2380,142800,143125,325,5,20,5,2386,True,q1-arrival,24714
RealTimeInference,RegionE,RegionE,2384,143040,143227,187,1,20,5,2388,True,q1-arrival,24748
BatchInference,RegionF,RegionF,2380,142800,142904,104,16,80,5,2406,True,q1-arrival,24774
BatchInference,RegionD,RegionD,2386,143160,143221,61,16,80,5,2406,True,q1-arrival,24949
BatchInference,RegionD,RegionD,2396,143760,143823,63,10,80,5,2406,True,q1-arrival,24995
RealTimeInference,RegionB,RegionB,2387,143220,143319,99,6,20,5,2389,True,q1-arrival,25000
RealTimeInference,RegionA,RegionA,2391,143460,143666,206,5,20,5,2395,True,q1-arrival,25215
RealTimeInference,RegionB,RegionB,2385,143100,143272,172,6,20,5,2388,True,q1-arrival,25467
BatchInference,RegionD,RegionD,2392,143520,143803,283,18,80,5,2406,True,q1-arrival,25631
BatchInference,RegionE,RegionE,2377,142620,142942,322,17,80,5,2406,True,q1-arrival,25757
AITraining,RegionE,RegionE,2391,143460,143750,290,114,150,5,2406,True,q1-arrival,25763
AITraining,RegionE,RegionE,2390,143400,143503,103,46,150,5,2406,True,q1-arrival,25795
RealTimeInference,RegionA,RegionA,2378,142680,143009,329,1,20,5,2384,True,q1-arrival,25839
AITraining,RegionE,RegionE,2390,143400,143452,52,120,150,5,2406,True,q1-arrival,26136
BatchInference,RegionB,RegionB,2376,142560,142946,386,17,80,5,2406,True,q1-arrival,26377
RealTimeInference,RegionB,RegionB,2384,143040,143106,66,5,20,5,2386,True,q1-arrival,26569
AITraining,RegionF,RegionE,2380,142800,142864,64,125,150,18,2406,True,q1-arrival,26584
AITraining,RegionF,RegionF,2385,143100,143395,295,27,150,5,2406,True,q1-arrival,26590
RealTimeInference,RegionB,RegionB,2384,143040,143145,105,2,20,5,2386,True,q1-arrival,26779
BatchInference,RegionA,RegionA,2377,142620,142758,138,16,80,5,2406,True,q1-arrival,26783
BatchInference,RegionF,RegionF,2386,143160,143477,317,12,80,5,2406,True,q1-arrival,26788
RealTimeInference,RegionA,RegionA,2396,143760,144032,272,7,20,5,2401,True,q1-arrival,26836
BatchInference,RegionD,RegionD,2378,142680,142751,71,23,80,5,2406,True,q1-arrival,27016
AITraining,RegionF,RegionE,2384,143040,143340,300,99,150,18,2406,True,q1-arrival,27109
AITraining,RegionF,RegionF,2388,143280,143600,320,50,150,5,2406,True,q1-arrival,27293
BatchInference,RegionA,RegionA,2392,143520,143712,192,5,80,5,2406,True,q1-arrival,27301
RealTimeInference,RegionA,RegionA,2393,143580,143726,146,5,20,5,2396,True,q1-arrival,27485
AITraining,RegionF,RegionF,2377,142620,143011,391,113,150,5,2406,True,q1-fix-and-opt,27509
BatchInference,RegionD,RegionD,2397,143820,143878,58,17,80,5,2406,True,q1-arrival,27547
RealTimeInference,RegionA,RegionA,2388,143280,143534,254,7,20,5,2393,True,q1-arrival,27636
AITraining,RegionD,RegionD,2391,143460,143491,31,50,150,5,2406,True,q1-arrival,27637
