Hour,AbsoluteHour,SystemNetGridImport_MW,SystemGridPurchase_MW,SystemGridSell_MW,SystemFacilityLoad_MW,SystemAvailableRenewable_MW,SystemCurtailment_MW,Scenario,Method,ReportedPositivePeak_MW,PeakLinkSlack_MW
12,2340,-620.0000000000,0.0000000000,620.0000000000,2794.3882404233,6358.8600000000,2944.4717595767,observed,candidate,0.0000000000,620.0000000000
13,2341,-620.0000000000,0.0000000000,620.0000000000,2658.3066800067,6072.7800000000,2554.4733199933,observed,candidate,0.0000000000,620.0000000000
14,2342,-620.0000000000,0.0000000000,620.0000000000,2558.7165742400,5700.0000000000,2299.7380090933,observed,candidate,0.0000000000,620.0000000000
15,2343,-620.0000000000,0.0000000000,620.0000000000,2274.3146124767,5265.9000000000,2198.7149704400,observed,candidate,0.0000000000,620.0000000000
16,2344,-620.0000000000,0.0000000000,620.0000000000,1992.3273395433,4800.0000000000,2048.2743271233,observed,candidate,0.0000000000,620.0000000000
17,2345,-620.0000000000,0.0000000000,620.0000000000,1798.1384000000,4334.1000000000,1468.1718000887,observed,candidate,0.0000000000,620.0000000000
18,2346,-620.0000000000,0.0000000000,620.0000000000,1703.3972128767,3900.0000000000,1413.1040004500,observed,candidate,0.0000000000,620.0000000000
19,2347,-620.0000000000,0.0000000000,620.0000000000,1707.8413808800,3527.2200000000,1062.8863257800,observed,candidate,0.0000000000,620.0000000000
20,2348,-620.0000000000,0.0000000000,620.0000000000,1721.4209528800,3241.1400000000,796.8303742100,observed,candidate,0.0000000000,620.0000000000
21,2349,-620.0000000000,0.0000000000,620.0000000000,1903.8677870867,3061.3200000000,575.4401887064,observed,candidate,0.0000000000,620.0000000000
22,2350,-620.0000000000,0.0000000000,620.0000000000,2077.5737128833,3000.0000000000,498.8457804500,observed,candidate,0.0000000000,620.0000000000
23,2351,-620.0000000000,0.0000000000,620.0000000000,2495.5148257933,3061.3200000000,223.2324462400,observed,candidate,0.0000000000,620.0000000000
24,2352,-336.6475004233,0.0000000000,336.6475004233,2632.7812595533,3241.1400000000,271.7112400233,observed,candidate,0.0000000000,336.6475004233
25,2353,-420.2122825000,0.0000000000,420.2122825000,3038.8786458000,3527.2200000000,238.2863204500,observed,candidate,0.0000000000,420.2122825000
26,2354,-620.0000000000,0.0000000000,620.0000000000,3336.3906475767,3900.0000000000,333.0381990900,observed,candidate,0.0000000000,620.0000000000
27,2355,-620.0000000000,0.0000000000,620.0000000000,3432.4594375433,4334.1000000000,529.9744495500,observed,candidate,0.0000000000,620.0000000000
28,2356,-620.0000000000,0.0000000000,620.0000000000,3473.3926203667,4800.0000000000,788.1806271400,observed,candidate,0.0000000000,620.0000000000
29,2357,-620.0000000000,0.0000000000,620.0000000000,3571.6647804033,5265.9000000000,1074.2352195967,observed,candidate,0.0000000000,620.0000000000
30,2358,-620.0000000000,0.0000000000,620.0000000000,3539.4488800367,5700.0000000000,1540.5511199633,observed,candidate,0.0000000000,620.0000000000
31,2359,-620.0000000000,0.0000000000,620.0000000000,3349.0057337867,6072.7800000000,2103.7742662133,observed,candidate,0.0000000000,620.0000000000
32,2360,-620.0000000000,0.0000000000,620.0000000000,3227.1888708500,6358.8600000000,2511.6711291500,observed,candidate,0.0000000000,620.0000000000
33,2361,-620.0000000000,0.0000000000,620.0000000000,3165.8994757900,6538.6800000000,2752.7805242100,observed,candidate,0.0000000000,620.0000000000
34,2362,-620.0000000000,0.0000000000,620.0000000000,3089.0116928467,6600.0000000000,2890.9883071533,observed,candidate,0.0000000000,620.0000000000
35,2363,-620.0000000000,0.0000000000,620.0000000000,2977.3029929067,6538.6800000000,2941.3770070933,observed,candidate,0.0000000000,620.0000000000
36,2364,-620.0000000000,0.0000000000,620.0000000000,2854.5274549067,6358.8600000000,2884.3325450933,observed,candidate,0.0000000000,620.0000000000
37,2365,-620.0000000000,0.0000000000,620.0000000000,2775.2537041767,6072.7800000000,2677.5262958233,observed,candidate,0.0000000000,620.0000000000
38,2366,-620.0000000000,0.0000000000,620.0000000000,2666.0847087000,5700.0000000000,2229.7682075500,observed,candidate,0.0000000000,620.0000000000
39,2367,-620.0000000000,0.0000000000,620.0000000000,2341.3201729200,5265.9000000000,2128.8123266633,observed,candidate,0.0000000000,620.0000000000
40,2368,-620.0000000000,0.0000000000,620.0000000000,1951.8718053533,4800.0000000000,1866.6461603293,observed,candidate,0.0000000000,620.0000000000
41,2369,-620.0000000000,0.0000000000,620.0000000000,1796.4496438200,4334.1000000000,1625.8259744446,observed,candidate,0.0000000000,620.0000000000
42,2370,-620.0000000000,0.0000000000,620.0000000000,1613.9036162133,3900.0000000000,1334.7611904600,observed,candidate,0.0000000000,620.0000000000
43,2371,-620.0000000000,0.0000000000,620.0000000000,1609.6107770700,3527.2200000000,1149.9614562633,observed,candidate,0.0000000000,620.0000000000
44,2372,-620.0000000000,0.0000000000,620.0000000000,1743.7909957900,3241.1400000000,761.5514458229,observed,candidate,0.0000000000,620.0000000000
45,2373,-620.0000000000,0.0000000000,620.0000000000,1927.2675555333,3061.3200000000,599.7141115500,observed,candidate,0.0000000000,620.0000000000
46,2374,-620.0000000000,0.0000000000,620.0000000000,2250.2297366333,3000.0000000000,379.0864204500,observed,candidate,0.0000000000,620.0000000000
47,2375,-620.0000000000,0.0000000000,620.0000000000,2594.0784586500,3061.3200000000,250.9602676000,observed,candidate,0.0000000000,620.0000000000
48,2376,-231.3701108533,0.0000000000,231.3701108533,2929.6210808600,3241.1400000000,190.5724991000,observed,candidate,0.0000000000,231.3701108533
49,2377,-616.2954162500,0.0000000000,616.2954162500,3039.1923341767,3527.2200000000,224.8677800000,observed,candidate,0.0000000000,616.2954162500
50,2378,-620.0000000000,0.0000000000,620.0000000000,3124.0239196100,3900.0000000000,327.1773799667,observed,candidate,0.0000000000,620.0000000000
51,2379,-620.0000000000,0.0000000000,620.0000000000,3270.6079953333,4334.1000000000,539.5278409100,observed,candidate,0.0000000000,620.0000000000
52,2380,-620.0000000000,0.0000000000,620.0000000000,3333.0487995867,4800.0000000000,882.3136999967,observed,candidate,0.0000000000,620.0000000000
53,2381,-620.0000000000,0.0000000000,620.0000000000,3296.5539142267,5265.9000000000,1349.3460857733,observed,candidate,0.0000000000,620.0000000000
54,2382,-620.0000000000,0.0000000000,620.0000000000,3366.7540466600,5700.0000000000,1713.2459533400,observed,candidate,0.0000000000,620.0000000000
55,2383,-620.0000000000,0.0000000000,620.0000000000,3337.2007008633,6072.7800000000,2115.5792991367,observed,candidate,0.0000000000,620.0000000000
56,2384,-620.0000000000,0.0000000000,620.0000000000,3358.8145171033,6358.8600000000,2380.0454828967,observed,candidate,0.0000000000,620.0000000000
57,2385,-620.0000000000,0.0000000000,620.0000000000,3221.8834457667,6538.6800000000,2696.7965542333,observed,candidate,0.0000000000,620.0000000000
58,2386,-620.0000000000,0.0000000000,620.0000000000,3173.2452057567,6600.0000000000,2806.7547942433,observed,candidate,0.0000000000,620.0000000000
59,2387,-620.0000000000,0.0000000000,620.0000000000,2974.3109399867,6538.6800000000,2944.3690600133,observed,candidate,0.0000000000,620.0000000000
60,2388,-620.0000000000,0.0000000000,620.0000000000,2815.6163537933,6358.8600000000,2923.2436462067,observed,candidate,0.0000000000,620.0000000000
61,2389,-620.0000000000,0.0000000000,620.0000000000,2801.8864829133,6072.7800000000,2650.8935170867,observed,candidate,0.0000000000,620.0000000000
62,2390,-620.0000000000,0.0000000000,620.0000000000,2496.8112537700,5700.0000000000,2474.6240303346,observed,candidate,0.0000000000,620.0000000000
63,2391,-620.0000000000,0.0000000000,620.0000000000,2193.8643771100,5265.9000000000,2212.0356228900,observed,candidate,0.0000000000,620.0000000000
64,2392,-620.0000000000,0.0000000000,620.0000000000,1853.6174904433,4800.0000000000,2086.3825095567,observed,candidate,0.0000000000,620.0000000000
65,2393,-620.0000000000,0.0000000000,620.0000000000,1573.1089120133,4334.1000000000,1694.4494209033,observed,candidate,0.0000000000,620.0000000000
66,2394,-620.0000000000,0.0000000000,620.0000000000,1673.1165946267,3900.0000000000,1437.9573053733,observed,candidate,0.0000000000,620.0000000000
67,2395,-620.0000000000,0.0000000000,620.0000000000,1647.7481528733,3527.2200000000,1259.4718471267,observed,candidate,0.0000000000,620.0000000000
68,2396,-620.0000000000,0.0000000000,620.0000000000,1637.8644699800,3241.1400000000,917.9566687574,observed,candidate,0.0000000000,620.0000000000
69,2397,-620.0000000000,0.0000000000,620.0000000000,1901.7515342667,3061.3200000000,635.9067990667,observed,candidate,0.0000000000,620.0000000000
70,2398,-620.0000000000,0.0000000000,620.0000000000,2162.1710709200,3000.0000000000,409.2535953300,observed,candidate,0.0000000000,620.0000000000
71,2399,-611.1725004167,0.0000000000,611.1725004167,2482.5053333533,3061.3200000000,243.8614862300,observed,candidate,0.0000000000,611.1725004167
0,2328,-557.1879695833,0.0000000000,557.1879695833,2368.5048608567,3241.1400000000,315.4471695600,observed,baseline,0.0000000000,557.1879695833
1,2329,-509.7130137500,0.0000000000,509.7130137500,2730.9647495500,3527.2200000000,286.5422367000,observed,baseline,0.0000000000,509.7130137500
2,2330,-521.6584637567,0.0000000000,521.6584637567,2991.7159462533,3900.0000000000,386.6255899900,observed,baseline,0.0000000000,521.6584637567
3,2331,-553.5209337500,0.0000000000,553.5209337500,3163.0086649233,4334.1000000000,617.5704013267,observed,baseline,0.0000000000,553.5209337500
4,2332,-619.0375004167,0.0000000000,619.0375004167,3337.6014667333,4800.0000000000,843.3610328500,observed,baseline,0.0000000000,619.0375004167
5,2333,-620.0000000000,0.0000000000,620.0000000000,3378.6550000000,5265.9000000000,1267.2450000000,observed,baseline,0.0000000000,620.0000000000
6,2334,-620.0000000000,0.0000000000,620.0000000000,3374.1741986567,5700.0000000000,1705.8258013433,observed,baseline,0.0000000000,620.0000000000
7,2335,-620.0000000000,0.0000000000,620.0000000000,3360.7710995667,6072.7800000000,2092.0089004333,observed,baseline,0.0000000000,620.0000000000
8,2336,-620.0000000000,0.0000000000,620.0000000000,3293.0764013100,6358.8600000000,2445.7835986900,observed,baseline,0.0000000000,620.0000000000
9,2337,-620.0000000000,0.0000000000,620.0000000000,3286.7751003833,6538.6800000000,2631.9048996167,observed,baseline,0.0000000000,620.0000000000
10,2338,-620.0000000000,0.0000000000,620.0000000000,3169.7877995467,6600.0000000000,2810.2122004533,observed,baseline,0.0000000000,620.0000000000
11,2339,-620.0000000000,0.0000000000,620.0000000000,2998.2723986400,6538.6800000000,2920.4076013600,observed,baseline,0.0000000000,620.0000000000
12,2340,-620.0000000000,0.0000000000,620.0000000000,2802.2552004233,6358.8600000000,2936.6047995767,observed,baseline,0.0000000000,620.0000000000
13,2341,-620.0000000000,0.0000000000,620.0000000000,2618.3991000067,6072.7800000000,2834.3808999933,observed,baseline,0.0000000000,620.0000000000
14,2342,-620.0000000000,0.0000000000,620.0000000000,2474.8529409067,5700.0000000000,2605.1470590933,observed,baseline,0.0000000000,620.0000000000
15,2343,-620.0000000000,0.0000000000,620.0000000000,2232.1382691433,5265.9000000000,2413.7617308567,observed,baseline,0.0000000000,620.0000000000
16,2344,-620.0000000000,0.0000000000,620.0000000000,2000.8407395433,4800.0000000000,2179.1592604567,observed,baseline,0.0000000000,620.0000000000
17,2345,-620.0000000000,0.0000000000,620.0000000000,1899.6946000000,4334.1000000000,1814.4054000000,observed,baseline,0.0000000000,620.0000000000
18,2346,-620.0000000000,0.0000000000,620.0000000000,1824.4716995433,3900.0000000000,1455.5283004567,observed,baseline,0.0000000000,620.0000000000
19,2347,-620.0000000000,0.0000000000,620.0000000000,1825.7550008800,3527.2200000000,1081.4649991200,observed,baseline,0.0000000000,620.0000000000
20,2348,-620.0000000000,0.0000000000,620.0000000000,1877.9282995467,3241.1400000000,743.2117004533,observed,baseline,0.0000000000,620.0000000000
21,2349,-554.5741995800,0.0000000000,554.5741995800,2102.6098004200,3061.3200000000,404.1360000000,observed,baseline,0.0000000000,554.5741995800
22,2350,-390.5660000000,0.0000000000,390.5660000000,2218.6080995500,3000.0000000000,390.8259004500,observed,baseline,0.0000000000,390.5660000000
23,2351,-346.9525004133,0.0000000000,346.9525004133,2559.0517991267,3061.3200000000,155.3157004600,observed,baseline,0.0000000000,346.9525004133
24,2352,-335.5828666633,0.0000000000,335.5828666633,2643.8173328867,3241.1400000000,261.7398004500,observed,baseline,0.0000000000,335.5828666633
25,2353,-308.6237004167,0.0000000000,308.6237004167,3037.7127991333,3527.2200000000,180.8835004500,observed,baseline,0.0000000000,308.6237004167
26,2354,-364.1184333333,0.0000000000,364.1184333333,3198.1055675767,3900.0000000000,337.7759990900,observed,baseline,0.0000000000,364.1184333333
27,2355,-521.9023995733,0.0000000000,521.9023995733,3257.3716008767,4334.1000000000,554.8259995500,observed,baseline,0.0000000000,521.9023995733
28,2356,-620.0000000000,0.0000000000,620.0000000000,3279.1101003667,4800.0000000000,900.8898996333,observed,baseline,0.0000000000,620.0000000000
29,2357,-620.0000000000,0.0000000000,620.0000000000,3350.7202004033,5265.9000000000,1295.1797995967,observed,baseline,0.0000000000,620.0000000000
30,2358,-620.0000000000,0.0000000000,620.0000000000,3409.4607000367,5700.0000000000,1670.5392999633,observed,baseline,0.0000000000,620.0000000000
31,2359,-620.0000000000,0.0000000000,620.0000000000,3401.9550004533,6072.7800000000,2050.8249995467,observed,baseline,0.0000000000,620.0000000000
32,2360,-620.0000000000,0.0000000000,620.0000000000,3349.6025008500,6358.8600000000,2389.2574991500,observed,baseline,0.0000000000,620.0000000000
33,2361,-620.0000000000,0.0000000000,620.0000000000,3260.7920991233,6538.6800000000,2657.8879008767,observed,baseline,0.0000000000,620.0000000000
34,2362,-620.0000000000,0.0000000000,620.0000000000,3150.8007995133,6600.0000000000,2829.1992004867,observed,baseline,0.0000000000,620.0000000000
35,2363,-620.0000000000,0.0000000000,620.0000000000,2996.6053995733,6538.6800000000,2922.0746004267,observed,baseline,0.0000000000,620.0000000000
36,2364,-620.0000000000,0.0000000000,620.0000000000,2743.4568982400,6358.8600000000,2995.4031017600,observed,baseline,0.0000000000,620.0000000000
37,2365,-620.0000000000,0.0000000000,620.0000000000,2616.1647841767,6072.7800000000,2836.6152158233,observed,baseline,0.0000000000,620.0000000000
38,2366,-620.0000000000,0.0000000000,620.0000000000,2501.1031453667,5700.0000000000,2578.8968546333,observed,baseline,0.0000000000,620.0000000000
39,2367,-620.0000000000,0.0000000000,620.0000000000,2247.4321595867,5265.9000000000,2398.4678404133,observed,baseline,0.0000000000,620.0000000000
40,2368,-620.0000000000,0.0000000000,620.0000000000,1995.9023520200,4800.0000000000,2184.0976479800,observed,baseline,0.0000000000,620.0000000000
41,2369,-620.0000000000,0.0000000000,620.0000000000,1931.3690671533,4334.1000000000,1782.7309328467,observed,baseline,0.0000000000,620.0000000000
42,2370,-620.0000000000,0.0000000000,620.0000000000,1802.7240995467,3900.0000000000,1477.2759004533,observed,baseline,0.0000000000,620.0000000000
43,2371,-620.0000000000,0.0000000000,620.0000000000,1845.9986004033,3527.2200000000,1061.2213995967,observed,baseline,0.0000000000,620.0000000000
44,2372,-620.0000000000,0.0000000000,620.0000000000,1954.1666991233,3241.1400000000,666.9733008767,observed,baseline,0.0000000000,620.0000000000
45,2373,-527.9939991600,0.0000000000,527.9939991600,2097.5406022000,3061.3200000000,435.7853986400,observed,baseline,0.0000000000,527.9939991600
46,2374,-449.3562995833,0.0000000000,449.3562995833,2244.8689999667,3000.0000000000,305.7747004500,observed,baseline,0.0000000000,449.3562995833
47,2375,-354.3648999900,0.0000000000,354.3648999900,2475.8074986500,3061.3200000000,231.1476013600,observed,baseline,0.0000000000,354.3648999900
48,2376,-294.5922995800,0.0000000000,294.5922995800,2740.0172008600,3241.1400000000,206.5304995600,observed,baseline,0.0000000000,294.5922995800
49,2377,-321.4464991567,0.0000000000,321.4464991567,2949.0698008433,3527.2200000000,256.7037000000,observed,baseline,0.0000000000,321.4464991567
50,2378,-407.0573675167,0.0000000000,407.0573675167,3151.1436329433,3900.0000000000,341.7989995400,observed,baseline,0.0000000000,407.0573675167
51,2379,-503.9206337567,0.0000000000,503.9206337567,3275.3533653333,4334.1000000000,554.8260009100,observed,baseline,0.0000000000,503.9206337567
52,2380,-619.1125004167,0.0000000000,619.1125004167,3318.4735995867,4800.0000000000,862.4138999967,observed,baseline,0.0000000000,619.1125004167
53,2381,-620.0000000000,0.0000000000,620.0000000000,3318.8803675600,5265.9000000000,1327.0196324400,observed,baseline,0.0000000000,620.0000000000
54,2382,-620.0000000000,0.0000000000,620.0000000000,3394.6136999933,5700.0000000000,1685.3863000067,observed,baseline,0.0000000000,620.0000000000
55,2383,-620.0000000000,0.0000000000,620.0000000000,3394.4927741967,6072.7800000000,2058.2872258033,observed,baseline,0.0000000000,620.0000000000
56,2384,-620.0000000000,0.0000000000,620.0000000000,3398.5055604367,6358.8600000000,2340.3544395633,observed,baseline,0.0000000000,620.0000000000
57,2385,-620.0000000000,0.0000000000,620.0000000000,3233.8270991000,6538.6800000000,2684.8529009000,observed,baseline,0.0000000000,620.0000000000
58,2386,-620.0000000000,0.0000000000,620.0000000000,3177.6319990900,6600.0000000000,2802.3680009100,observed,baseline,0.0000000000,620.0000000000
59,2387,-620.0000000000,0.0000000000,620.0000000000,2976.7064999867,6538.6800000000,2941.9735000133,observed,baseline,0.0000000000,620.0000000000
60,2388,-620.0000000000,0.0000000000,620.0000000000,2708.1993004600,6358.8600000000,3030.6606995400,observed,baseline,0.0000000000,620.0000000000
61,2389,-620.0000000000,0.0000000000,620.0000000000,2685.3857895800,6072.7800000000,2767.3942104200,observed,baseline,0.0000000000,620.0000000000
62,2390,-620.0000000000,0.0000000000,620.0000000000,2442.0210204367,5700.0000000000,2637.9789795633,observed,baseline,0.0000000000,620.0000000000
63,2391,-620.0000000000,0.0000000000,620.0000000000,2241.6164004433,5265.9000000000,2404.2835995567,observed,baseline,0.0000000000,620.0000000000
64,2392,-620.0000000000,0.0000000000,620.0000000000,2027.2370504433,4800.0000000000,2152.7629495567,observed,baseline,0.0000000000,620.0000000000
65,2393,-620.0000000000,0.0000000000,620.0000000000,1754.3553853467,4334.1000000000,1959.7446146533,observed,baseline,0.0000000000,620.0000000000
66,2394,-620.0000000000,0.0000000000,620.0000000000,1887.2273146267,3900.0000000000,1392.7726853733,observed,baseline,0.0000000000,620.0000000000
67,2395,-620.0000000000,0.0000000000,620.0000000000,1876.5157328733,3527.2200000000,1030.7042671267,observed,baseline,0.0000000000,620.0000000000
68,2396,-609.2908329167,0.0000000000,609.2908329167,1904.9904666467,3241.1400000000,726.8587004367,observed,baseline,0.0000000000,609.2908329167
69,2397,-508.5138866667,0.0000000000,508.5138866667,2104.5412142667,3061.3200000000,448.2648990667,observed,baseline,0.0000000000,508.5138866667
70,2398,-375.3210133233,0.0000000000,375.3210133233,2337.0542875867,3000.0000000000,287.6246990900,observed,baseline,0.0000000000,375.3210133233
71,2399,-296.9710999900,0.0000000000,296.9710999900,2537.3719000200,3061.3200000000,226.9769999900,observed,baseline,0.0000000000,296.9710999900
0,2328,-546.1512495833,0.0000000000,546.1512495833,2302.3980608567,3241.1400000000,418.8871695600,peak_price_empirical,candidate,0.0000000000,546.1512495833
1,2329,-484.9558337500,0.0000000000,484.9558337500,2704.8149495500,3527.2200000000,411.3182367000,peak_price_empirical,candidate,0.0000000000,484.9558337500
2,2330,-436.5604166667,0.0000000000,436.5604166667,2965.2963462533,3900.0000000000,534.0101399900,peak_price_empirical,candidate,0.0000000000,436.5604166667
3,2331,-615.7820841667,0.0000000000,615.7820841667,3121.6184515900,4334.1000000000,767.1866146600,peak_price_empirical,candidate,0.0000000000,615.7820841667
4,2332,-620.0000000000,0.0000000000,620.0000000000,3266.3363467333,4800.0000000000,1022.8949028500,peak_price_empirical,candidate,0.0000000000,620.0000000000
5,2333,-620.0000000000,0.0000000000,620.0000000000,3323.0172266667,5265.9000000000,1359.7327733333,peak_price_empirical,candidate,0.0000000000,620.0000000000
6,2334,-620.0000000000,0.0000000000,620.0000000000,3315.8861019900,5700.0000000000,1764.1138980100,peak_price_empirical,candidate,0.0000000000,620.0000000000
7,2335,-620.0000000000,0.0000000000,620.0000000000,3322.5123529000,6072.7800000000,2130.2676471000,peak_price_empirical,candidate,0.0000000000,620.0000000000
8,2336,-620.0000000000,0.0000000000,620.0000000000,3270.7540913100,6358.8600000000,2468.1059086900,peak_price_empirical,candidate,0.0000000000,620.0000000000
9,2337,-620.0000000000,0.0000000000,620.0000000000,3251.6388470500,6538.6800000000,2667.0411529500,peak_price_empirical,candidate,0.0000000000,620.0000000000
10,2338,-620.0000000000,0.0000000000,620.0000000000,3142.7827062133,6600.0000000000,2837.2172937867,peak_price_empirical,candidate,0.0000000000,620.0000000000
11,2339,-620.0000000000,0.0000000000,620.0000000000,2971.0183586400,6538.6800000000,2947.6616413600,peak_price_empirical,candidate,0.0000000000,620.0000000000
12,2340,-620.0000000000,0.0000000000,620.0000000000,2794.3882404233,6358.8600000000,2944.4717595767,peak_price_empirical,candidate,0.0000000000,620.0000000000
13,2341,-620.0000000000,0.0000000000,620.0000000000,2658.3066800067,6072.7800000000,2554.4733199933,peak_price_empirical,candidate,0.0000000000,620.0000000000
14,2342,-620.0000000000,0.0000000000,620.0000000000,2558.7165742400,5700.0000000000,2299.7380090933,peak_price_empirical,candidate,0.0000000000,620.0000000000
15,2343,-620.0000000000,0.0000000000,620.0000000000,2274.3146124767,5265.9000000000,2198.7149704400,peak_price_empirical,candidate,0.0000000000,620.0000000000
16,2344,-620.0000000000,0.0000000000,620.0000000000,1992.3273395433,4800.0000000000,2048.2743271233,peak_price_empirical,candidate,0.0000000000,620.0000000000
17,2345,-620.0000000000,0.0000000000,620.0000000000,1798.1384000000,4334.1000000000,1468.1718000887,peak_price_empirical,candidate,0.0000000000,620.0000000000
18,2346,-620.0000000000,0.0000000000,620.0000000000,1703.3972128767,3900.0000000000,1413.1040004500,peak_price_empirical,candidate,0.0000000000,620.0000000000
19,2347,-620.0000000000,0.0000000000,620.0000000000,1707.8413808800,3527.2200000000,1062.8863257800,peak_price_empirical,candidate,0.0000000000,620.0000000000
20,2348,-620.0000000000,0.0000000000,620.0000000000,1721.4209528800,3241.1400000000,796.8303742100,peak_price_empirical,candidate,0.0000000000,620.0000000000
21,2349,-620.0000000000,0.0000000000,620.0000000000,1903.8677870867,3061.3200000000,575.4401887064,peak_price_empirical,candidate,0.0000000000,620.0000000000
22,2350,-620.0000000000,0.0000000000,620.0000000000,2077.5737128833,3000.0000000000,498.8457804500,peak_price_empirical,candidate,0.0000000000,620.0000000000
23,2351,-620.0000000000,0.0000000000,620.0000000000,2495.5148257933,3061.3200000000,223.2324462400,peak_price_empirical,candidate,0.0000000000,620.0000000000
24,2352,-336.6475004233,0.0000000000,336.6475004233,2632.7812595533,3241.1400000000,271.7112400233,peak_price_empirical,candidate,0.0000000000,336.6475004233
25,2353,-420.2122825000,0.0000000000,420.2122825000,3038.8786458000,3527.2200000000,238.2863204500,peak_price_empirical,candidate,0.0000000000,420.2122825000
26,2354,-620.0000000000,0.0000000000,620.0000000000,3336.3906475767,3900.0000000000,333.0381990900,peak_price_empirical,candidate,0.0000000000,620.0000000000
27,2355,-620.0000000000,0.0000000000,620.0000000000,3432.4594375433,4334.1000000000,529.9744495500,peak_price_empirical,candidate,0.0000000000,620.0000000000
28,2356,-620.0000000000,0.0000000000,620.0000000000,3473.3926203667,4800.0000000000,788.1806271400,peak_price_empirical,candidate,0.0000000000,620.0000000000
29,2357,-620.0000000000,0.0000000000,620.0000000000,3571.6647804033,5265.9000000000,1074.2352195967,peak_price_empirical,candidate,0.0000000000,620.0000000000
30,2358,-620.0000000000,0.0000000000,620.0000000000,3539.4488800367,5700.0000000000,1540.5511199633,peak_price_empirical,candidate,0.0000000000,620.0000000000
31,2359,-620.0000000000,0.0000000000,620.0000000000,3349.0057337867,6072.7800000000,2103.7742662133,peak_price_empirical,candidate,0.0000000000,620.0000000000
32,2360,-620.0000000000,0.0000000000,620.0000000000,3227.1888708500,6358.8600000000,2511.6711291500,peak_price_empirical,candidate,0.0000000000,620.0000000000
33,2361,-620.0000000000,0.0000000000,620.0000000000,3165.8994757900,6538.6800000000,2752.7805242100,peak_price_empirical,candidate,0.0000000000,620.0000000000
34,2362,-620.0000000000,0.0000000000,620.0000000000,3089.0116928467,6600.0000000000,2890.9883071533,peak_price_empirical,candidate,0.0000000000,620.0000000000
35,2363,-620.0000000000,0.0000000000,620.0000000000,2977.3029929067,6538.6800000000,2941.3770070933,peak_price_empirical,candidate,0.0000000000,620.0000000000
36,2364,-620.0000000000,0.0000000000,620.0000000000,2854.5274549067,6358.8600000000,2884.3325450933,peak_price_empirical,candidate,0.0000000000,620.0000000000
37,2365,-620.0000000000,0.0000000000,620.0000000000,2775.2537041767,6072.7800000000,2677.5262958233,peak_price_empirical,candidate,0.0000000000,620.0000000000
38,2366,-620.0000000000,0.0000000000,620.0000000000,2666.0847087000,5700.0000000000,2229.7682075500,peak_price_empirical,candidate,0.0000000000,620.0000000000
39,2367,-620.0000000000,0.0000000000,620.0000000000,2341.3201729200,5265.9000000000,2134.3085136308,peak_price_empirical,candidate,0.0000000000,620.0000000000
40,2368,-620.0000000000,0.0000000000,620.0000000000,1951.8718053533,4800.0000000000,1866.6461603293,peak_price_empirical,candidate,0.0000000000,620.0000000000
41,2369,-620.0000000000,0.0000000000,620.0000000000,1796.4496438200,4334.1000000000,1580.9319390900,peak_price_empirical,candidate,0.0000000000,620.0000000000
42,2370,-620.0000000000,0.0000000000,620.0000000000,1613.9036162133,3900.0000000000,1334.7611904600,peak_price_empirical,candidate,0.0000000000,620.0000000000
43,2371,-620.0000000000,0.0000000000,620.0000000000,1609.6107770700,3527.2200000000,1149.9614562633,peak_price_empirical,candidate,0.0000000000,620.0000000000
