Hour,Region,PricePeriod,ElectricityPrice_CNY_per_MWh,SellPrice_CNY_per_MWh,CarbonIntensity_tCO2_per_MWh,AvailableRenewable_MW,NonAI_IT_Load_MW,AbsoluteHour,AI_IT_Load_MW,IT_Load_MW,PUE,Total_Load_MW,Q2Method,ObservedElectricityPrice_CNY_per_MWh,ObservedCarbonIntensity_tCO2_per_MWh,ObservedAvailableRenewable_MW,ScenarioPriceMultiplier,ScenarioCarbonMultiplier,ScenarioRenewableMultiplier,ChargePower_MW,DischargePower_MW,SOC_MWh,RenewableToLoad_MW,RenewableCharge_MW,GridCharge_MW,GridLoadPurchase_MW,GridPurchase_MW,GridSell_MW,Curtailment_MW,NetGridImport_MW,ChargeMode,GridImportMode,Method,Scenario
14,RegionA,Flat,712.2400000000,0.0000000000,0.5653000000,950.0000000000,306.1516670000,2342,21.6873333333,327.8390003333,1.3500000000,442.5826504500,FIFO_latency_feasible_local_first,712.2400000000,0.5653000000,950.0000000000,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,157.5000000000,442.5826504500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,507.4173495500,0.0000000000,0,0,Q2_FIFO_plus_no_storage_renewable_first,observed
15,RegionA,Flat,712.6900000000,0.0000000000,0.5709000000,877.6500000000,299.7593330000,2343,14.9906666667,314.7499996667,1.3500000000,424.9124995500,FIFO_latency_feasible_local_first,712.6900000000,0.5709000000,877.6500000000,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,157.5000000000,424.9124995500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,452.7375004500,0.0000000000,0,0,Q2_FIFO_plus_no_storage_renewable_first,observed
16,RegionA,Flat,713.1400000000,0.0000000000,0.5794000000,800.0000000000,220.9423330000,2344,29.1316666667,250.0739996667,1.3500000000,337.5998995500,FIFO_latency_feasible_local_first,713.1400000000,0.5794000000,800.0000000000,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,157.5000000000,337.5998995500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,462.4001004500,0.0000000000,0,0,Q2_FIFO_plus_no_storage_renewable_first,observed
17,RegionA,Peak,1034.7000000000,0.0000000000,0.5904000000,722.3500000000,194.5866670000,2345,26.9233333333,221.5100003333,1.3500000000,299.0385004500,FIFO_latency_feasible_local_first,1034.7000000000,0.5904000000,722.3500000000,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,157.5000000000,299.0385004500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,423.3114995500,0.0000000000,0,0,Q2_FIFO_plus_no_storage_renewable_first,observed
18,RegionA,Peak,1035.3700000000,0.0000000000,0.6030000000,650.0000000000,208.5800000000,2346,15.6600000000,224.2400000000,1.3500000000,302.7240000000,FIFO_latency_feasible_local_first,1035.3700000000,0.6030000000,650.0000000000,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,157.5000000000,302.7240000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,347.2760000000,0.0000000000,0,0,Q2_FIFO_plus_no_storage_renewable_first,observed
19,RegionA,Peak,1036.0300000000,0.0000000000,0.6165000000,587.8700000000,243.5246670000,2347,9.9253333333,253.4500003333,1.3500000000,342.1575004500,FIFO_latency_feasible_local_first,1036.0300000000,0.6165000000,587.8700000000,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,157.5000000000,342.1575004500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,245.7124995500,0.0000000000,0,0,Q2_FIFO_plus_no_storage_renewable_first,observed
20,RegionA,Peak,1036.7100000000,0.0000000000,0.6301000000,540.1900000000,230.4453330000,2348,7.1746666667,237.6199996667,1.3500000000,320.7869995500,FIFO_latency_feasible_local_first,1036.7100000000,0.6301000000,540.1900000000,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,157.5000000000,320.7869995500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,219.4030004500,0.0000000000,0,0,Q2_FIFO_plus_no_storage_renewable_first,observed
21,RegionA,Peak,1037.3800000000,0.0000000000,0.6427000000,510.2200000000,257.2800000000,2349,9.7400000000,267.0200000000,1.3500000000,360.4770000000,FIFO_latency_feasible_local_first,1037.3800000000,0.6427000000,510.2200000000,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,157.5000000000,360.4770000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,149.7430000000,0.0000000000,0,0,Q2_FIFO_plus_no_storage_renewable_first,observed
22,RegionA,Flat,644.3100000000,0.0000000000,0.6537000000,500.0000000000,266.8433330000,2350,26.7066666667,293.5499996667,1.3500000000,396.2924995500,FIFO_latency_feasible_local_first,644.3100000000,0.6537000000,500.0000000000,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,157.5000000000,396.2924995500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,103.7075004500,0.0000000000,0,0,Q2_FIFO_plus_no_storage_renewable_first,observed
23,RegionA,Flat,644.7400000000,0.0000000000,0.6623000000,510.2200000000,315.1273330000,2351,25.1426666667,340.2699996667,1.3500000000,459.3644995500,FIFO_latency_feasible_local_first,644.7400000000,0.6623000000,510.2200000000,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,157.5000000000,459.3644995500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,50.8555004500,0.0000000000,0,0,Q2_FIFO_plus_no_storage_renewable_first,observed
24,RegionA,Valley,465.9500000000,0.0000000000,0.6679000000,540.1900000000,320.0600000000,2352,24.3000000000,344.3600000000,1.3500000000,464.8860000000,FIFO_latency_feasible_local_first,465.9500000000,0.6679000000,540.1900000000,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,157.5000000000,464.8860000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,75.3040000000,0.0000000000,0,0,Q2_FIFO_plus_no_storage_renewable_first,observed
25,RegionA,Valley,466.2500000000,0.0000000000,0.6703000000,587.8700000000,357.6143330000,2353,23.7356666667,381.3499996667,1.3500000000,514.8224995500,FIFO_latency_feasible_local_first,466.2500000000,0.6703000000,587.8700000000,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,157.5000000000,514.8224995500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,73.0475004500,0.0000000000,0,0,Q2_FIFO_plus_no_storage_renewable_first,observed
26,RegionA,Valley,466.5600000000,0.0000000000,0.6693000000,650.0000000000,380.1740000000,2354,23.0260000000,403.2000000000,1.3500000000,544.3200000000,FIFO_latency_feasible_local_first,466.5600000000,0.6693000000,650.0000000000,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,157.5000000000,544.3200000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,105.6800000000,0.0000000000,0,0,Q2_FIFO_plus_no_storage_renewable_first,observed
27,RegionA,Valley,466.8600000000,0.0000000000,0.6650000000,722.3500000000,376.8586670000,2355,26.3413333333,403.2000003333,1.3500000000,544.3200004500,FIFO_latency_feasible_local_first,466.8600000000,0.6650000000,722.3500000000,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,157.5000000000,544.3200004500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,178.0299995500,0.0000000000,0,0,Q2_FIFO_plus_no_storage_renewable_first,observed
28,RegionA,Valley,467.1600000000,0.0000000000,0.6578000000,800.0000000000,382.0483330000,2356,15.5783333333,397.6266663333,1.3500000000,536.7959995500,FIFO_latency_feasible_local_first,467.1600000000,0.6578000000,800.0000000000,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,157.5000000000,536.7959995500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,263.2040004500,0.0000000000,0,0,Q2_FIFO_plus_no_storage_renewable_first,observed
29,RegionA,Valley,467.4700000000,0.0000000000,0.6483000000,877.6500000000,394.3153330000,2357,14.4580000000,408.7733330000,1.3500000000,551.8439995500,FIFO_latency_feasible_local_first,467.4700000000,0.6483000000,877.6500000000,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,157.5000000000,551.8439995500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,325.8060004500,0.0000000000,0,0,Q2_FIFO_plus_no_storage_renewable_first,observed
30,RegionA,Valley,467.7600000000,0.0000000000,0.6370000000,950.0000000000,398.1686670000,2358,5.0313333333,403.2000003333,1.3500000000,544.3200004500,FIFO_latency_feasible_local_first,467.7600000000,0.6370000000,950.0000000000,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,157.5000000000,544.3200004500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,405.6799995500,0.0000000000,0,0,Q2_FIFO_plus_no_storage_renewable_first,observed
31,RegionA,Flat,720.1000000000,0.0000000000,0.6248000000,1012.1300000000,399.2600000000,2359,3.9400000000,403.2000000000,1.3500000000,544.3200000000,FIFO_latency_feasible_local_first,720.1000000000,0.6248000000,1012.1300000000,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,157.5000000000,544.3200000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,467.8100000000,0.0000000000,0,0,Q2_FIFO_plus_no_storage_renewable_first,observed
32,RegionA,Flat,720.5500000000,0.0000000000,0.6126000000,1059.8100000000,397.6533330000,2360,5.5466666667,403.1999996667,1.3500000000,544.3199995500,FIFO_latency_feasible_local_first,720.5500000000,0.6126000000,1059.8100000000,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,157.5000000000,544.3199995500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,515.4900004500,0.0000000000,0,0,Q2_FIFO_plus_no_storage_renewable_first,observed
33,RegionA,Flat,721.0000000000,0.0000000000,0.6013000000,1089.7800000000,396.5840000000,2361,6.6160000000,403.2000000000,1.3500000000,544.3200000000,FIFO_latency_feasible_local_first,721.0000000000,0.6013000000,1089.7800000000,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,157.5000000000,544.3200000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,545.4600000000,0.0000000000,0,0,Q2_FIFO_plus_no_storage_renewable_first,observed
34,RegionA,Flat,721.4400000000,0.0000000000,0.5917000000,1100.0000000000,397.0053330000,2362,6.1946666667,403.1999996667,1.3500000000,544.3199995500,FIFO_latency_feasible_local_first,721.4400000000,0.5917000000,1100.0000000000,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,157.5000000000,544.3199995500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,555.6800004500,0.0000000000,0,0,Q2_FIFO_plus_no_storage_renewable_first,observed
35,RegionA,Flat,721.8800000000,0.0000000000,0.5845000000,1089.7800000000,375.2343330000,2363,7.2056666667,382.4399996667,1.3500000000,516.2939995500,FIFO_latency_feasible_local_first,721.8800000000,0.5845000000,1089.7800000000,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,157.5000000000,516.2939995500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,573.4860004500,0.0000000000,0,0,Q2_FIFO_plus_no_storage_renewable_first,observed
36,RegionA,Flat,722.3100000000,0.0000000000,0.5802000000,1059.8100000000,318.1453330000,2364,17.3046666667,335.4499996667,1.3500000000,452.8574995500,FIFO_latency_feasible_local_first,722.3100000000,0.5802000000,1059.8100000000,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,157.5000000000,452.8574995500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,606.9525004500,0.0000000000,0,0,Q2_FIFO_plus_no_storage_renewable_first,observed
37,RegionA,Flat,722.7400000000,0.0000000000,0.5791000000,1012.1300000000,323.7120000000,2365,16.1880000000,339.9000000000,1.3500000000,458.8650000000,FIFO_latency_feasible_local_first,722.7400000000,0.5791000000,1012.1300000000,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,157.5000000000,458.8650000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,553.2650000000,0.0000000000,0,0,Q2_FIFO_plus_no_storage_renewable_first,observed
38,RegionA,Flat,723.1600000000,0.0000000000,0.5814000000,950.0000000000,306.7846670000,2366,14.8633333333,321.6480003333,1.3500000000,434.2248004500,FIFO_latency_feasible_local_first,723.1600000000,0.5814000000,950.0000000000,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,157.5000000000,434.2248004500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,515.7751995500,0.0000000000,0,0,Q2_FIFO_plus_no_storage_renewable_first,observed
39,RegionA,Flat,723.5700000000,0.0000000000,0.5869000000,877.6500000000,279.2650000000,2367,7.2750000000,286.5400000000,1.3500000000,386.8290000000,FIFO_latency_feasible_local_first,723.5700000000,0.5869000000,877.6500000000,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,157.5000000000,386.8290000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,490.8210000000,0.0000000000,0,0,Q2_FIFO_plus_no_storage_renewable_first,observed
40,RegionA,Flat,723.9800000000,0.0000000000,0.5954000000,800.0000000000,252.6773330000,2368,6.8226666667,259.4999996667,1.3500000000,350.3249995500,FIFO_latency_feasible_local_first,723.9800000000,0.5954000000,800.0000000000,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,157.5000000000,350.3249995500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,449.6750004500,0.0000000000,0,0,Q2_FIFO_plus_no_storage_renewable_first,observed
41,RegionA,Peak,1050.3400000000,0.0000000000,0.6062000000,722.3500000000,244.0370000000,2369,9.1530000000,253.1900000000,1.3500000000,341.8065000000,FIFO_latency_feasible_local_first,1050.3400000000,0.6062000000,722.3500000000,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,157.5000000000,341.8065000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,380.5435000000,0.0000000000,0,0,Q2_FIFO_plus_no_storage_renewable_first,observed
42,RegionA,Peak,1050.9000000000,0.0000000000,0.6188000000,650.0000000000,223.7783330000,2370,21.2016666667,244.9799996667,1.3500000000,330.7229995500,FIFO_latency_feasible_local_first,1050.9000000000,0.6188000000,650.0000000000,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,157.5000000000,330.7229995500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,319.2770004500,0.0000000000,0,0,Q2_FIFO_plus_no_storage_renewable_first,observed
43,RegionA,Peak,1051.4400000000,0.0000000000,0.6321000000,587.8700000000,211.6813330000,2371,21.4786666667,233.1599996667,1.3500000000,314.7659995500,FIFO_latency_feasible_local_first,1051.4400000000,0.6321000000,587.8700000000,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,157.5000000000,314.7659995500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,273.1040004500,0.0000000000,0,0,Q2_FIFO_plus_no_storage_renewable_first,observed
44,RegionA,Peak,1051.9800000000,0.0000000000,0.6455000000,540.1900000000,228.3473330000,2372,19.2026666667,247.5499996667,1.3500000000,334.1924995500,FIFO_latency_feasible_local_first,1051.9800000000,0.6455000000,540.1900000000,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,157.5000000000,334.1924995500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,205.9975004500,0.0000000000,0,0,Q2_FIFO_plus_no_storage_renewable_first,observed
45,RegionA,Peak,1052.4900000000,0.0000000000,0.6580000000,510.2200000000,261.0486670000,2373,15.9013333333,276.9500003333,1.3500000000,373.8825004500,FIFO_latency_feasible_local_first,1052.4900000000,0.6580000000,510.2200000000,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,157.5000000000,373.8825004500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,136.3374995500,0.0000000000,0,0,Q2_FIFO_plus_no_storage_renewable_first,observed
46,RegionA,Flat,653.5800000000,0.0000000000,0.6687000000,500.0000000000,271.9233330000,2374,18.3066666667,290.2299996667,1.3500000000,391.8104995500,FIFO_latency_feasible_local_first,653.5800000000,0.6687000000,500.0000000000,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,157.5000000000,391.8104995500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,108.1895004500,0.0000000000,0,0,Q2_FIFO_plus_no_storage_renewable_first,observed
47,RegionA,Flat,653.8800000000,0.0000000000,0.6771000000,510.2200000000,314.1713330000,2375,17.1186666667,331.2899996667,1.3500000000,447.2414995500,FIFO_latency_feasible_local_first,653.8800000000,0.6771000000,510.2200000000,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,157.5000000000,447.2414995500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,62.9785004500,0.0000000000,0,0,Q2_FIFO_plus_no_storage_renewable_first,observed
48,RegionA,Valley,472.4600000000,0.0000000000,0.6825000000,540.1900000000,309.8046670000,2376,14.0353333333,323.8400003333,1.3500000000,437.1840004500,FIFO_latency_feasible_local_first,472.4600000000,0.6825000000,540.1900000000,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,157.5000000000,437.1840004500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,103.0059995500,0.0000000000,0,0,Q2_FIFO_plus_no_storage_renewable_first,observed
49,RegionA,Valley,472.6600000000,0.0000000000,0.6846000000,587.8700000000,365.4866670000,2377,15.6033333333,381.0900003333,1.3500000000,514.4715004500,FIFO_latency_feasible_local_first,472.6600000000,0.6846000000,587.8700000000,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,157.5000000000,514.4715004500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,73.3984995500,0.0000000000,0,0,Q2_FIFO_plus_no_storage_renewable_first,observed
50,RegionA,Valley,472.8600000000,0.0000000000,0.6833000000,650.0000000000,386.0133330000,2378,14.2066666667,400.2199996667,1.3500000000,540.2969995500,FIFO_latency_feasible_local_first,472.8600000000,0.6833000000,650.0000000000,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,157.5000000000,540.2969995500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,109.7030004500,0.0000000000,0,0,Q2_FIFO_plus_no_storage_renewable_first,observed
51,RegionA,Valley,473.0400000000,0.0000000000,0.6787000000,722.3500000000,393.1773330000,2379,10.0226666667,403.1999996667,1.3500000000,544.3199995500,FIFO_latency_feasible_local_first,473.0400000000,0.6787000000,722.3500000000,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,157.5000000000,544.3199995500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,178.0300004500,0.0000000000,0,0,Q2_FIFO_plus_no_storage_renewable_first,observed
52,RegionA,Valley,473.2200000000,0.0000000000,0.6712000000,800.0000000000,376.7273330000,2380,26.4726666667,403.1999996667,1.3500000000,544.3199995500,FIFO_latency_feasible_local_first,473.2200000000,0.6712000000,800.0000000000,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,157.5000000000,544.3199995500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,255.6800004500,0.0000000000,0,0,Q2_FIFO_plus_no_storage_renewable_first,observed
53,RegionA,Valley,473.3900000000,0.0000000000,0.6612000000,877.6500000000,374.4486670000,2381,28.7513333333,403.2000003333,1.3500000000,544.3200004500,FIFO_latency_feasible_local_first,473.3900000000,0.6612000000,877.6500000000,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,157.5000000000,544.3200004500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,333.3299995500,0.0000000000,0,0,Q2_FIFO_plus_no_storage_renewable_first,observed
