Hour,Region,ElectricityPrice_CNY_per_MWh,SellPrice_CNY_per_MWh,CarbonIntensity_tCO2_per_MWh,Total_Load_MW,AvailableRenewable_MW,ChargePower_MW,DischargePower_MW,SOC_MWh,RenewableToLoad_MW,RenewableCharge_MW,GridCharge_MW,GridLoadPurchase_MW,GridPurchase_MW,GridSell_MW,Curtailment_MW,NetGridImport_MW,GridEnergyForCost_MW,ChargeMode,GridImportMode,Scenario,CoordinationIteration
3,RegionB,449.3800000000,0.0000000000,0.6221000000,531.3600000000,722.3500000000,0.0000000000,90.0000000000,84.0826086957,441.3600000000,-0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,280.9900000000,0.0000000000,0.0000000000,0,1,observed,5
4,RegionB,449.6700000000,0.0000000000,0.6154000000,531.3600004500,800.0000000000,90.0000000000,-0.0000000000,167.7826086957,531.3600004500,90.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,178.6399995500,0.0000000000,0.0000000000,1,1,observed,5
5,RegionB,449.9600000000,0.0000000000,0.6064000000,531.3599995500,877.6500000000,90.0000000000,-0.0000000000,251.4826086957,531.3599995500,90.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,256.2900004500,0.0000000000,0.0000000000,1,1,observed,5
6,RegionB,450.2400000000,0.0000000000,0.5959000000,531.3600000000,950.0000000000,0.0000000000,90.0000000000,153.6565217391,441.3600000000,-0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,508.6400000000,0.0000000000,0.0000000000,0,1,observed,5
7,RegionB,693.1200000000,0.0000000000,0.5845000000,531.3599995500,1012.1300000000,90.0000000000,-0.0000000000,237.3565217391,531.3599995500,90.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,390.7700004500,0.0000000000,0.0000000000,1,1,observed,5
8,RegionB,693.5600000000,0.0000000000,0.5731000000,531.3599995500,1059.8100000000,0.0000000000,90.0000000000,139.5304347826,441.3599995500,-0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,618.4500004500,0.0000000000,0.0000000000,0,1,observed,5
9,RegionB,693.9900000000,0.0000000000,0.5625000000,531.3600000000,1089.7800000000,90.0000000000,-0.0000000000,223.2304347826,531.3600000000,90.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,468.4200000000,0.0000000000,0.0000000000,1,1,observed,5
10,RegionB,694.4100000000,0.0000000000,0.5535000000,531.3600000000,1100.0000000000,90.0000000000,-0.0000000000,306.9304347826,531.3600000000,90.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,478.6400000000,0.0000000000,0.0000000000,1,1,observed,5
11,RegionB,694.8300000000,0.0000000000,0.5468000000,531.3599995500,1089.7800000000,0.0000000000,90.0000000000,209.1043478261,441.3599995500,-0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,648.4200004500,0.0000000000,0.0000000000,0,1,observed,5
12,RegionB,695.2500000000,0.0000000000,0.5427000000,482.3819995500,1059.8100000000,90.0000000000,-0.0000000000,292.8043478261,482.3819995500,90.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,487.4280004500,0.0000000000,0.0000000000,1,1,observed,5
13,RegionB,695.6600000000,0.0000000000,0.5417000000,443.2360495500,1012.1300000000,0.0000000000,90.0000000000,194.9782608696,353.2360495500,-0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,658.8939504500,0.0000000000,0.0000000000,0,1,observed,5
14,RegionB,696.0600000000,0.0000000000,0.5439000000,422.4338995500,950.0000000000,0.0000000000,90.0000000000,97.1521739130,332.4338995500,-0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,617.5661004500,0.0000000000,0.0000000000,0,1,observed,5
15,RegionB,696.4500000000,0.0000000000,0.5491000000,377.5004995500,877.6500000000,90.0000000000,-0.0000000000,180.8521739130,377.5004995500,90.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,410.1495004500,0.0000000000,0.0000000000,1,1,observed,5
16,RegionB,696.8400000000,0.0000000000,0.5570000000,341.6593500000,800.0000000000,0.0000000000,90.0000000000,83.0260869565,251.6593500000,-0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,548.3406500000,0.0000000000,0.0000000000,0,1,observed,5
17,RegionB,1010.9700000000,0.0000000000,0.5671000000,344.7360004500,722.3500000000,90.0000000000,-0.0000000000,166.7260869565,344.7360004500,90.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,287.6139995500,0.0000000000,0.0000000000,1,1,observed,5
18,RegionB,1011.5100000000,0.0000000000,0.5788000000,291.1005004500,650.0000000000,0.0000000000,90.0000000000,68.9000000000,201.1005004500,-0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,448.8994995500,0.0000000000,0.0000000000,0,1,observed,5
19,RegionB,1012.0300000000,0.0000000000,0.5913000000,336.9734995500,587.8700000000,90.0000000000,-0.0000000000,152.6000000000,336.9734995500,90.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,160.8965004500,0.0000000000,0.0000000000,1,1,observed,5
20,RegionB,1012.5400000000,0.0000000000,0.6038000000,356.0760000000,540.1900000000,90.0000000000,-0.0000000000,236.3000000000,356.0760000000,90.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,94.1140000000,0.0000000000,0.0000000000,1,1,observed,5
21,RegionB,1013.0400000000,0.0000000000,0.6155000000,375.3270000000,510.2200000000,90.0000000000,-0.0000000000,320.0000000000,375.3270000000,90.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,44.8930000000,0.0000000000,0.0000000000,1,1,observed,5
22,RegionB,629.0800000000,0.0000000000,0.6256000000,423.6299995500,500.0000000000,0.0000000000,90.0000000000,222.1739130435,333.6299995500,-0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,166.3700004500,0.0000000000,0.0000000000,0,1,observed,5
23,RegionB,629.3700000000,0.0000000000,0.6334000000,444.7440004500,510.2200000000,0.0000000000,71.9200000000,144.0000000000,372.8240004500,-0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,137.3959995500,0.0000000000,0.0000000000,0,1,observed,5
0,RegionC,435.5000000000,0.0000000000,0.5925000000,468.1097995400,540.1900000000,72.0802004600,0.0000000000,202.0345864278,468.1097995400,72.0802004600,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1,1,observed,5
1,RegionC,435.7800000000,0.0000000000,0.5946000000,536.5440000000,587.8700000000,0.0000000000,85.0000000000,109.6432820800,451.5440000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,136.3260000000,0.0000000000,0.0000000000,0,1,observed,5
2,RegionC,436.0700000000,0.0000000000,0.5937000000,536.5440000000,650.0000000000,85.0000000000,0.0000000000,188.6932820800,536.5440000000,85.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,28.4560000000,0.0000000000,0.0000000000,1,1,observed,5
3,RegionC,436.3500000000,0.0000000000,0.5900000000,536.5440000000,722.3500000000,0.0000000000,85.0000000000,96.3019777321,451.5440000000,-0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,270.8060000000,0.0000000000,0.0000000000,0,1,observed,5
4,RegionC,436.6300000000,0.0000000000,0.5836000000,536.5440000000,800.0000000000,85.0000000000,0.0000000000,175.3519777321,536.5440000000,85.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,178.4560000000,0.0000000000,0.0000000000,1,1,observed,5
5,RegionC,436.9100000000,0.0000000000,0.5751000000,536.5439995400,877.6500000000,85.0000000000,0.0000000000,254.4019777321,536.5439995400,85.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,256.1060004600,0.0000000000,0.0000000000,1,1,observed,5
6,RegionC,437.1900000000,0.0000000000,0.5651000000,536.5440000000,950.0000000000,0.0000000000,85.0000000000,162.0106733843,451.5440000000,-0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,498.4560000000,0.0000000000,0.0000000000,0,1,observed,5
7,RegionC,673.0300000000,0.0000000000,0.5543000000,536.5439995400,1012.1300000000,0.0000000000,85.0000000000,69.6193690365,451.5439995400,-0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,560.5860004600,0.0000000000,0.0000000000,0,1,observed,5
8,RegionC,673.4500000000,0.0000000000,0.5435000000,536.5440004600,1059.8100000000,85.0000000000,0.0000000000,148.6693690365,536.5440004600,85.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,438.2659995400,0.0000000000,0.0000000000,1,1,observed,5
9,RegionC,673.8700000000,0.0000000000,0.5334000000,536.5440004600,1089.7800000000,85.0000000000,0.0000000000,227.7193690365,536.5440004600,85.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,468.2359995400,0.0000000000,0.0000000000,1,1,observed,5
10,RegionC,674.2900000000,0.0000000000,0.5249000000,536.5440004600,1100.0000000000,0.0000000000,85.0000000000,135.3280646887,451.5440004600,-0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,648.4559995400,0.0000000000,0.0000000000,0,1,observed,5
11,RegionC,674.6900000000,0.0000000000,0.5185000000,527.8500000000,1089.7800000000,85.0000000000,0.0000000000,214.3780646887,527.8500000000,85.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,476.9300000000,0.0000000000,0.0000000000,1,1,observed,5
12,RegionC,675.1000000000,0.0000000000,0.5147000000,474.4163995400,1059.8100000000,0.0000000000,85.0000000000,121.9867603408,389.4163995400,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,670.3936004600,0.0000000000,0.0000000000,0,1,observed,5
13,RegionC,675.4900000000,0.0000000000,0.5137000000,464.8116004600,1012.1300000000,85.0000000000,0.0000000000,201.0367603408,464.8116004600,85.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,462.3183995400,0.0000000000,0.0000000000,1,1,observed,5
14,RegionC,675.8800000000,0.0000000000,0.5157000000,429.9031200000,950.0000000000,0.0000000000,85.0000000000,108.6454559930,344.9031200000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,605.0968800000,0.0000000000,0.0000000000,0,1,observed,5
15,RegionC,676.2700000000,0.0000000000,0.5207000000,386.5642204600,877.6500000000,85.0000000000,0.0000000000,187.6954559930,386.5642204600,85.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,406.0857795400,0.0000000000,0.0000000000,1,1,observed,5
16,RegionC,676.6400000000,0.0000000000,0.5282000000,342.1309804600,800.0000000000,85.0000000000,0.0000000000,266.7454559930,342.1309804600,85.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,372.8690195400,0.0000000000,0.0000000000,1,1,observed,5
17,RegionC,981.6700000000,0.0000000000,0.5378000000,368.8050000000,722.3500000000,0.0000000000,85.0000000000,174.3541516452,283.8050000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,438.5450000000,0.0000000000,0.0000000000,0,1,observed,5
18,RegionC,982.1900000000,0.0000000000,0.5489000000,293.0016000000,650.0000000000,0.0000000000,85.0000000000,81.9628472974,208.0016000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,441.9984000000,0.0000000000,0.0000000000,0,1,observed,5
19,RegionC,982.7000000000,0.0000000000,0.5608000000,312.7908000000,587.8700000000,85.0000000000,-0.0000000000,161.0128472974,312.7908000000,85.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,190.0792000000,0.0000000000,0.0000000000,1,1,observed,5
20,RegionC,983.1900000000,0.0000000000,0.5726000000,349.6919995400,540.1900000000,0.0000000000,85.0000000000,68.6215429495,264.6919995400,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,275.4980004600,0.0000000000,0.0000000000,0,1,observed,5
21,RegionC,983.6700000000,0.0000000000,0.5837000000,364.5959995400,510.2200000000,85.0000000000,0.0000000000,147.6715429495,364.5959995400,85.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,60.6240004600,0.0000000000,0.0000000000,1,1,observed,5
22,RegionC,610.8500000000,0.0000000000,0.5932000000,400.5174004600,500.0000000000,85.0000000000,0.0000000000,226.7215429495,400.5174004600,85.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,14.4825995400,0.0000000000,0.0000000000,1,1,observed,5
23,RegionC,611.1300000000,0.0000000000,0.6006000000,455.6622004600,510.2200000000,0.0000000000,84.3838195136,135.0000000000,371.2783809464,-0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,138.9416190536,0.0000000000,0.0000000000,0,1,observed,5
0,RegionD,279.5000000000,218.0100000000,0.4525000000,443.3408000000,540.1900000000,0.0000000000,83.1508000000,315.5905376344,360.1900000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,180.0000000000,0.0000000000,-180.0000000000,0.0000000000,0,0,observed,5
1,RegionD,279.6800000000,218.1500000000,0.4541000000,465.3568000000,587.8700000000,0.0000000000,153.5911995733,150.4387101362,311.7656004267,0.0000000000,0.0000000000,0.0000000000,0.0000000000,180.0000000000,96.1043995733,-180.0000000000,0.0000000000,0,0,observed,5
2,RegionD,279.8600000000,218.2900000000,0.4534000000,526.2080004267,650.0000000000,0.0000000000,56.2080004267,90.0000000000,470.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,180.0000000000,0.0000000000,-180.0000000000,0.0000000000,0,0,observed,5
3,RegionD,280.0500000000,218.4400000000,0.4505000000,523.9167995733,722.3500000000,18.4332004267,-0.0000000000,107.3272084011,523.9167995733,18.4332004267,0.0000000000,0.0000000000,0.0000000000,180.0000000000,-0.0000000000,-180.0000000000,0.0000000000,1,0,observed,5
4,RegionD,280.2300000000,218.5800000000,0.4456000000,588.2112004267,800.0000000000,31.7887995733,0.0000000000,137.2086800000,588.2112004267,31.7887995733,0.0000000000,0.0000000000,0.0000000000,180.0000000000,0.0000000000,-180.0000000000,0.0000000000,1,0,observed,5
5,RegionD,280.4100000000,218.7200000000,0.4391000000,589.3631995733,877.6500000000,108.2868004267,-0.0000000000,238.9982724011,589.3631995733,108.2868004267,0.0000000000,0.0000000000,0.0000000000,180.0000000000,0.0000000000,-180.0000000000,0.0000000000,1,0,observed,5
6,RegionD,280.5900000000,218.8600000000,0.4315000000,587.3408000000,950.0000000000,182.6592000000,0.0000000000,410.6979204011,587.3408000000,182.6592000000,0.0000000000,0.0000000000,0.0000000000,180.0000000000,0.0000000000,-180.0000000000,0.0000000000,1,0,observed,5
7,RegionD,431.9500000000,336.9200000000,0.4233000000,607.4111995733,1012.1300000000,0.0000000000,260.0000000000,131.1280279280,347.4111995733,0.0000000000,0.0000000000,0.0000000000,0.0000000000,180.0000000000,484.7188004267,-180.0000000000,0.0000000000,0,0,observed,5
8,RegionD,432.2200000000,337.1300000000,0.4150000000,580.3135995733,1059.8100000000,260.0000000000,0.0000000000,375.5280279280,580.3135995733,260.0000000000,0.0000000000,0.0000000000,0.0000000000,180.0000000000,39.4964004267,-180.0000000000,0.0000000000,1,0,observed,5
9,RegionD,432.4800000000,337.3300000000,0.4074000000,548.3391995733,1089.7800000000,260.0000000000,0.0000000000,619.9280279280,548.3391995733,260.0000000000,0.0000000000,0.0000000000,0.0000000000,180.0000000000,101.4408004267,-180.0000000000,0.0000000000,1,0,observed,5
10,RegionD,432.7500000000,337.5500000000,0.4008000000,541.8367995733,1100.0000000000,0.0000000000,260.0000000000,340.3581354549,281.8367995733,-0.0000000000,0.0000000000,0.0000000000,0.0000000000,180.0000000000,638.1632004267,-180.0000000000,0.0000000000,0,0,observed,5
11,RegionD,433.0100000000,337.7500000000,0.3959000000,488.7296000000,1089.7800000000,0.0000000000,232.8330659730,90.0000000000,255.8965340270,0.0000000000,0.0000000000,0.0000000000,0.0000000000,180.0000000000,653.8834659730,-180.0000000000,0.0000000000,0,0,observed,5
12,RegionD,433.2700000000,337.9500000000,0.3930000000,452.1600000000,1059.8100000000,260.0000000000,-0.0000000000,334.4000000000,452.1600000000,260.0000000000,0.0000000000,0.0000000000,0.0000000000,180.0000000000,167.6500000000,-180.0000000000,0.0000000000,1,0,observed,5
13,RegionD,433.5300000000,338.1500000000,0.3923000000,453.5424000000,1012.1300000000,260.0000000000,0.0000000000,578.8000000000,453.5424000000,260.0000000000,0.0000000000,0.0000000000,0.0000000000,180.0000000000,118.5876000000,-180.0000000000,0.0000000000,1,0,observed,5
14,RegionD,433.7800000000,338.3500000000,0.3938000000,390.1311995733,950.0000000000,260.0000000000,0.0000000000,823.2000000000,390.1311995733,260.0000000000,0.0000000000,0.0000000000,0.0000000000,180.0000000000,119.8688004267,-180.0000000000,0.0000000000,1,0,observed,5
15,RegionD,434.0200000000,338.5400000000,0.3976000000,388.6515195733,877.6500000000,0.0000000000,260.0000000000,543.6301075269,128.6515195733,0.0000000000,0.0000000000,0.0000000000,0.0000000000,180.0000000000,568.9984804267,-180.0000000000,0.0000000000,0,0,observed,5
16,RegionD,434.2600000000,338.7200000000,0.4033000000,334.7840000000,800.0000000000,260.0000000000,0.0000000000,788.0301075269,334.7840000000,260.0000000000,0.0000000000,0.0000000000,0.0000000000,180.0000000000,25.2160000000,-180.0000000000,0.0000000000,1,0,observed,5
17,RegionD,630.0200000000,491.4200000000,0.4107000000,308.6719995733,722.3500000000,0.0000000000,260.0000000000,508.4602150538,48.6719995733,0.0000000000,0.0000000000,0.0000000000,0.0000000000,180.0000000000,493.6780004267,-180.0000000000,0.0000000000,0,0,observed,5
18,RegionD,630.3600000000,491.6800000000,0.4192000000,262.9248000000,650.0000000000,207.0752000000,0.0000000000,703.1109030538,262.9248000000,207.0752000000,0.0000000000,0.0000000000,0.0000000000,180.0000000000,-0.0000000000,-180.0000000000,0.0000000000,1,0,observed,5
19,RegionD,630.6900000000,491.9400000000,0.4282000000,293.0944004267,587.8700000000,105.6576865397,0.0000000000,802.4291284011,293.0944004267,105.6576865397,0.0000000000,0.0000000000,0.0000000000,180.0000000000,9.1179130336,-180.0000000000,0.0000000000,1,0,observed,5
20,RegionD,631.0000000000,492.1800000000,0.4373000000,279.1168004267,540.1900000000,81.0731995733,0.0000000000,878.6379360000,279.1168004267,81.0731995733,0.0000000000,0.0000000000,0.0000000000,180.0000000000,0.0000000000,-180.0000000000,0.0000000000,1,0,observed,5
21,RegionD,631.3100000000,492.4200000000,0.4457000000,307.4944000000,510.2200000000,22.7256000000,0.0000000000,900.0000000000,307.4944000000,22.7256000000,0.0000000000,0.0000000000,0.0000000000,180.0000000000,-0.0000000000,-180.0000000000,0.0000000000,1,0,observed,5
22,RegionD,392.0400000000,305.7900000000,0.4530000000,349.8240004267,500.0000000000,0.0000000000,200.3500000000,684.5698924731,149.4740004267,0.0000000000,0.0000000000,0.0000000000,0.0000000000,180.0000000000,170.5259995733,-180.0000000000,0.0000000000,0,0,observed,5
23,RegionD,392.2200000000,305.9300000000,0.4586000000,412.6464004267,510.2200000000,0.0000000000,260.0000000000,405.0000000000,152.6464004267,0.0000000000,0.0000000000,0.0000000000,0.0000000000,180.0000000000,177.5735995733,-180.0000000000,0.0000000000,0,0,observed,5
0,RegionE,247.0000000000,192.6600000000,0.2370000000,448.4125000000,540.1900000000,0.0000000000,22.4225004167,345.8897844982,425.9899995833,0.0000000000,0.0000000000,0.0000000000,0.0000000000,114.2000004167,0.0000000000,-114.2000004167,0.0000000000,0,0,observed,5
1,RegionE,247.1600000000,192.7800000000,0.2378000000,497.2374995833,587.8700000000,0.0000000000,129.3674995833,206.7849462366,367.8700000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,220.0000000000,0.0000000000,-220.0000000000,0.0000000000,0,0,observed,5
2,RegionE,247.3200000000,192.9100000000,0.2375000000,503.4000000000,650.0000000000,0.0000000000,73.4000000000,127.8602150538,430.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,220.0000000000,0.0000000000,-220.0000000000,0.0000000000,0,0,observed,5
