Hour,Region,ElectricityPrice_CNY_per_MWh,SellPrice_CNY_per_MWh,CarbonIntensity_tCO2_per_MWh,Total_Load_MW,AvailableRenewable_MW,ChargePower_MW,DischargePower_MW,SOC_MWh,RenewableToLoad_MW,RenewableCharge_MW,GridCharge_MW,GridLoadPurchase_MW,GridPurchase_MW,GridSell_MW,Curtailment_MW,NetGridImport_MW,GridEnergyForCost_MW,ChargeMode,Scenario,CoordinationIteration
10,RegionA,724.6100000000,0.0000000000,0.5917000000,531.7110004500,1100.0000000000,0.0000000000,0.0000000000,157.5000000000,531.7110004500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,568.2889995500,0.0000000000,0.0000000000,0,observed,5
11,RegionA,725.0400000000,0.0000000000,0.5845000000,506.1015000000,1089.7800000000,0.0000000000,0.0000000000,157.5000000000,506.1015000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,583.6785000000,0.0000000000,0.0000000000,0,observed,5
12,RegionA,725.4800000000,0.0000000000,0.5802000000,466.4789995500,1059.8100000000,0.0000000000,0.0000000000,157.5000000000,466.4789995500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,593.3310004500,0.0000000000,0.0000000000,0,observed,5
13,RegionA,725.9000000000,0.0000000000,0.5791000000,443.6667000000,1012.1300000000,0.0000000000,0.0000000000,157.5000000000,443.6667000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,568.4633000000,0.0000000000,0.0000000000,0,observed,5
14,RegionA,726.3200000000,0.0000000000,0.5814000000,423.0872995500,950.0000000000,0.0000000000,0.0000000000,157.5000000000,423.0872995500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,526.9127004500,0.0000000000,0.0000000000,0,observed,5
15,RegionA,726.7400000000,0.0000000000,0.5869000000,379.0665000000,877.6500000000,0.0000000000,0.0000000000,157.5000000000,379.0665000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,498.5835000000,0.0000000000,0.0000000000,0,observed,5
16,RegionA,727.1400000000,0.0000000000,0.5954000000,334.0439995500,800.0000000000,0.0000000000,0.0000000000,157.5000000000,334.0439995500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,465.9560004500,0.0000000000,0.0000000000,0,observed,5
17,RegionA,1054.9200000000,0.0000000000,0.6062000000,316.9124995500,722.3500000000,0.0000000000,0.0000000000,157.5000000000,316.9124995500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,405.4375004500,0.0000000000,0.0000000000,0,observed,5
18,RegionA,1055.4900000000,0.0000000000,0.6188000000,299.4434995500,650.0000000000,0.0000000000,0.0000000000,157.5000000000,299.4434995500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,350.5565004500,0.0000000000,0.0000000000,0,observed,5
19,RegionA,1056.0300000000,0.0000000000,0.6321000000,386.4914995500,587.8700000000,0.0000000000,0.0000000000,157.5000000000,386.4914995500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,201.3785004500,0.0000000000,0.0000000000,0,observed,5
20,RegionA,1056.5600000000,0.0000000000,0.6455000000,330.8849995500,540.1900000000,0.0000000000,0.0000000000,157.5000000000,330.8849995500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,209.3050004500,0.0000000000,0.0000000000,0,observed,5
21,RegionA,1057.0800000000,0.0000000000,0.6580000000,376.1235000000,510.2200000000,0.0000000000,0.0000000000,157.5000000000,376.1235000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,134.0965000000,0.0000000000,0.0000000000,0,observed,5
22,RegionA,656.4300000000,0.0000000000,0.6687000000,388.0034995500,500.0000000000,0.0000000000,0.0000000000,157.5000000000,388.0034995500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,111.9965004500,0.0000000000,0.0000000000,0,observed,5
23,RegionA,656.7300000000,0.0000000000,0.6771000000,408.9284995500,510.2200000000,0.0000000000,0.0000000000,157.5000000000,408.9284995500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,101.2915004500,0.0000000000,0.0000000000,0,observed,5
0,RegionB,448.5000000000,0.0000000000,0.6248000000,458.7435004500,540.1900000000,0.0000000000,0.0000000000,144.0000000000,458.7435004500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,81.4464995500,0.0000000000,0.0000000000,0,observed,5
1,RegionB,448.7900000000,0.0000000000,0.6271000000,527.3369995500,587.8700000000,0.0000000000,0.0000000000,144.0000000000,527.3369995500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,60.5330004500,0.0000000000,0.0000000000,0,observed,5
2,RegionB,449.0800000000,0.0000000000,0.6261000000,531.3599995500,650.0000000000,0.0000000000,0.0000000000,144.0000000000,531.3599995500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,118.6400004500,0.0000000000,0.0000000000,0,observed,5
3,RegionB,449.3800000000,0.0000000000,0.6221000000,531.3600000000,722.3500000000,0.0000000000,0.0000000000,144.0000000000,531.3600000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,190.9900000000,0.0000000000,0.0000000000,0,observed,5
4,RegionB,449.6700000000,0.0000000000,0.6154000000,531.3600004500,800.0000000000,0.0000000000,0.0000000000,144.0000000000,531.3600004500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,268.6399995500,0.0000000000,0.0000000000,0,observed,5
5,RegionB,449.9600000000,0.0000000000,0.6064000000,531.3599995500,877.6500000000,0.0000000000,0.0000000000,144.0000000000,531.3599995500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,346.2900004500,0.0000000000,0.0000000000,0,observed,5
6,RegionB,450.2400000000,0.0000000000,0.5959000000,531.3600000000,950.0000000000,0.0000000000,0.0000000000,144.0000000000,531.3600000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,418.6400000000,0.0000000000,0.0000000000,0,observed,5
7,RegionB,693.1200000000,0.0000000000,0.5845000000,531.3599995500,1012.1300000000,0.0000000000,0.0000000000,144.0000000000,531.3599995500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,480.7700004500,0.0000000000,0.0000000000,0,observed,5
8,RegionB,693.5600000000,0.0000000000,0.5731000000,531.3599995500,1059.8100000000,0.0000000000,0.0000000000,144.0000000000,531.3599995500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,528.4500004500,0.0000000000,0.0000000000,0,observed,5
9,RegionB,693.9900000000,0.0000000000,0.5625000000,531.3600000000,1089.7800000000,0.0000000000,0.0000000000,144.0000000000,531.3600000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,558.4200000000,0.0000000000,0.0000000000,0,observed,5
10,RegionB,694.4100000000,0.0000000000,0.5535000000,531.3600000000,1100.0000000000,0.0000000000,0.0000000000,144.0000000000,531.3600000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,568.6400000000,0.0000000000,0.0000000000,0,observed,5
11,RegionB,694.8300000000,0.0000000000,0.5468000000,531.3599995500,1089.7800000000,0.0000000000,0.0000000000,144.0000000000,531.3599995500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,558.4200004500,0.0000000000,0.0000000000,0,observed,5
12,RegionB,695.2500000000,0.0000000000,0.5427000000,482.3819995500,1059.8100000000,0.0000000000,0.0000000000,144.0000000000,482.3819995500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,577.4280004500,0.0000000000,0.0000000000,0,observed,5
13,RegionB,695.6600000000,0.0000000000,0.5417000000,443.2360495500,1012.1300000000,0.0000000000,0.0000000000,144.0000000000,443.2360495500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,568.8939504500,0.0000000000,0.0000000000,0,observed,5
14,RegionB,696.0600000000,0.0000000000,0.5439000000,422.4338995500,950.0000000000,0.0000000000,0.0000000000,144.0000000000,422.4338995500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,527.5661004500,0.0000000000,0.0000000000,0,observed,5
15,RegionB,696.4500000000,0.0000000000,0.5491000000,377.5004995500,877.6500000000,0.0000000000,0.0000000000,144.0000000000,377.5004995500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,500.1495004500,0.0000000000,0.0000000000,0,observed,5
16,RegionB,696.8400000000,0.0000000000,0.5570000000,341.6593500000,800.0000000000,0.0000000000,0.0000000000,144.0000000000,341.6593500000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,458.3406500000,0.0000000000,0.0000000000,0,observed,5
17,RegionB,1010.9700000000,0.0000000000,0.5671000000,344.7360004500,722.3500000000,0.0000000000,0.0000000000,144.0000000000,344.7360004500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,377.6139995500,0.0000000000,0.0000000000,0,observed,5
18,RegionB,1011.5100000000,0.0000000000,0.5788000000,291.1005004500,650.0000000000,0.0000000000,0.0000000000,144.0000000000,291.1005004500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,358.8994995500,0.0000000000,0.0000000000,0,observed,5
19,RegionB,1012.0300000000,0.0000000000,0.5913000000,336.9734995500,587.8700000000,0.0000000000,0.0000000000,144.0000000000,336.9734995500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,250.8965004500,0.0000000000,0.0000000000,0,observed,5
20,RegionB,1012.5400000000,0.0000000000,0.6038000000,356.0760000000,540.1900000000,0.0000000000,0.0000000000,144.0000000000,356.0760000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,184.1140000000,0.0000000000,0.0000000000,0,observed,5
21,RegionB,1013.0400000000,0.0000000000,0.6155000000,375.3270000000,510.2200000000,0.0000000000,0.0000000000,144.0000000000,375.3270000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,134.8930000000,0.0000000000,0.0000000000,0,observed,5
22,RegionB,629.0800000000,0.0000000000,0.6256000000,423.6299995500,500.0000000000,0.0000000000,0.0000000000,144.0000000000,423.6299995500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,76.3700004500,0.0000000000,0.0000000000,0,observed,5
23,RegionB,629.3700000000,0.0000000000,0.6334000000,444.7440004500,510.2200000000,0.0000000000,0.0000000000,144.0000000000,444.7440004500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,65.4759995500,0.0000000000,0.0000000000,0,observed,5
0,RegionC,435.5000000000,0.0000000000,0.5925000000,468.1097995400,540.1900000000,0.0000000000,0.0000000000,135.0000000000,468.1097995400,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,72.0802004600,0.0000000000,0.0000000000,0,observed,5
1,RegionC,435.7800000000,0.0000000000,0.5946000000,536.5440000000,587.8700000000,0.0000000000,0.0000000000,135.0000000000,536.5440000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,51.3260000000,0.0000000000,0.0000000000,0,observed,5
2,RegionC,436.0700000000,0.0000000000,0.5937000000,536.5440000000,650.0000000000,0.0000000000,0.0000000000,135.0000000000,536.5440000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,113.4560000000,0.0000000000,0.0000000000,0,observed,5
3,RegionC,436.3500000000,0.0000000000,0.5900000000,536.5440000000,722.3500000000,0.0000000000,0.0000000000,135.0000000000,536.5440000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,185.8060000000,0.0000000000,0.0000000000,0,observed,5
4,RegionC,436.6300000000,0.0000000000,0.5836000000,536.5440000000,800.0000000000,0.0000000000,0.0000000000,135.0000000000,536.5440000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,263.4560000000,0.0000000000,0.0000000000,0,observed,5
5,RegionC,436.9100000000,0.0000000000,0.5751000000,536.5439995400,877.6500000000,0.0000000000,0.0000000000,135.0000000000,536.5439995400,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,341.1060004600,0.0000000000,0.0000000000,0,observed,5
6,RegionC,437.1900000000,0.0000000000,0.5651000000,536.5440000000,950.0000000000,0.0000000000,0.0000000000,135.0000000000,536.5440000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,413.4560000000,0.0000000000,0.0000000000,0,observed,5
7,RegionC,673.0300000000,0.0000000000,0.5543000000,536.5439995400,1012.1300000000,0.0000000000,0.0000000000,135.0000000000,536.5439995400,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,475.5860004600,0.0000000000,0.0000000000,0,observed,5
8,RegionC,673.4500000000,0.0000000000,0.5435000000,536.5440004600,1059.8100000000,0.0000000000,0.0000000000,135.0000000000,536.5440004600,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,523.2659995400,0.0000000000,0.0000000000,0,observed,5
9,RegionC,673.8700000000,0.0000000000,0.5334000000,536.5440004600,1089.7800000000,0.0000000000,0.0000000000,135.0000000000,536.5440004600,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,553.2359995400,0.0000000000,0.0000000000,0,observed,5
10,RegionC,674.2900000000,0.0000000000,0.5249000000,536.5440004600,1100.0000000000,0.0000000000,0.0000000000,135.0000000000,536.5440004600,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,563.4559995400,0.0000000000,0.0000000000,0,observed,5
11,RegionC,674.6900000000,0.0000000000,0.5185000000,527.8500000000,1089.7800000000,0.0000000000,0.0000000000,135.0000000000,527.8500000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,561.9300000000,0.0000000000,0.0000000000,0,observed,5
12,RegionC,675.1000000000,0.0000000000,0.5147000000,474.4163995400,1059.8100000000,0.0000000000,0.0000000000,135.0000000000,474.4163995400,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,585.3936004600,0.0000000000,0.0000000000,0,observed,5
13,RegionC,675.4900000000,0.0000000000,0.5137000000,464.8116004600,1012.1300000000,0.0000000000,0.0000000000,135.0000000000,464.8116004600,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,547.3183995400,0.0000000000,0.0000000000,0,observed,5
14,RegionC,675.8800000000,0.0000000000,0.5157000000,429.9031200000,950.0000000000,0.0000000000,0.0000000000,135.0000000000,429.9031200000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,520.0968800000,0.0000000000,0.0000000000,0,observed,5
15,RegionC,676.2700000000,0.0000000000,0.5207000000,386.5642204600,877.6500000000,0.0000000000,0.0000000000,135.0000000000,386.5642204600,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,491.0857795400,0.0000000000,0.0000000000,0,observed,5
16,RegionC,676.6400000000,0.0000000000,0.5282000000,342.1309804600,800.0000000000,0.0000000000,0.0000000000,135.0000000000,342.1309804600,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,457.8690195400,0.0000000000,0.0000000000,0,observed,5
17,RegionC,981.6700000000,0.0000000000,0.5378000000,368.8050000000,722.3500000000,0.0000000000,0.0000000000,135.0000000000,368.8050000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,353.5450000000,0.0000000000,0.0000000000,0,observed,5
18,RegionC,982.1900000000,0.0000000000,0.5489000000,293.0016000000,650.0000000000,0.0000000000,0.0000000000,135.0000000000,293.0016000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,356.9984000000,0.0000000000,0.0000000000,0,observed,5
19,RegionC,982.7000000000,0.0000000000,0.5608000000,312.7908000000,587.8700000000,0.0000000000,0.0000000000,135.0000000000,312.7908000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,275.0792000000,0.0000000000,0.0000000000,0,observed,5
20,RegionC,983.1900000000,0.0000000000,0.5726000000,349.6919995400,540.1900000000,0.0000000000,0.0000000000,135.0000000000,349.6919995400,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,190.4980004600,0.0000000000,0.0000000000,0,observed,5
21,RegionC,983.6700000000,0.0000000000,0.5837000000,364.5959995400,510.2200000000,0.0000000000,0.0000000000,135.0000000000,364.5959995400,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,145.6240004600,0.0000000000,0.0000000000,0,observed,5
22,RegionC,610.8500000000,0.0000000000,0.5932000000,400.5174004600,500.0000000000,0.0000000000,0.0000000000,135.0000000000,400.5174004600,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,99.4825995400,0.0000000000,0.0000000000,0,observed,5
23,RegionC,611.1300000000,0.0000000000,0.6006000000,455.6622004600,510.2200000000,0.0000000000,0.0000000000,135.0000000000,455.6622004600,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,54.5577995400,0.0000000000,0.0000000000,0,observed,5
0,RegionD,279.5000000000,218.0100000000,0.4525000000,443.3408000000,540.1900000000,0.0000000000,0.0000000000,405.0000000000,443.3408000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,96.8492000000,0.0000000000,-96.8492000000,0.0000000000,0,observed,5
1,RegionD,279.6800000000,218.1500000000,0.4541000000,465.3568000000,587.8700000000,0.0000000000,0.0000000000,405.0000000000,465.3568000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,122.5132000000,0.0000000000,-122.5132000000,0.0000000000,0,observed,5
2,RegionD,279.8600000000,218.2900000000,0.4534000000,526.2080004267,650.0000000000,0.0000000000,0.0000000000,405.0000000000,526.2080004267,0.0000000000,0.0000000000,0.0000000000,0.0000000000,123.7919995733,0.0000000000,-123.7919995733,0.0000000000,0,observed,5
3,RegionD,280.0500000000,218.4400000000,0.4505000000,523.9167995733,722.3500000000,0.0000000000,0.0000000000,405.0000000000,523.9167995733,0.0000000000,0.0000000000,0.0000000000,0.0000000000,180.0000000000,18.4332004267,-180.0000000000,0.0000000000,0,observed,5
4,RegionD,280.2300000000,218.5800000000,0.4456000000,588.2112004267,800.0000000000,0.0000000000,0.0000000000,405.0000000000,588.2112004267,0.0000000000,0.0000000000,0.0000000000,0.0000000000,180.0000000000,31.7887995733,-180.0000000000,0.0000000000,0,observed,5
5,RegionD,280.4100000000,218.7200000000,0.4391000000,589.3631995733,877.6500000000,0.0000000000,0.0000000000,405.0000000000,589.3631995733,0.0000000000,0.0000000000,0.0000000000,0.0000000000,180.0000000000,108.2868004267,-180.0000000000,0.0000000000,0,observed,5
6,RegionD,280.5900000000,218.8600000000,0.4315000000,587.3408000000,950.0000000000,0.0000000000,0.0000000000,405.0000000000,587.3408000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,180.0000000000,182.6592000000,-180.0000000000,0.0000000000,0,observed,5
7,RegionD,431.9500000000,336.9200000000,0.4233000000,607.4111995733,1012.1300000000,0.0000000000,0.0000000000,405.0000000000,607.4111995733,0.0000000000,0.0000000000,0.0000000000,0.0000000000,180.0000000000,224.7188004267,-180.0000000000,0.0000000000,0,observed,5
8,RegionD,432.2200000000,337.1300000000,0.4150000000,580.3135995733,1059.8100000000,0.0000000000,0.0000000000,405.0000000000,580.3135995733,0.0000000000,0.0000000000,0.0000000000,0.0000000000,180.0000000000,299.4964004267,-180.0000000000,0.0000000000,0,observed,5
9,RegionD,432.4800000000,337.3300000000,0.4074000000,548.3391995733,1089.7800000000,0.0000000000,0.0000000000,405.0000000000,548.3391995733,0.0000000000,0.0000000000,0.0000000000,0.0000000000,180.0000000000,361.4408004267,-180.0000000000,0.0000000000,0,observed,5
10,RegionD,432.7500000000,337.5500000000,0.4008000000,541.8367995733,1100.0000000000,0.0000000000,0.0000000000,405.0000000000,541.8367995733,0.0000000000,0.0000000000,0.0000000000,0.0000000000,180.0000000000,378.1632004267,-180.0000000000,0.0000000000,0,observed,5
11,RegionD,433.0100000000,337.7500000000,0.3959000000,488.7296000000,1089.7800000000,0.0000000000,0.0000000000,405.0000000000,488.7296000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,180.0000000000,421.0504000000,-180.0000000000,0.0000000000,0,observed,5
12,RegionD,433.2700000000,337.9500000000,0.3930000000,452.1600000000,1059.8100000000,0.0000000000,0.0000000000,405.0000000000,452.1600000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,180.0000000000,427.6500000000,-180.0000000000,0.0000000000,0,observed,5
13,RegionD,433.5300000000,338.1500000000,0.3923000000,453.5424000000,1012.1300000000,0.0000000000,0.0000000000,405.0000000000,453.5424000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,180.0000000000,378.5876000000,-180.0000000000,0.0000000000,0,observed,5
14,RegionD,433.7800000000,338.3500000000,0.3938000000,390.1311995733,950.0000000000,0.0000000000,0.0000000000,405.0000000000,390.1311995733,0.0000000000,0.0000000000,0.0000000000,0.0000000000,180.0000000000,379.8688004267,-180.0000000000,0.0000000000,0,observed,5
15,RegionD,434.0200000000,338.5400000000,0.3976000000,388.6515195733,877.6500000000,0.0000000000,0.0000000000,405.0000000000,388.6515195733,0.0000000000,0.0000000000,0.0000000000,0.0000000000,180.0000000000,308.9984804267,-180.0000000000,0.0000000000,0,observed,5
16,RegionD,434.2600000000,338.7200000000,0.4033000000,334.7840000000,800.0000000000,0.0000000000,0.0000000000,405.0000000000,334.7840000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,180.0000000000,285.2160000000,-180.0000000000,0.0000000000,0,observed,5
17,RegionD,630.0200000000,491.4200000000,0.4107000000,308.6719995733,722.3500000000,0.0000000000,0.0000000000,405.0000000000,308.6719995733,0.0000000000,0.0000000000,0.0000000000,0.0000000000,180.0000000000,233.6780004267,-180.0000000000,0.0000000000,0,observed,5
18,RegionD,630.3600000000,491.6800000000,0.4192000000,262.9248000000,650.0000000000,0.0000000000,0.0000000000,405.0000000000,262.9248000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,180.0000000000,207.0752000000,-180.0000000000,0.0000000000,0,observed,5
19,RegionD,630.6900000000,491.9400000000,0.4282000000,293.0944004267,587.8700000000,0.0000000000,0.0000000000,405.0000000000,293.0944004267,0.0000000000,0.0000000000,0.0000000000,0.0000000000,180.0000000000,114.7755995733,-180.0000000000,0.0000000000,0,observed,5
20,RegionD,631.0000000000,492.1800000000,0.4373000000,279.1168004267,540.1900000000,0.0000000000,0.0000000000,405.0000000000,279.1168004267,0.0000000000,0.0000000000,0.0000000000,0.0000000000,180.0000000000,81.0731995733,-180.0000000000,0.0000000000,0,observed,5
21,RegionD,631.3100000000,492.4200000000,0.4457000000,307.4944000000,510.2200000000,0.0000000000,0.0000000000,405.0000000000,307.4944000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,180.0000000000,22.7256000000,-180.0000000000,0.0000000000,0,observed,5
22,RegionD,392.0400000000,305.7900000000,0.4530000000,349.8240004267,500.0000000000,0.0000000000,0.0000000000,405.0000000000,349.8240004267,0.0000000000,0.0000000000,0.0000000000,0.0000000000,150.1759995733,0.0000000000,-150.1759995733,0.0000000000,0,observed,5
23,RegionD,392.2200000000,305.9300000000,0.4586000000,412.6464004267,510.2200000000,0.0000000000,0.0000000000,405.0000000000,412.6464004267,0.0000000000,0.0000000000,0.0000000000,0.0000000000,97.5735995733,0.0000000000,-97.5735995733,0.0000000000,0,observed,5
0,RegionE,247.0000000000,192.6600000000,0.2370000000,448.4125000000,540.1900000000,0.0000000000,0.0000000000,370.0000000000,448.4125000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,91.7775000000,0.0000000000,-91.7775000000,0.0000000000,0,observed,5
1,RegionE,247.1600000000,192.7800000000,0.2378000000,497.2374995833,587.8700000000,0.0000000000,0.0000000000,370.0000000000,497.2374995833,0.0000000000,0.0000000000,0.0000000000,0.0000000000,90.6325004167,0.0000000000,-90.6325004167,0.0000000000,0,observed,5
2,RegionE,247.3200000000,192.9100000000,0.2375000000,503.4000000000,650.0000000000,0.0000000000,0.0000000000,370.0000000000,503.4000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,146.6000000000,0.0000000000,-146.6000000000,0.0000000000,0,observed,5
3,RegionE,247.4800000000,193.0300000000,0.2360000000,545.0000000000,722.3500000000,0.0000000000,0.0000000000,370.0000000000,545.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,177.3500000000,0.0000000000,-177.3500000000,0.0000000000,0,observed,5
4,RegionE,247.6400000000,193.1600000000,0.2334000000,556.6874995833,800.0000000000,0.0000000000,0.0000000000,370.0000000000,556.6874995833,0.0000000000,0.0000000000,0.0000000000,0.0000000000,220.0000000000,23.3125004167,-220.0000000000,0.0000000000,0,observed,5
