competition,year,problem,paper_id,title,award_or_label,access,source_url,resource_url,card_file,card_schema_version,review_status,authenticity_level,pdf_sha256,evidence_page_count,code_link_count,cached_pages,reported_total_pages,notes
CUMCM,2017,B,cumcm-2017-b-b264,基于优化理论的任务定价与分配模型,上游社区目录标注为优秀论文（未独立核验）,mirror_full_text,https://raw.githubusercontent.com/personqianduixue/Math_Model/8783d0d822f89f98aa6182dd933cc2e9f3e2ddce/2-1%E5%9B%BD%E8%B5%9B%E9%A2%98%E7%9B%AE%2B%E8%AE%BA%E6%96%87/2017/B264.pdf,,deep-read-cumcm/cumcm-2017-b-b264.json,3.0,evidence_deep_read,C,af2b94a9484dfcc4c471f28459ca65dbf52a1c46622bd52105ac283db68247e5,10,0,25,25,已完成全文提取与页码定位，但奖项真实性不足；只迁移内容结构，不作获奖经验依据
CUMCM,2018,B,cumcm-2018-b-b334,RGV 的动态调度优化问题,上游社区目录标注为优秀论文（未独立核验）,mirror_full_text,https://raw.githubusercontent.com/personqianduixue/Math_Model/8783d0d822f89f98aa6182dd933cc2e9f3e2ddce/2-1%E5%9B%BD%E8%B5%9B%E9%A2%98%E7%9B%AE%2B%E8%AE%BA%E6%96%87/2018/B334.pdf,,deep-read-cumcm/cumcm-2018-b-b334.json,3.0,evidence_deep_read,C,09688dc1cbdbb35ca803c7543c819c4c3c58b93e5ba34fc2ca6b6b63d8d0e7de,10,0,29,29,已完成全文提取与页码定位，但奖项真实性不足；只迁移内容结构，不作获奖经验依据
CUMCM,2018,C,cumcm-2018-c-c101,大型百货商场会员画像描述,上游社区目录标注为优秀论文（未独立核验）,mirror_full_text,https://raw.githubusercontent.com/personqianduixue/Math_Model/8783d0d822f89f98aa6182dd933cc2e9f3e2ddce/2-1%E5%9B%BD%E8%B5%9B%E9%A2%98%E7%9B%AE%2B%E8%AE%BA%E6%96%87/2018/C101.pdf,,deep-read-cumcm/cumcm-2018-c-c101.json,3.0,evidence_deep_read,C,44cebc1a705c7bf7a43e9b57be64878ba303d48744cd7c02844128ab22457318,10,0,15,15,已完成全文提取与页码定位，但奖项真实性不足；只迁移内容结构，不作获奖经验依据
CUMCM,2019,B,cumcm-2019-b-b057,同心鼓“同心协力”策略探究,上游社区目录标注为优秀论文（未独立核验）,mirror_full_text,https://raw.githubusercontent.com/personqianduixue/Math_Model/8783d0d822f89f98aa6182dd933cc2e9f3e2ddce/2-1%E5%9B%BD%E8%B5%9B%E9%A2%98%E7%9B%AE%2B%E8%AE%BA%E6%96%87/2019/B057.pdf,,deep-read-cumcm/cumcm-2019-b-b057.json,3.0,evidence_deep_read,C,46dce44c899542292020e89074973a2adf39eb06145b640d6cc171d6b56b033c,9,0,27,27,已完成全文提取与页码定位，但奖项真实性不足；只迁移内容结构，不作获奖经验依据
CUMCM,2019,E,cumcm-2019-e-e038,基于打折力度概念的“薄利多销”模型,上游社区目录标注为优秀论文（未独立核验）,mirror_full_text,https://raw.githubusercontent.com/personqianduixue/Math_Model/8783d0d822f89f98aa6182dd933cc2e9f3e2ddce/2-1%E5%9B%BD%E8%B5%9B%E9%A2%98%E7%9B%AE%2B%E8%AE%BA%E6%96%87/2019/E038.pdf,,deep-read-cumcm/cumcm-2019-e-e038.json,3.0,evidence_deep_read,C,8eaf89ddadd31d86099b7d99299d5c481a2625fe3a00e925f61e383fb46edbb6,9,0,23,23,已完成全文提取与页码定位，但奖项真实性不足；只迁移内容结构，不作获奖经验依据
CUMCM,2020,A,cumcm-2020-a-a212,回焊炉温曲线优化控制,上游社区目录标注为优秀论文（未独立核验）,mirror_full_text,https://raw.githubusercontent.com/personqianduixue/Math_Model/8783d0d822f89f98aa6182dd933cc2e9f3e2ddce/2-1%E5%9B%BD%E8%B5%9B%E9%A2%98%E7%9B%AE%2B%E8%AE%BA%E6%96%87/2020/A212.pdf,,deep-read-cumcm/cumcm-2020-a-a212.json,3.0,evidence_deep_read,C,0725ee583cbd066d6be6c339470524dda99dfb516d6119431082bb11741a11c6,9,0,26,26,已完成全文提取与页码定位，但奖项真实性不足；只迁移内容结构，不作获奖经验依据
CUMCM,2020,D,cumcm-2020-d-d011,基于接触式轮廓仪测量数据的工件形状自动标注方法,上游社区目录标注为优秀论文（未独立核验）,mirror_full_text,https://raw.githubusercontent.com/personqianduixue/Math_Model/8783d0d822f89f98aa6182dd933cc2e9f3e2ddce/2-1%E5%9B%BD%E8%B5%9B%E9%A2%98%E7%9B%AE%2B%E8%AE%BA%E6%96%87/2020/D011.pdf,,deep-read-cumcm/cumcm-2020-d-d011.json,3.0,evidence_deep_read,C,cc9b336fd6a1234becf855de3c0232b30ea4e793f57a0d1615da3c25372ce331,9,0,26,26,已完成全文提取与页码定位，但奖项真实性不足；只迁移内容结构，不作获奖经验依据
CUMCM,2024,A,cumcm-2024-a016,2024高教社杯全国大学生数学建模竞赛A题论文展示（A016）,全国大学生数学建模竞赛组委会官方论文展示,public_page_images,https://dxs.moe.gov.cn/zx/a/hd_sxjm_sxjmlw_2024qgdxssxjmjslwzs_2024atlw/241104/1977931.shtml,,cumcm-2024-a016.json,2,evidence_reviewed,,,5,0,59,59,公开页面图像；已缓存页面逐页记录哈希，已完成摘要/框架/主结果/验证锚点视觉复核
CUMCM,2024,A,cumcm-2024-a053,2024高教社杯全国大学生数学建模竞赛A题论文展示（A053）,全国大学生数学建模竞赛组委会官方论文展示,public_page_images,https://dxs.moe.gov.cn/zx/a/hd_sxjm_sxjmlw_2024qgdxssxjmjslwzs_2024atlw/241104/1977933.shtml,,cumcm-2024-a053.json,2,evidence_reviewed,,,5,0,62,62,公开页面图像；已缓存页面逐页记录哈希，已完成摘要/框架/主结果/验证锚点视觉复核
CUMCM,2024,A,cumcm-2024-a163,基于几何模型的板凳龙运动路径问题,全国大学生数学建模竞赛组委会官方论文展示,public_page_images,https://dxs.moe.gov.cn/zx/a/hd_sxjm_sxjmlw_2024qgdxssxjmjslwzs_2024atlw/241104/1977935.shtml,,cumcm-2024-a163.json,3.0,evidence_deep_read,A,43d0dedc0565c64d1d65a7aa3daa86c22b6fad96e913b2a9b45384a72d511f22,8,0,30,45,公开页面图像；已缓存页面逐页记录哈希，模型经验待人工阅读后补充
CUMCM,2024,A,cumcm-2024-a178,2024高教社杯全国大学生数学建模竞赛A题论文展示（A178）,全国大学生数学建模竞赛组委会官方论文展示,public_page_images,https://dxs.moe.gov.cn/zx/a/hd_sxjm_sxjmlw_2024qgdxssxjmjslwzs_2024atlw/241104/1977937.shtml,,cumcm-2024-a178.json,2,evidence_reviewed,,,5,0,48,48,公开页面图像；已缓存页面逐页记录哈希，已完成摘要/框架/主结果/验证锚点视觉复核
CUMCM,2024,A,cumcm-2024-a242,2024高教社杯全国大学生数学建模竞赛A题论文展示（A242）,全国大学生数学建模竞赛组委会官方论文展示,public_page_images,https://dxs.moe.gov.cn/zx/a/hd_sxjm_sxjmlw_2024qgdxssxjmjslwzs_2024atlw/241104/1977939.shtml,,cumcm-2024-a242.json,2,evidence_reviewed,,,5,0,54,54,公开页面图像；已缓存页面逐页记录哈希，已完成摘要/框架/主结果/验证锚点视觉复核
CUMCM,2024,B,cumcm-2024-b159,生产过程中的决策优化设计,全国大学生数学建模竞赛组委会官方论文展示,public_page_images,https://dxs.moe.gov.cn/zx/a/hd_sxjm_sxjmlw_2024qgdxssxjmjslwzs_2024btlw/241104/1977943.shtml,,cumcm-2024-b159.json,3.0,evidence_deep_read,A,3965168f5c6b3b77ce28bec6e998e23b6fbe9c55fe81cf4cc8676bc2d1e31a9d,9,0,30,37,公开页面图像；已缓存页面逐页记录哈希，模型经验待人工阅读后补充
CUMCM,2024,B,cumcm-2024-b195,2024高教社杯全国大学生数学建模竞赛B题论文展示（B195）,全国大学生数学建模竞赛组委会官方论文展示,public_page_images,https://dxs.moe.gov.cn/zx/a/hd_sxjm_sxjmlw_2024qgdxssxjmjslwzs_2024btlw/241104/1977945.shtml,,cumcm-2024-b195.json,2,evidence_reviewed,,,5,0,70,70,公开页面图像；已缓存页面逐页记录哈希，已完成摘要/框架/主结果/验证锚点视觉复核
CUMCM,2024,B,cumcm-2024-b196,2024高教社杯全国大学生数学建模竞赛B题论文展示（B196）,全国大学生数学建模竞赛组委会官方论文展示,public_page_images,https://dxs.moe.gov.cn/zx/a/hd_sxjm_sxjmlw_2024qgdxssxjmjslwzs_2024btlw/241104/1977950.shtml,,cumcm-2024-b196.json,2,evidence_reviewed,,,5,0,28,28,公开页面图像；已缓存页面逐页记录哈希，已完成摘要/框架/主结果/验证锚点视觉复核
CUMCM,2024,C,cumcm-2024-c038,基于差分遗传算法的农作物种植策略优化,全国大学生数学建模竞赛组委会官方论文展示,public_page_images,https://dxs.moe.gov.cn/zx/a/hd_sxjm_sxjmlw_2024qgdxssxjmjslwzs_2024ctlw/241104/1977952.shtml,,cumcm-2024-c038.json,3.0,evidence_deep_read,A,62a259d5d54f505bf8936e1ec6a6e24e5340d5ac5177ba213274ac11b1afcac6,8,0,33,61,公开页面图像；已缓存页面逐页记录哈希，模型经验待人工阅读后补充
CUMCM,2024,C,cumcm-2024-c063,2024高教社杯全国大学生数学建模竞赛C题论文展示（C063）,全国大学生数学建模竞赛组委会官方论文展示,public_page_images,https://dxs.moe.gov.cn/zx/a/hd_sxjm_sxjmlw_2024qgdxssxjmjslwzs_2024ctlw/241104/1977958.shtml,,cumcm-2024-c063.json,2,evidence_reviewed,,,5,0,49,49,公开页面图像；已缓存页面逐页记录哈希，已完成摘要/框架/主结果/验证锚点视觉复核
CUMCM,2024,C,cumcm-2024-c094,2024高教社杯全国大学生数学建模竞赛C题论文展示（C094）,全国大学生数学建模竞赛组委会官方论文展示,public_page_images,https://dxs.moe.gov.cn/zx/a/hd_sxjm_sxjmlw_2024qgdxssxjmjslwzs_2024ctlw/241104/1977961.shtml,,cumcm-2024-c094.json,2,evidence_reviewed,,,5,0,58,58,公开页面图像；已缓存页面逐页记录哈希，已完成摘要/框架/主结果/验证锚点视觉复核
CUMCM,2024,C,cumcm-2024-c234,2024高教社杯全国大学生数学建模竞赛C题论文展示（C234）,全国大学生数学建模竞赛组委会官方论文展示,public_page_images,https://dxs.moe.gov.cn/zx/a/hd_sxjm_sxjmlw_2024qgdxssxjmjslwzs_2024ctlw/241104/1977963.shtml,,cumcm-2024-c234.json,2,evidence_reviewed,,,5,0,45,45,公开页面图像；已缓存页面逐页记录哈希，已完成摘要/框架/主结果/验证锚点视觉复核
CUMCM,2024,D,cumcm-2024-d033,反潜航空深弹命中概率的优化问题,全国大学生数学建模竞赛组委会官方论文展示,public_page_images,https://dxs.moe.gov.cn/zx/a/hd_sxjm_sxjmlw_2024qgdxssxjmjslwzs_2024dtlw/241104/1977965.shtml,,cumcm-2024-d033.json,3.0,evidence_deep_read,A,302a881ee9faf724e3c284a4081ea25ebad073dba72a6b6b6021857501946961,9,0,55,55,公开页面图像；已缓存页面逐页记录哈希，已完成摘要/框架/主结果/验证锚点视觉复核
CUMCM,2024,E,cumcm-2024-e010,交通流量管控,全国大学生数学建模竞赛组委会官方论文展示,public_page_images,https://dxs.moe.gov.cn/zx/a/hd_sxjm_sxjmlw_2024qgdxssxjmjslwzs_2024etlw/241104/1977967.shtml,,cumcm-2024-e010.json,3.0,evidence_deep_read,A,ca7801df7ab54d8663910b46ad2f9c62bb2ed869a19105d001b9fb987bf1c0e1,9,0,30,39,公开页面图像；已缓存页面逐页记录哈希，模型经验待人工阅读后补充
CUMCM,2024,E,cumcm-2024-e061,基于多目标优化的交通管理评估分析,全国大学生数学建模竞赛组委会官方论文展示,public_page_images,https://dxs.moe.gov.cn/zx/a/hd_sxjm_sxjmlw_2024qgdxssxjmjslwzs_2024etlw/241104/1977969.shtml,,cumcm-2024-e061.json,3.0,evidence_deep_read,A,7a52cd93015fdaf60e48b95d19af24c43438e0b964e03143fe8885479a24a27f,10,0,32,32,公开页面图像；已缓存页面逐页记录哈希，已完成摘要/框架/主结果/验证锚点视觉复核
CUMCM,2024,E,cumcm-2024-e218,2024高教社杯全国大学生数学建模竞赛E题论文展示（E218）,全国大学生数学建模竞赛组委会官方论文展示,public_page_images,https://dxs.moe.gov.cn/zx/a/hd_sxjm_sxjmlw_2024qgdxssxjmjslwzs_2024etlw/241104/1977971.shtml,,cumcm-2024-e218.json,2,evidence_reviewed,,,5,0,62,62,公开页面图像；已缓存页面逐页记录哈希，已完成摘要/框架/主结果/验证锚点视觉复核
CUMCM,2025,A,cumcm-2025-a196,多情形下无人机烟幕遮蔽策略的建模与优化研究,全国大学生数学建模竞赛组委会官方论文展示,public_page_images,https://dxs.moe.gov.cn/zx/a/hd_sxjm_sxjmlw_2025qgdxssxjmjslwzs_2025atlw/251101/2022729.shtml,,cumcm-2025-a196.json,1,,,,5,0,30,98,公开页面图像；已缓存页面逐页记录哈希，模型经验待人工阅读后补充
CUMCM,2025,B,cumcm-2025-b060,2025高教社杯全国大学生数学建模竞赛B题论文展示（B060）,全国大学生数学建模竞赛组委会官方论文展示,public_page_images,https://dxs.moe.gov.cn/zx/a/hd_sxjm_sxjmlw_2025qgdxssxjmjslwzs_2025btlw/251101/2022733.shtml,,cumcm-2025-b060.json,2,evidence_reviewed,,,5,0,72,72,公开页面图像；已缓存页面逐页记录哈希，已完成摘要/框架/主结果/验证锚点视觉复核
CUMCM,2025,B,cumcm-2025-b157,2025高教社杯全国大学生数学建模竞赛B题论文展示（B157）,全国大学生数学建模竞赛组委会官方论文展示,public_page_images,https://dxs.moe.gov.cn/zx/a/hd_sxjm_sxjmlw_2025qgdxssxjmjslwzs_2025btlw/251107/2023197.shtml,,cumcm-2025-b157.json,2,evidence_reviewed,,,5,0,67,67,公开页面图像；已缓存页面逐页记录哈希，已完成摘要/框架/主结果/验证锚点视觉复核
CUMCM,2025,C,cumcm-2025-c023,2025高教社杯全国大学生数学建模竞赛C题论文展示（C023）,全国大学生数学建模竞赛组委会官方论文展示,public_page_images,https://dxs.moe.gov.cn/zx/a/hd_sxjm_sxjmlw_2025qgdxssxjmjslwzs_2025ctlw/251101/2022736.shtml,,cumcm-2025-c023.json,2,evidence_reviewed,,,5,0,122,122,公开页面图像；已缓存页面逐页记录哈希，已完成摘要/框架/主结果/验证锚点视觉复核
CUMCM,2025,C,cumcm-2025-c132,基于统计建模与元学习的NIPT检测决策优化与异常识别,全国大学生数学建模竞赛组委会官方论文展示,public_page_images,https://dxs.moe.gov.cn/zx/a/hd_sxjm_sxjmlw_2025qgdxssxjmjslwzs_2025ctlw/251101/2022740.shtml,,cumcm-2025-c132.json,1,,,,8,0,30,65,公开页面图像；已缓存页面逐页记录哈希，模型经验待人工阅读后补充
CUMCM,2025,D,cumcm-2025-d037,2025高教社杯全国大学生数学建模竞赛D题论文展示（D037）,全国大学生数学建模竞赛组委会官方论文展示,public_page_images,https://dxs.moe.gov.cn/zx/a/hd_sxjm_sxjmlw_2025qgdxssxjmjslwzs_2025dtlw/251101/2022742.shtml,,cumcm-2025-d037.json,2,evidence_reviewed,,,5,0,37,37,公开页面图像；已缓存页面逐页记录哈希，已完成摘要/框架/主结果/验证锚点视觉复核
CUMCM,2025,E,cumcm-2025-e030,2025高教社杯全国大学生数学建模竞赛E题论文展示（E030）,全国大学生数学建模竞赛组委会官方论文展示,public_page_images,https://dxs.moe.gov.cn/zx/a/hd_sxjm_sxjmlw_2025qgdxssxjmjslwzs_2025etlw/251101/2022744.shtml,,cumcm-2025-e030.json,2,evidence_reviewed,,,5,0,36,36,公开页面图像；已缓存页面逐页记录哈希，已完成摘要/框架/主结果/验证锚点视觉复核
GMCM,2018,B,gmcm-2018-b-b18102520096,光传送网建模与价值评估,镜像目录称优秀论文，未独立核验,public_cached_blob,https://api.github.com/repos/personqianduixue/Math_Model/git/blobs/625c3ee31307859fc48fdc5a6a80750417d69ba8,,deep-read-mcm-gmcm/gmcm-2018-b-b18102520096.json,3.0,evidence_deep_read,C,679ba9753a005474bfc058b82b23314acda18101e38dca3c847dacfd05802d40,7,1,,49,已完成全文提取与页码定位，但奖项真实性不足；只迁移内容结构，不作获奖经验依据
GMCM,2018,F,gmcm-2018-f-f18100030032,中转航班调度：从 MILP 模型到启发式算法,镜像目录称优秀论文，未独立核验,public_cached_blob,https://api.github.com/repos/personqianduixue/Math_Model/git/blobs/2cd8129cb005bb640c09cebc6e64ced85db29e30,,deep-read-mcm-gmcm/gmcm-2018-f-f18100030032.json,3.0,evidence_deep_read,C,40924f0509f433c15ec3da83fb1ed71484c4c287f53f6ca359e7bdc5a1ff0f20,7,1,,59,已完成全文提取与页码定位，但奖项真实性不足；只迁移内容结构，不作获奖经验依据
GMCM,2019,A,gmcm-2019-a-a19100030004,无线智能传播模型,镜像目录称优秀论文，未独立核验,public_cached_blob,https://api.github.com/repos/personqianduixue/Math_Model/git/blobs/0f42de808e029ceb48412ab5392b5d007f7b6b5c,,deep-read-mcm-gmcm/gmcm-2019-a-a19100030004.json,3.0,evidence_deep_read,C,22aa665b787436df572f63b4e2d2d222e3345166987413583fcba43d1b1a57b1,7,1,,38,已完成全文提取与页码定位，但奖项真实性不足；只迁移内容结构，不作获奖经验依据
GMCM,2019,D,gmcm-2019-d-d19102470244,汽车行驶工况构建,镜像目录称优秀论文，未独立核验,public_cached_blob,https://api.github.com/repos/personqianduixue/Math_Model/git/blobs/8d5e7aad04ccd9d327996e3fcfba20bbe95918ae,,deep-read-mcm-gmcm/gmcm-2019-d-d19102470244.json,3.0,evidence_deep_read,C,a176fb2f92e108ca1121a0558e959ec7181a46a39f3a76f1979d6244e6301b6b,7,1,,45,已完成全文提取与页码定位，但奖项真实性不足；只迁移内容结构，不作获奖经验依据
GMCM,2019,E,gmcm-2019-e-e19102840016,全球变暖气候预测分析,镜像目录称优秀论文，未独立核验,public_cached_blob,https://api.github.com/repos/personqianduixue/Math_Model/git/blobs/fa0ef8aa552ca71c43b4fed684ca21f27a52f82e,,deep-read-mcm-gmcm/gmcm-2019-e-e19102840016.json,3.0,evidence_deep_read,C,a6e9610bc88e6c7d33a43909ffbd9d9384fc4b6fc9497ed23aab0c47a1ffeb85,7,1,,61,已完成全文提取与页码定位，但奖项真实性不足；只迁移内容结构，不作获奖经验依据
