WindowID,Method,Seed,TaskID,TaskType,SourceRegion,ExecutionRegion,ArrivalHour,StartMinute,EndMinute,Duration_min,GPU_Demand,MaxLatency_ms,LatestFinishHour
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,3614,AITraining,RegionB,RegionB,3,180,346,166,59,150,2406
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,3765,AITraining,RegionB,RegionC,20,1260,1491,231,52,150,2406
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,3788,AITraining,RegionE,RegionE,5,300,357,57,56,150,2406
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,4020,AITraining,RegionF,RegionE,17,1440,1795,355,90,150,2406
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,4368,AITraining,RegionA,RegionA,23,1380,1617,237,34,150,2406
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,4434,RealTimeInference,RegionA,RegionA,23,1380,1568,188,5,20,27
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,4588,AITraining,RegionE,RegionE,21,1260,1563,303,119,150,2406
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,4717,RealTimeInference,RegionA,RegionA,4,240,456,216,4,20,8
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,4742,AITraining,RegionA,RegionC,8,600,876,276,80,150,2406
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,4787,BatchInference,RegionF,RegionF,8,480,873,393,13,80,2406
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,5096,AITraining,RegionA,RegionB,19,1429,1800,371,105,150,2406
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,5204,RealTimeInference,RegionB,RegionB,17,1020,1280,260,7,20,22
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,5249,BatchInference,RegionB,RegionB,6,360,415,55,5,80,2406
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,5291,RealTimeInference,RegionC,RegionC,12,720,1033,313,2,20,18
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,5348,AITraining,RegionD,RegionF,6,360,589,229,32,150,2406
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,5450,AITraining,RegionF,RegionE,0,60,404,344,116,150,2406
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,5647,RealTimeInference,RegionA,RegionA,2,120,407,287,3,20,7
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,5714,RealTimeInference,RegionA,RegionA,5,300,474,174,7,20,8
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,6016,AITraining,RegionD,RegionE,15,1440,1634,194,126,150,2406
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,6224,AITraining,RegionF,RegionF,20,1440,1753,313,101,150,2406
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,6307,AITraining,RegionE,RegionE,12,720,829,109,69,150,2406
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,6382,BatchInference,RegionA,RegionA,20,1200,1522,322,22,80,2406
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,6384,AITraining,RegionD,RegionE,2,420,587,167,118,150,2406
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,6540,RealTimeInference,RegionA,RegionA,21,1260,1650,390,6,20,28
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,7029,RealTimeInference,RegionC,RegionC,22,1320,1407,87,3,20,24
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,7060,BatchInference,RegionC,RegionC,1,60,326,266,5,80,2406
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,7092,RealTimeInference,RegionA,RegionA,22,1320,1412,92,6,20,24
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,7133,AITraining,RegionE,RegionE,13,780,1058,278,34,150,2406
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,7217,BatchInference,RegionB,RegionB,3,180,238,58,20,80,2406
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,7226,BatchInference,RegionD,RegionF,20,1200,1330,130,14,80,2406
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,7246,AITraining,RegionF,RegionF,6,360,590,230,29,150,2406
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,7338,BatchInference,RegionE,RegionE,20,1200,1412,212,21,80,2406
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,7759,AITraining,RegionF,RegionE,2,540,791,251,123,150,2406
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,8048,RealTimeInference,RegionA,RegionA,19,1140,1453,313,4,20,25
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,8124,BatchInference,RegionD,RegionF,19,1140,1311,171,6,80,2406
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,8480,RealTimeInference,RegionC,RegionC,12,720,1089,369,5,20,19
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,8678,AITraining,RegionB,RegionC,16,960,973,13,69,150,2406
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,8692,AITraining,RegionD,RegionE,2,120,185,65,66,150,2406
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,8755,RealTimeInference,RegionC,RegionC,23,1380,1763,383,7,20,30
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,8884,BatchInference,RegionC,RegionC,13,780,1117,337,21,80,2406
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,9020,RealTimeInference,RegionA,RegionA,2,120,481,361,5,20,9
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,9101,RealTimeInference,RegionB,RegionB,2,120,162,42,4,20,3
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,9159,RealTimeInference,RegionB,RegionB,8,480,771,291,4,20,13
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,9170,AITraining,RegionB,RegionC,0,0,149,149,50,150,2406
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,9233,BatchInference,RegionD,RegionF,11,660,881,221,17,80,2406
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,9256,BatchInference,RegionB,RegionB,17,1020,1065,45,11,80,2406
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,9260,BatchInference,RegionE,RegionE,9,540,876,336,12,80,2406
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,9291,RealTimeInference,RegionB,RegionB,13,780,1136,356,2,20,19
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,9326,RealTimeInference,RegionC,RegionC,15,900,985,85,2,20,17
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,9378,RealTimeInference,RegionC,RegionC,16,960,1049,89,7,20,18
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,9424,AITraining,RegionF,RegionF,11,660,754,94,65,150,2406
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,9483,AITraining,RegionF,RegionE,13,1440,1703,263,126,150,2406
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,9487,BatchInference,RegionC,RegionC,5,300,583,283,9,80,2406
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,9537,BatchInference,RegionA,RegionC,0,0,19,19,17,80,2406
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,9676,AITraining,RegionD,RegionF,20,1440,1637,197,64,150,2406
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,10307,BatchInference,RegionC,RegionC,11,660,823,163,10,80,2406
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,10404,RealTimeInference,RegionA,RegionA,5,300,587,287,7,20,10
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,10496,AITraining,RegionD,RegionF,22,1426,1800,374,94,150,2406
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,10525,AITraining,RegionE,RegionE,12,720,916,196,38,150,2406
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,10691,AITraining,RegionF,RegionE,11,900,1087,187,112,150,2406
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,10916,RealTimeInference,RegionA,RegionA,8,480,605,125,2,20,11
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,10943,RealTimeInference,RegionB,RegionB,14,840,973,133,2,20,17
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,10946,RealTimeInference,RegionC,RegionC,14,840,1064,224,6,20,18
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,10960,BatchInference,RegionF,RegionF,6,360,696,336,9,80,2406
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,11030,RealTimeInference,RegionB,RegionB,11,660,775,115,6,20,13
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,11033,BatchInference,RegionA,RegionB,0,0,237,237,5,80,2406
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,11183,RealTimeInference,RegionF,RegionF,12,720,1115,395,7,20,19
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,11283,BatchInference,RegionB,RegionC,17,1020,1321,301,22,80,2406
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,11311,RealTimeInference,RegionB,RegionB,4,240,632,392,2,20,11
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,11346,RealTimeInference,RegionC,RegionC,11,660,817,157,2,20,14
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,11646,BatchInference,RegionD,RegionE,2,120,471,351,17,80,2406
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,11953,AITraining,RegionD,RegionF,6,360,488,128,75,150,2406
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,12031,RealTimeInference,RegionA,RegionA,3,180,334,154,6,20,6
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,12072,AITraining,RegionD,RegionE,8,1440,1743,303,121,150,2406
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,12073,RealTimeInference,RegionC,RegionC,22,1320,1700,380,4,20,29
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,12079,RealTimeInference,RegionB,RegionB,15,900,956,56,5,20,16
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,12084,AITraining,RegionD,RegionF,7,540,773,233,89,150,2406
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,12166,AITraining,RegionF,RegionE,15,1560,1760,200,122,150,2406
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,12495,BatchInference,RegionF,RegionF,19,1140,1169,29,7,80,2406
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,12511,AITraining,RegionD,RegionF,5,300,590,290,20,150,2406
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,12529,AITraining,RegionD,RegionF,14,840,1028,188,24,150,2406
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,12733,BatchInference,RegionB,RegionB,6,360,370,10,20,80,2406
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,12742,AITraining,RegionE,RegionE,19,1260,1437,177,29,150,2406
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,12937,BatchInference,RegionB,RegionC,17,1020,1141,121,9,80,2406
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,12976,AITraining,RegionD,RegionE,14,1140,1513,373,65,150,2406
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,13021,RealTimeInference,RegionA,RegionA,18,1080,1201,121,5,20,21
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,13050,RealTimeInference,RegionB,RegionB,12,720,741,21,7,20,13
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,13203,AITraining,RegionF,RegionE,21,1320,1404,84,116,150,2406
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,13234,AITraining,RegionE,RegionE,2,120,275,155,73,150,2406
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,13423,BatchInference,RegionC,RegionC,23,1380,1624,244,9,80,2406
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,13615,RealTimeInference,RegionC,RegionC,8,480,800,320,5,20,14
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,13772,RealTimeInference,RegionC,RegionC,18,1080,1110,30,1,20,19
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,13807,RealTimeInference,RegionA,RegionA,17,1020,1404,384,2,20,24
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,13810,RealTimeInference,RegionB,RegionB,11,660,833,173,5,20,14
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,13847,AITraining,RegionB,RegionC,0,0,58,58,35,150,2406
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,13853,RealTimeInference,RegionA,RegionA,21,1260,1385,125,6,20,24
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,13868,AITraining,RegionD,RegionE,5,300,341,41,52,150,2406
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,13879,BatchInference,RegionF,RegionF,11,660,686,26,20,80,2406
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,13959,BatchInference,RegionA,RegionC,11,660,864,204,16,80,2406
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,14042,AITraining,RegionF,RegionE,17,1080,1242,162,54,150,2406
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,14112,AITraining,RegionD,RegionE,0,0,84,84,102,150,2406
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,14132,RealTimeInference,RegionB,RegionB,15,900,1001,101,6,20,17
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,14205,RealTimeInference,RegionC,RegionC,16,960,1155,195,1,20,20
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,14243,RealTimeInference,RegionB,RegionB,15,900,1213,313,7,20,21
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,14281,BatchInference,RegionB,RegionB,20,1200,1222,22,15,80,2406
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,14355,RealTimeInference,RegionB,RegionB,15,900,927,27,2,20,16
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,14374,AITraining,RegionD,RegionE,10,1440,1728,288,123,150,2406
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,14554,BatchInference,RegionF,RegionF,12,720,982,262,17,80,2406
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,14640,AITraining,RegionF,RegionE,3,180,535,355,118,150,2406
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,14687,AITraining,RegionD,RegionF,9,540,567,27,107,150,2406
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,14743,BatchInference,RegionD,RegionF,20,1200,1467,267,5,80,2406
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,14921,AITraining,RegionF,RegionE,17,1440,1690,250,119,150,2406
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,14959,RealTimeInference,RegionB,RegionB,8,480,799,319,6,20,14
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,14997,RealTimeInference,RegionB,RegionB,14,840,1032,192,5,20,18
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,15020,RealTimeInference,RegionD,RegionD,5,300,439,139,3,20,8
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,15080,AITraining,RegionB,RegionC,2,180,243,63,63,150,2406
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,15119,AITraining,RegionA,RegionC,19,1200,1496,296,58,150,2406
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,15164,BatchInference,RegionE,RegionE,20,1200,1362,162,19,80,2406
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,15197,RealTimeInference,RegionD,RegionD,1,60,99,39,4,20,2
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,15302,BatchInference,RegionF,RegionE,23,1482,1800,318,16,80,2406
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,15352,RealTimeInference,RegionB,RegionB,17,1020,1087,67,7,20,19
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,15383,RealTimeInference,RegionA,RegionA,3,180,564,384,5,20,10
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,15478,RealTimeInference,RegionC,RegionC,18,1080,1213,133,5,20,21
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,15577,BatchInference,RegionE,RegionE,10,600,776,176,14,80,2406
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,15603,RealTimeInference,RegionC,RegionC,14,840,970,130,7,20,17
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,15627,BatchInference,RegionC,RegionC,15,900,1292,392,16,80,2406
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,15673,AITraining,RegionD,RegionE,2,120,479,359,108,150,2406
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,15705,RealTimeInference,RegionB,RegionB,17,1020,1297,277,2,20,22
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,15802,AITraining,RegionC,RegionC,19,1320,1450,130,23,150,2406
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,15810,AITraining,RegionD,RegionE,19,1140,1419,279,85,150,2406
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,15945,BatchInference,RegionF,RegionF,4,240,389,149,10,80,2406
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,16083,RealTimeInference,RegionF,RegionF,12,720,982,262,1,20,17
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,16288,BatchInference,RegionB,RegionB,9,540,738,198,23,80,2406
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,16511,AITraining,RegionD,RegionE,0,0,82,82,36,150,2406
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,16550,RealTimeInference,RegionA,RegionA,10,600,762,162,5,20,13
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,16661,AITraining,RegionB,RegionC,15,1522,1800,278,98,150,2406
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,16833,AITraining,RegionD,RegionE,20,1320,1425,105,87,150,2406
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,16915,AITraining,RegionF,RegionF,10,600,666,66,102,150,2406
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,16962,BatchInference,RegionF,RegionF,7,420,562,142,21,80,2406
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,17152,BatchInference,RegionF,RegionF,14,840,942,102,16,80,2406
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,17221,RealTimeInference,RegionB,RegionB,1,60,86,26,6,20,2
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,17295,AITraining,RegionE,RegionE,9,540,788,248,39,150,2406
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,17364,AITraining,RegionD,RegionF,14,840,957,117,89,150,2406
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,17660,RealTimeInference,RegionB,RegionB,7,420,651,231,2,20,11
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,17762,RealTimeInference,RegionE,RegionE,17,1020,1156,136,7,20,20
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,17840,BatchInference,RegionE,RegionE,9,540,781,241,4,80,2406
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,17844,BatchInference,RegionC,RegionC,5,300,527,227,16,80,2406
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,17866,BatchInference,RegionE,RegionE,15,900,1037,137,22,80,2406
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,18177,RealTimeInference,RegionA,RegionA,11,660,776,116,6,20,13
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,18195,RealTimeInference,RegionE,RegionE,5,300,505,205,3,20,9
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,18202,BatchInference,RegionA,RegionC,17,1020,1107,87,19,80,2406
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,18213,AITraining,RegionE,RegionE,14,840,900,60,123,150,2406
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,18322,RealTimeInference,RegionA,RegionA,16,960,1092,132,3,20,19
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,18364,AITraining,RegionE,RegionE,10,600,663,63,120,150,2406
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,18424,RealTimeInference,RegionC,RegionC,17,1020,1275,255,3,20,22
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,18475,RealTimeInference,RegionB,RegionB,10,600,636,36,7,20,11
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,18519,BatchInference,RegionB,RegionC,14,840,1186,346,5,80,2406
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,18564,BatchInference,RegionB,RegionB,4,240,499,259,12,80,2406
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,18585,AITraining,RegionD,RegionF,2,120,478,358,16,150,2406
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,18715,BatchInference,RegionB,RegionB,13,780,1049,269,12,80,2406
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,19076,BatchInference,RegionB,RegionB,21,1260,1313,53,7,80,2406
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,19256,RealTimeInference,RegionC,RegionC,8,480,700,220,5,20,12
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,19278,BatchInference,RegionA,RegionC,19,1140,1489,349,19,80,2406
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,19302,AITraining,RegionE,RegionE,4,240,545,305,66,150,2406
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,19459,AITraining,RegionE,RegionE,3,180,380,200,55,150,2406
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,19608,AITraining,RegionD,RegionE,1,60,199,139,91,150,2406
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,19780,RealTimeInference,RegionB,RegionB,2,120,207,87,4,20,4
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,19878,RealTimeInference,RegionB,RegionB,15,900,933,33,1,20,16
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,19938,RealTimeInference,RegionC,RegionC,15,900,1066,166,7,20,18
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,20023,AITraining,RegionE,RegionE,0,0,88,88,61,150,2406
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,20030,RealTimeInference,RegionC,RegionC,10,600,819,219,2,20,14
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,20260801,20103,RealTimeInference,RegionC,RegionC,22,1320,1440,120,3,20,24
