TaskID,TaskType,SourceRegion,ExecutionRegion,ArrivalHour,StartMinute,EndMinute,Duration_min,GPU_Demand,MaxLatency_ms,NetworkLatency_ms,LatestFinishHour,SLA_met,SchedulePhase
31492,RealTimeInference,RegionA,RegionC,2375,142500,142858,358,4,20,15,2381,True,carry-in
18108,BatchInference,RegionD,RegionD,2371,142260,142592,332,23,80,5,2406,True,carry-in
37934,BatchInference,RegionA,RegionA,2371,142260,142634,374,12,80,5,2406,True,carry-in
22087,BatchInference,RegionB,RegionB,2372,142320,142698,378,12,80,5,2406,True,carry-in
31067,BatchInference,RegionB,RegionB,2372,142320,142586,266,7,80,5,2406,True,carry-in
43137,BatchInference,RegionB,RegionB,2372,142320,142581,261,18,80,5,2406,True,carry-in
3763,BatchInference,RegionE,RegionE,2373,142380,142588,208,17,80,5,2406,True,carry-in
25277,BatchInference,RegionD,RegionD,2373,142380,142646,266,15,80,5,2406,True,carry-in
38190,BatchInference,RegionA,RegionA,2373,142380,142632,252,18,80,5,2406,True,carry-in
38628,BatchInference,RegionF,RegionF,2373,142380,142728,348,9,80,5,2406,True,carry-in
8623,BatchInference,RegionD,RegionD,2374,142440,142717,277,10,80,5,2406,True,carry-in
8931,BatchInference,RegionD,RegionD,2374,142440,142820,380,9,80,5,2406,True,carry-in
17234,BatchInference,RegionC,RegionC,2374,142440,142565,125,5,80,5,2406,True,carry-in
44039,BatchInference,RegionE,RegionE,2374,142440,142802,362,12,80,5,2406,True,carry-in
4971,BatchInference,RegionF,RegionF,2375,142500,142702,202,7,80,5,2406,True,carry-in
6706,BatchInference,RegionC,RegionC,2375,142500,142585,85,4,80,5,2406,True,carry-in
10640,BatchInference,RegionA,RegionA,2375,142500,142567,67,6,80,5,2406,True,carry-in
21651,BatchInference,RegionE,RegionE,2375,142500,142862,362,16,80,5,2406,True,carry-in
28324,BatchInference,RegionA,RegionA,2375,142500,142736,236,20,80,5,2406,True,carry-in
35506,BatchInference,RegionA,RegionA,2375,142500,142802,302,11,80,5,2406,True,carry-in
49133,BatchInference,RegionC,RegionC,2375,142500,142615,115,4,80,5,2406,True,carry-in
7983,AITraining,RegionC,RegionC,2371,142260,142625,365,95,150,5,2406,True,carry-in
20402,AITraining,RegionD,RegionD,2371,142260,142594,334,119,150,5,2406,True,carry-in
21631,AITraining,RegionF,RegionF,2371,142260,142621,361,31,150,5,2406,True,carry-in
41084,AITraining,RegionD,RegionD,2372,142320,142596,276,70,150,5,2406,True,carry-in
6106,AITraining,RegionF,RegionF,2373,142380,142722,342,36,150,5,2406,True,carry-in
11826,AITraining,RegionF,RegionF,2373,142380,142574,194,127,150,5,2406,True,carry-in
25368,AITraining,RegionD,RegionD,2373,142380,142609,229,89,150,5,2406,True,carry-in
6812,AITraining,RegionE,RegionE,2374,142440,142584,144,87,150,5,2406,True,carry-in
23200,AITraining,RegionF,RegionF,2374,142440,142660,220,37,150,5,2406,True,carry-in
27744,AITraining,RegionE,RegionE,2374,142440,142689,249,87,150,5,2406,True,carry-in
37566,AITraining,RegionB,RegionB,2374,142440,142785,345,24,150,5,2406,True,carry-in
46065,AITraining,RegionE,RegionE,2374,142440,142776,336,78,150,5,2406,True,carry-in
47274,AITraining,RegionA,RegionA,2374,142440,142734,294,35,150,5,2406,True,carry-in
535,AITraining,RegionE,RegionE,2375,142500,142880,380,22,150,5,2406,True,carry-in
35185,AITraining,RegionB,RegionB,2375,142500,142680,180,95,150,5,2406,True,carry-in
45382,AITraining,RegionE,RegionE,2375,142500,142774,274,24,150,5,2406,True,carry-in
56,AITraining,RegionE,RegionE,2394,143640,143880,240,19,150,5,2406,True,q1-arrival
57,BatchInference,RegionE,RegionE,2390,143400,143580,180,16,80,5,2406,True,q1-arrival
165,BatchInference,RegionB,RegionB,2390,143400,143505,105,18,80,5,2406,True,q1-arrival
205,BatchInference,RegionB,RegionB,2385,143100,143395,295,6,80,5,2406,True,q1-arrival
235,RealTimeInference,RegionE,RegionE,2378,142680,142708,28,2,20,5,2379,True,q1-arrival
315,BatchInference,RegionA,RegionA,2392,143520,143607,87,17,80,5,2406,True,q1-arrival
403,BatchInference,RegionD,RegionD,2382,142920,143047,127,13,80,5,2406,True,q1-arrival
583,BatchInference,RegionA,RegionA,2388,143280,143515,235,12,80,5,2406,True,q1-arrival
701,BatchInference,RegionF,RegionF,2397,143820,143925,105,21,80,5,2406,True,q1-arrival
1055,AITraining,RegionF,RegionF,2378,142680,143019,339,113,150,5,2406,True,q1-fix-and-opt
1096,RealTimeInference,RegionA,RegionA,2389,143340,143630,290,1,20,5,2394,True,q1-arrival
1136,BatchInference,RegionB,RegionB,2390,143400,143582,182,12,80,5,2406,True,q1-arrival
1234,BatchInference,RegionB,RegionB,2385,143100,143434,334,9,80,5,2406,True,q1-arrival
1264,AITraining,RegionF,RegionD,2388,143280,143562,282,113,150,25,2406,True,q1-fix-and-opt
1371,AITraining,RegionC,RegionC,2392,143520,143855,335,18,150,5,2406,True,q1-arrival
1455,AITraining,RegionF,RegionF,2399,143940,144104,164,37,150,5,2406,True,q1-arrival
1540,AITraining,RegionF,RegionF,2377,142620,142912,292,98,150,5,2406,True,q1-fix-and-opt
1664,BatchInference,RegionE,RegionE,2383,142980,143111,131,14,80,5,2406,True,q1-arrival
1843,RealTimeInference,RegionA,RegionA,2394,143640,143689,49,1,20,5,2395,True,q1-arrival
2055,AITraining,RegionD,RegionD,2386,143160,143320,160,116,150,5,2406,True,q1-fix-and-opt
2167,AITraining,RegionD,RegionD,2390,143400,143649,249,57,150,5,2406,True,q1-arrival
2374,BatchInference,RegionA,RegionA,2387,143220,143259,39,7,80,5,2406,True,q1-arrival
2412,RealTimeInference,RegionC,RegionC,2392,143520,143776,256,2,20,5,2397,True,q1-arrival
2473,AITraining,RegionC,RegionC,2398,143880,144230,350,16,150,5,2406,True,q1-arrival
2508,RealTimeInference,RegionB,RegionB,2378,142680,142959,279,1,20,5,2383,True,q1-arrival
2517,AITraining,RegionF,RegionF,2392,143520,143684,164,30,150,5,2406,True,q1-arrival
2648,BatchInference,RegionE,RegionE,2397,143820,144011,191,19,80,5,2406,True,q1-arrival
2763,BatchInference,RegionB,RegionB,2379,142740,142965,225,15,80,5,2406,True,q1-arrival
3113,BatchInference,RegionD,RegionD,2387,143220,143594,374,15,80,5,2406,True,q1-arrival
3444,RealTimeInference,RegionA,RegionA,2378,142680,142783,103,7,20,5,2380,True,q1-arrival
3455,RealTimeInference,RegionC,RegionC,2386,143160,143332,172,1,20,5,2389,True,q1-arrival
3498,RealTimeInference,RegionB,RegionB,2376,142560,142631,71,2,20,5,2378,True,q1-arrival
3566,BatchInference,RegionE,RegionE,2392,143520,143574,54,9,80,5,2406,True,q1-arrival
3736,BatchInference,RegionD,RegionD,2396,143760,144156,396,19,80,5,2406,True,q1-arrival
3782,AITraining,RegionE,RegionF,2390,143400,143746,346,89,150,18,2406,True,q1-fix-and-opt
3809,AITraining,RegionF,RegionF,2376,142560,142658,98,32,150,5,2406,True,q1-arrival
3928,BatchInference,RegionF,RegionF,2397,143820,144002,182,4,80,5,2406,True,q1-arrival
3948,RealTimeInference,RegionF,RegionF,2382,142920,143250,330,1,20,5,2388,True,q1-arrival
4060,BatchInference,RegionA,RegionA,2383,142980,143148,168,8,80,5,2406,True,q1-arrival
4113,BatchInference,RegionA,RegionA,2391,143460,143712,252,15,80,5,2406,True,q1-arrival
4202,AITraining,RegionE,RegionE,2377,142620,142900,280,94,150,5,2406,True,q1-fix-and-opt
4316,RealTimeInference,RegionA,RegionA,2377,142620,142882,262,5,20,5,2382,True,q1-arrival
4353,AITraining,RegionE,RegionE,2398,143880,144102,222,21,150,5,2406,True,q1-arrival
4354,RealTimeInference,RegionC,RegionC,2390,143400,143757,357,4,20,5,2396,True,q1-arrival
4418,BatchInference,RegionD,RegionD,2398,143880,144134,254,11,80,5,2406,True,q1-arrival
4590,RealTimeInference,RegionC,RegionC,2382,142920,143127,207,5,20,5,2386,True,q1-arrival
4599,AITraining,RegionD,RegionD,2385,143100,143230,130,34,150,5,2406,True,q1-arrival
4611,BatchInference,RegionA,RegionA,2393,143580,143703,123,15,80,5,2406,True,q1-arrival
4848,BatchInference,RegionB,RegionB,2394,143640,143856,216,17,80,5,2406,True,q1-arrival
4851,BatchInference,RegionD,RegionD,2390,143400,143630,230,8,80,5,2406,True,q1-arrival
4886,RealTimeInference,RegionF,RegionF,2398,143880,144080,200,3,20,5,2402,True,q1-arrival
4930,AITraining,RegionE,RegionE,2391,143460,143812,352,50,150,5,2406,True,q1-arrival
4943,RealTimeInference,RegionC,RegionC,2391,143460,143640,180,4,20,5,2394,True,q1-arrival
5138,RealTimeInference,RegionB,RegionB,2396,143760,144076,316,1,20,5,2402,True,q1-arrival
5272,RealTimeInference,RegionC,RegionC,2398,143880,144141,261,4,20,5,2403,True,q1-arrival
5277,AITraining,RegionE,RegionE,2385,143100,143188,88,64,150,5,2406,True,q1-arrival
5435,AITraining,RegionE,RegionE,2395,143700,143877,177,116,150,5,2406,True,q1-fix-and-opt
5663,RealTimeInference,RegionB,RegionB,2393,143580,143835,255,6,20,5,2398,True,q1-arrival
5727,AITraining,RegionD,RegionD,2389,143340,143479,139,82,150,5,2406,True,q1-arrival
5845,AITraining,RegionD,RegionD,2382,142920,143011,91,26,150,5,2406,True,q1-arrival
6052,AITraining,RegionF,RegionF,2380,142800,143097,297,92,150,5,2406,True,q1-fix-and-opt
6232,RealTimeInference,RegionA,RegionA,2389,143340,143700,360,5,20,5,2395,True,q1-arrival
6235,RealTimeInference,RegionB,RegionB,2392,143520,143624,104,1,20,5,2394,True,q1-arrival
6323,BatchInference,RegionA,RegionA,2388,143280,143422,142,5,80,5,2406,True,q1-arrival
6392,BatchInference,RegionD,RegionD,2397,143820,144107,287,5,80,5,2406,True,q1-arrival
6423,RealTimeInference,RegionA,RegionA,2377,142620,142883,263,7,20,5,2382,True,q1-arrival
6438,AITraining,RegionE,RegionE,2394,143640,143937,297,98,150,5,2406,True,q1-fix-and-opt
6481,RealTimeInference,RegionA,RegionA,2377,142620,143007,387,6,20,5,2384,True,q1-arrival
6507,AITraining,RegionC,RegionC,2378,142680,143001,321,17,150,5,2406,True,q1-arrival
6508,BatchInference,RegionB,RegionB,2394,143640,143939,299,23,80,5,2406,True,q1-arrival
6767,AITraining,RegionF,RegionF,2395,143700,143742,42,29,150,5,2406,True,q1-arrival
6876,AITraining,RegionD,RegionD,2391,143460,143850,390,52,150,5,2406,True,q1-fix-and-opt
7165,RealTimeInference,RegionB,RegionB,2397,143820,144098,278,5,20,5,2402,True,q1-arrival
7372,AITraining,RegionF,RegionF,2395,143700,143946,246,104,150,5,2406,True,q1-fix-and-opt
7403,BatchInference,RegionD,RegionD,2376,142560,142934,374,10,80,5,2406,True,q1-arrival
7484,RealTimeInference,RegionA,RegionA,2393,143580,143817,237,3,20,5,2397,True,q1-arrival
7530,RealTimeInference,RegionA,RegionA,2398,143880,143950,70,5,20,5,2400,True,q1-arrival
7542,RealTimeInference,RegionD,RegionD,2382,142920,142961,41,7,20,5,2383,True,q1-arrival
7857,AITraining,RegionF,RegionF,2399,143940,144017,77,115,150,5,2406,True,q1-arrival
7874,BatchInference,RegionC,RegionC,2396,143760,143787,27,21,80,5,2406,True,q1-arrival
7890,RealTimeInference,RegionE,RegionE,2399,143940,144205,265,4,20,5,2404,True,q1-arrival
7902,BatchInference,RegionE,RegionE,2376,142560,142586,26,11,80,5,2406,True,q1-arrival
7973,AITraining,RegionE,RegionE,2379,142740,142807,67,70,150,5,2406,True,q1-arrival
8294,BatchInference,RegionC,RegionC,2395,143700,143762,62,8,80,5,2406,True,q1-arrival
8353,RealTimeInference,RegionB,RegionB,2386,143160,143235,75,5,20,5,2388,True,q1-arrival
8745,BatchInference,RegionB,RegionB,2398,143880,144006,126,21,80,5,2406,True,q1-arrival
8760,AITraining,RegionE,RegionE,2390,143400,143675,275,44,150,5,2406,True,q1-arrival
8915,AITraining,RegionD,RegionD,2392,143520,143569,49,97,150,5,2406,True,q1-arrival
8972,RealTimeInference,RegionD,RegionD,2398,143880,144126,246,2,20,5,2403,True,q1-arrival
9168,RealTimeInference,RegionC,RegionC,2387,143220,143361,141,3,20,5,2390,True,q1-arrival
9267,BatchInference,RegionE,RegionE,2376,142560,142582,22,7,80,5,2406,True,q1-arrival
9415,AITraining,RegionD,RegionD,2376,142560,142648,88,119,150,5,2406,True,q1-arrival
9535,AITraining,RegionE,RegionE,2387,143220,143558,338,58,150,5,2406,True,q1-fix-and-opt
9572,AITraining,RegionD,RegionD,2398,143880,144244,364,123,150,5,2406,True,q1-fix-and-opt
9585,RealTimeInference,RegionB,RegionB,2381,142860,142982,122,7,20,5,2384,True,q1-arrival
9591,AITraining,RegionD,RegionD,2378,142680,142871,191,27,150,5,2406,True,q1-arrival
9621,RealTimeInference,RegionC,RegionC,2399,143940,144020,80,6,20,5,2401,True,q1-arrival
9845,AITraining,RegionF,RegionF,2379,142740,142795,55,102,150,5,2406,True,q1-arrival
9850,BatchInference,RegionE,RegionE,2387,143220,143564,344,13,80,5,2406,True,q1-arrival
9936,RealTimeInference,RegionC,RegionC,2385,143100,143191,91,5,20,5,2387,True,q1-arrival
10184,BatchInference,RegionD,RegionD,2390,143400,143567,167,15,80,5,2406,True,q1-arrival
10275,AITraining,RegionE,RegionE,2386,143160,143285,125,38,150,5,2406,True,q1-arrival
10284,BatchInference,RegionF,RegionF,2396,143760,143897,137,14,80,5,2406,True,q1-arrival
10306,AITraining,RegionD,RegionD,2384,143040,143312,272,68,150,5,2406,True,q1-fix-and-opt
10407,RealTimeInference,RegionC,RegionC,2389,143340,143482,142,7,20,5,2392,True,q1-arrival
10504,BatchInference,RegionC,RegionC,2396,143760,143829,69,4,80,5,2406,True,q1-arrival
10622,BatchInference,RegionC,RegionC,2379,142740,143074,334,23,80,5,2406,True,q1-arrival
10704,AITraining,RegionF,RegionF,2382,142920,142985,65,110,150,5,2406,True,q1-arrival
11216,BatchInference,RegionA,RegionA,2379,142740,143047,307,20,80,5,2406,True,q1-arrival
11304,AITraining,RegionD,RegionD,2383,142980,143050,70,112,150,5,2406,True,q1-arrival
11351,BatchInference,RegionD,RegionD,2394,143640,143901,261,16,80,5,2406,True,q1-arrival
11360,RealTimeInference,RegionE,RegionE,2384,143040,143434,394,3,20,5,2391,True,q1-arrival
11383,BatchInference,RegionC,RegionC,2380,142800,142911,111,22,80,5,2406,True,q1-arrival
11780,BatchInference,RegionF,RegionF,2398,143880,143915,35,21,80,5,2406,True,q1-arrival
11834,BatchInference,RegionB,RegionB,2386,143160,143512,352,19,80,5,2406,True,q1-arrival
11877,RealTimeInference,RegionC,RegionC,2382,142920,143003,83,7,20,5,2384,True,q1-arrival
11961,AITraining,RegionE,RegionE,2376,142560,142806,246,111,150,5,2406,True,q1-fix-and-opt
11993,BatchInference,RegionC,RegionC,2382,142920,143156,236,15,80,5,2406,True,q1-arrival
12025,RealTimeInference,RegionA,RegionA,2387,143220,143259,39,2,20,5,2388,True,q1-arrival
12181,AITraining,RegionC,RegionC,2381,142860,143002,142,68,150,5,2406,True,q1-arrival
12184,BatchInference,RegionD,RegionD,2393,143580,143595,15,5,80,5,2406,True,q1-arrival
12397,AITraining,RegionA,RegionA,2391,143460,143497,37,101,150,5,2406,True,q1-arrival
12431,BatchInference,RegionB,RegionB,2396,143760,143957,197,17,80,5,2406,True,q1-arrival
12444,RealTimeInference,RegionA,RegionA,2394,143640,143909,269,1,20,5,2399,True,q1-arrival
12481,RealTimeInference,RegionC,RegionC,2395,143700,143875,175,5,20,5,2398,True,q1-arrival
12755,AITraining,RegionE,RegionE,2383,142980,143163,183,51,150,5,2406,True,q1-arrival
12791,BatchInference,RegionA,RegionA,2383,142980,143032,52,4,80,5,2406,True,q1-arrival
13174,RealTimeInference,RegionB,RegionB,2394,143640,143650,10,6,20,5,2395,True,q1-arrival
13251,RealTimeInference,RegionA,RegionA,2395,143700,143747,47,6,20,5,2396,True,q1-arrival
13331,RealTimeInference,RegionB,RegionB,2383,142980,143029,49,1,20,5,2384,True,q1-arrival
13376,AITraining,RegionD,RegionD,2394,143640,143783,143,53,150,5,2406,True,q1-arrival
13381,RealTimeInference,RegionA,RegionA,2398,143880,144005,125,6,20,5,2401,True,q1-arrival
13505,RealTimeInference,RegionE,RegionE,2382,142920,143177,257,6,20,5,2387,True,q1-arrival
13587,AITraining,RegionD,RegionD,2381,142860,143252,392,23,150,5,2406,True,q1-arrival
13747,AITraining,RegionF,RegionF,2389,143340,143736,396,41,150,5,2406,True,q1-arrival
13836,AITraining,RegionD,RegionD,2391,143460,143844,384,40,150,5,2406,True,q1-arrival
14305,RealTimeInference,RegionD,RegionD,2391,143460,143740,280,2,20,5,2396,True,q1-arrival
14327,BatchInference,RegionB,RegionB,2394,143640,143973,333,21,80,5,2406,True,q1-arrival
14405,BatchInference,RegionA,RegionA,2379,142740,142895,155,18,80,5,2406,True,q1-arrival
14419,AITraining,RegionD,RegionD,2379,142740,143126,386,104,150,5,2406,True,q1-fix-and-opt
14578,AITraining,RegionE,RegionE,2396,143760,144135,375,31,150,5,2406,True,q1-arrival
14619,AITraining,RegionF,RegionF,2394,143640,144037,397,117,150,5,2406,True,q1-fix-and-opt
14622,BatchInference,RegionB,RegionB,2386,143160,143380,220,23,80,5,2406,True,q1-arrival
14647,BatchInference,RegionA,RegionA,2376,142560,142634,74,11,80,5,2406,True,q1-arrival
14669,RealTimeInference,RegionB,RegionB,2385,143100,143377,277,6,20,5,2390,True,q1-arrival
14749,AITraining,RegionE,RegionE,2389,143340,143529,189,97,150,5,2406,True,q1-fix-and-opt
14772,BatchInference,RegionA,RegionA,2382,142920,143227,307,12,80,5,2406,True,q1-arrival
14780,AITraining,RegionD,RegionD,2377,142620,142889,269,32,150,5,2406,True,q1-arrival
14844,AITraining,RegionB,RegionB,2396,143760,144009,249,51,150,5,2406,True,q1-arrival
14868,AITraining,RegionF,RegionF,2396,143760,144147,387,22,150,5,2406,True,q1-arrival
15175,RealTimeInference,RegionB,RegionB,2396,143760,143935,175,6,20,5,2399,True,q1-arrival
15185,RealTimeInference,RegionA,RegionA,2382,142920,142973,53,1,20,5,2383,True,q1-arrival
15242,BatchInference,RegionE,RegionE,2399,143940,144183,243,7,80,5,2406,True,q1-arrival
15675,AITraining,RegionF,RegionF,2390,143400,143579,179,87,150,5,2406,True,q1-arrival
15694,AITraining,RegionE,RegionE,2386,143160,143332,172,63,150,5,2406,True,q1-arrival
15916,AITraining,RegionE,RegionE,2397,143820,144023,203,81,150,5,2406,True,q1-arrival
15921,AITraining,RegionD,RegionD,2394,143640,143875,235,127,150,5,2406,True,q1-fix-and-opt
16024,RealTimeInference,RegionF,RegionF,2392,143520,143721,201,1,20,5,2396,True,q1-arrival
16041,RealTimeInference,RegionB,RegionB,2394,143640,143695,55,5,20,5,2395,True,q1-arrival
16109,BatchInference,RegionF,RegionF,2389,143340,143515,175,7,80,5,2406,True,q1-arrival
16116,BatchInference,RegionA,RegionA,2382,142920,143240,320,7,80,5,2406,True,q1-arrival
16146,AITraining,RegionE,RegionE,2378,142680,142698,18,60,150,5,2406,True,q1-arrival
16274,BatchInference,RegionA,RegionA,2388,143280,143643,363,21,80,5,2406,True,q1-arrival
16345,BatchInference,RegionF,RegionF,2393,143580,143774,194,9,80,5,2406,True,q1-arrival
16494,BatchInference,RegionD,RegionD,2395,143700,143861,161,22,80,5,2406,True,q1-arrival
16513,AITraining,RegionE,RegionE,2390,143400,143750,350,107,150,5,2406,True,q1-fix-and-opt
16699,AITraining,RegionF,RegionF,2393,143580,143682,102,127,150,5,2406,True,q1-arrival
16844,RealTimeInference,RegionF,RegionF,2399,143940,143991,51,1,20,5,2400,True,q1-arrival
16950,RealTimeInference,RegionA,RegionA,2384,143040,143192,152,6,20,5,2387,True,q1-arrival
17044,BatchInference,RegionC,RegionC,2389,143340,143376,36,6,80,5,2406,True,q1-arrival
17052,RealTimeInference,RegionC,RegionC,2398,143880,143913,33,2,20,5,2399,True,q1-arrival
17181,AITraining,RegionD,RegionD,2387,143220,143322,102,82,150,5,2406,True,q1-arrival
17233,AITraining,RegionD,RegionD,2390,143400,143628,228,122,150,5,2406,True,q1-fix-and-opt
17421,BatchInference,RegionF,RegionF,2398,143880,144021,141,15,80,5,2406,True,q1-arrival
17466,BatchInference,RegionE,RegionE,2380,142800,143031,231,20,80,5,2406,True,q1-arrival
17673,AITraining,RegionD,RegionD,2392,143520,143917,397,124,150,5,2406,True,q1-fix-and-opt
17820,RealTimeInference,RegionC,RegionC,2376,142560,142635,75,1,20,5,2378,True,q1-arrival
17864,AITraining,RegionD,RegionD,2378,142680,142782,102,120,150,5,2406,True,q1-arrival
17898,AITraining,RegionE,RegionE,2391,143460,143619,159,78,150,5,2406,True,q1-arrival
17938,BatchInference,RegionE,RegionE,2398,143880,144136,256,23,80,5,2406,True,q1-arrival
17991,AITraining,RegionF,RegionF,2388,143280,143416,136,26,150,5,2406,True,q1-arrival
18061,BatchInference,RegionC,RegionC,2388,143280,143584,304,9,80,5,2406,True,q1-arrival
18201,BatchInference,RegionE,RegionE,2376,142560,142600,40,16,80,5,2406,True,q1-arrival
18325,AITraining,RegionF,RegionF,2385,143100,143307,207,58,150,5,2406,True,q1-arrival
18367,BatchInference,RegionA,RegionA,2391,143460,143806,346,19,80,5,2406,True,q1-arrival
18394,RealTimeInference,RegionA,RegionA,2396,143760,144086,326,3,20,5,2402,True,q1-arrival
18427,BatchInference,RegionB,RegionB,2378,142680,142947,267,18,80,5,2406,True,q1-arrival
18687,RealTimeInference,RegionE,RegionE,2391,143460,143547,87,5,20,5,2393,True,q1-arrival
18713,AITraining,RegionF,RegionE,2380,142800,142865,65,38,150,18,2406,True,q1-arrival
18720,AITraining,RegionF,RegionE,2381,142860,142912,52,120,150,18,2406,True,q1-arrival
18826,BatchInference,RegionA,RegionA,2392,143520,143792,272,17,80,5,2406,True,q1-arrival
18847,BatchInference,RegionB,RegionB,2391,143460,143731,271,8,80,5,2406,True,q1-arrival
18869,BatchInference,RegionD,RegionD,2386,143160,143426,266,7,80,5,2406,True,q1-arrival
18905,BatchInference,RegionA,RegionA,2381,142860,143111,251,12,80,5,2406,True,q1-arrival
19172,RealTimeInference,RegionC,RegionC,2398,143880,144079,199,6,20,5,2402,True,q1-arrival
19264,RealTimeInference,RegionD,RegionD,2386,143160,143360,200,4,20,5,2390,True,q1-arrival
19289,AITraining,RegionE,RegionE,2398,143880,144241,361,121,150,5,2406,True,q1-fix-and-opt
19387,AITraining,RegionE,RegionE,2392,143520,143746,226,104,150,5,2406,True,q1-fix-and-opt
19440,BatchInference,RegionE,RegionE,2382,142920,143044,124,23,80,5,2406,True,q1-arrival
19584,AITraining,RegionE,RegionE,2387,143220,143569,349,43,150,5,2406,True,q1-arrival
19682,BatchInference,RegionD,RegionD,2390,143400,143714,314,11,80,5,2406,True,q1-arrival
19684,BatchInference,RegionF,RegionF,2378,142680,142801,121,9,80,5,2406,True,q1-arrival
19693,RealTimeInference,RegionA,RegionA,2386,143160,143232,72,4,20,5,2388,True,q1-arrival
20139,AITraining,RegionD,RegionD,2381,142860,143065,205,71,150,5,2406,True,q1-arrival
20312,BatchInference,RegionD,RegionD,2396,143760,144008,248,16,80,5,2406,True,q1-arrival
20392,AITraining,RegionF,RegionF,2377,142620,142955,335,110,150,5,2406,True,q1-fix-and-opt
20403,BatchInference,RegionD,RegionD,2388,143280,143519,239,14,80,5,2406,True,q1-arrival
20632,BatchInference,RegionC,RegionC,2386,143160,143344,184,14,80,5,2406,True,q1-arrival
20799,BatchInference,RegionF,RegionF,2397,143820,144024,204,14,80,5,2406,True,q1-arrival
20964,AITraining,RegionB,RegionB,2380,142800,143010,210,112,150,5,2406,True,q1-fix-and-opt
20965,RealTimeInference,RegionA,RegionA,2377,142620,142778,158,2,20,5,2380,True,q1-arrival
21103,RealTimeInference,RegionA,RegionA,2383,142980,143088,108,7,20,5,2385,True,q1-arrival
21242,RealTimeInference,RegionB,RegionB,2390,143400,143466,66,1,20,5,2392,True,q1-arrival
21356,AITraining,RegionF,RegionF,2388,143280,143588,308,125,150,5,2406,True,q1-fix-and-opt
21384,AITraining,RegionC,RegionC,2377,142620,142838,218,110,150,5,2406,True,q1-fix-and-opt
21400,RealTimeInference,RegionB,RegionB,2399,143940,144041,101,1,20,5,2401,True,q1-arrival
21428,RealTimeInference,RegionC,RegionC,2387,143220,143362,142,5,20,5,2390,True,q1-arrival
21451,AITraining,RegionD,RegionD,2394,143640,143893,253,34,150,5,2406,True,q1-arrival
21730,AITraining,RegionF,RegionF,2397,143820,144109,289,49,150,5,2406,True,q1-arrival
21792,RealTimeInference,RegionA,RegionA,2392,143520,143836,316,4,20,5,2398,True,q1-arrival
21837,AITraining,RegionD,RegionD,2388,143280,143536,256,59,150,5,2406,True,q1-arrival
21897,RealTimeInference,RegionA,RegionA,2393,143580,143672,92,3,20,5,2395,True,q1-arrival
22136,BatchInference,RegionE,RegionE,2398,143880,143959,79,7,80,5,2406,True,q1-arrival
22175,AITraining,RegionE,RegionE,2383,142980,143371,391,112,150,5,2406,True,q1-fix-and-opt
22360,RealTimeInference,RegionD,RegionD,2398,143880,143891,11,6,20,5,2399,True,q1-arrival
22462,BatchInference,RegionC,RegionC,2381,142860,142998,138,23,80,5,2406,True,q1-arrival
22576,AITraining,RegionF,RegionF,2395,143700,143885,185,16,150,5,2406,True,q1-arrival
