Hour,Region,AvailableRenewable_MW,Total_Load_MW,ElectricityPrice_CNY_per_MWh,SellPrice_CNY_per_MWh,CarbonIntensity_tCO2_per_MWh,ChargePower_MW,DischargePower_MW,SOC_MWh,RenewableToLoad_MW,RenewableCharge_MW,GridCharge_MW,GridPurchase_MW,GridLoadPurchase_MW,GridSell_MW,Curtailment_MW,NetGridImport_MW,GridEnergyForCost_MW
4,RegionC,800.0000000000,536.5440000000,436.6300000000,0.0000000000,0.5836000000,0.0000000000,0.0000000000,135.0000000000,536.5440000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,263.4560000000,0.0000000000,0.0000000000
5,RegionC,877.6500000000,536.5439995400,436.9100000000,0.0000000000,0.5751000000,0.0000000000,0.0000000000,135.0000000000,536.5439995400,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,341.1060004600,0.0000000000,0.0000000000
6,RegionC,950.0000000000,536.5440000000,437.1900000000,0.0000000000,0.5651000000,0.0000000000,0.0000000000,135.0000000000,536.5440000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,413.4560000000,0.0000000000,0.0000000000
7,RegionC,1012.1300000000,536.5439995400,673.0300000000,0.0000000000,0.5543000000,0.0000000000,0.0000000000,135.0000000000,536.5439995400,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,475.5860004600,0.0000000000,0.0000000000
8,RegionC,1059.8100000000,536.5440004600,673.4500000000,0.0000000000,0.5435000000,0.0000000000,0.0000000000,135.0000000000,536.5440004600,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,523.2659995400,0.0000000000,0.0000000000
9,RegionC,1089.7800000000,536.5440004600,673.8700000000,0.0000000000,0.5334000000,0.0000000000,0.0000000000,135.0000000000,536.5440004600,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,553.2359995400,0.0000000000,0.0000000000
10,RegionC,1100.0000000000,536.5440004600,674.2900000000,0.0000000000,0.5249000000,0.0000000000,0.0000000000,135.0000000000,536.5440004600,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,563.4559995400,0.0000000000,0.0000000000
11,RegionC,1089.7800000000,527.8500000000,674.6900000000,0.0000000000,0.5185000000,0.0000000000,0.0000000000,135.0000000000,527.8500000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,561.9300000000,0.0000000000,0.0000000000
12,RegionC,1059.8100000000,474.4163995400,675.1000000000,0.0000000000,0.5147000000,0.0000000000,0.0000000000,135.0000000000,474.4163995400,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,585.3936004600,0.0000000000,0.0000000000
13,RegionC,1012.1300000000,464.8116004600,675.4900000000,0.0000000000,0.5137000000,0.0000000000,0.0000000000,135.0000000000,464.8116004600,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,547.3183995400,0.0000000000,0.0000000000
14,RegionC,950.0000000000,429.9031200000,675.8800000000,0.0000000000,0.5157000000,0.0000000000,0.0000000000,135.0000000000,429.9031200000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,520.0968800000,0.0000000000,0.0000000000
15,RegionC,877.6500000000,386.5642204600,676.2700000000,0.0000000000,0.5207000000,0.0000000000,0.0000000000,135.0000000000,386.5642204600,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,491.0857795400,0.0000000000,0.0000000000
16,RegionC,800.0000000000,342.1309804600,676.6400000000,0.0000000000,0.5282000000,0.0000000000,0.0000000000,135.0000000000,342.1309804600,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,457.8690195400,0.0000000000,0.0000000000
17,RegionC,722.3500000000,368.8050000000,981.6700000000,0.0000000000,0.5378000000,0.0000000000,0.0000000000,135.0000000000,368.8050000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,353.5450000000,0.0000000000,0.0000000000
18,RegionC,650.0000000000,293.0016000000,982.1900000000,0.0000000000,0.5489000000,0.0000000000,0.0000000000,135.0000000000,293.0016000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,356.9984000000,0.0000000000,0.0000000000
19,RegionC,587.8700000000,312.7908000000,982.7000000000,0.0000000000,0.5608000000,0.0000000000,0.0000000000,135.0000000000,312.7908000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,275.0792000000,0.0000000000,0.0000000000
20,RegionC,540.1900000000,349.6919995400,983.1900000000,0.0000000000,0.5726000000,0.0000000000,0.0000000000,135.0000000000,349.6919995400,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,190.4980004600,0.0000000000,0.0000000000
21,RegionC,510.2200000000,364.5959995400,983.6700000000,0.0000000000,0.5837000000,0.0000000000,0.0000000000,135.0000000000,364.5959995400,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,145.6240004600,0.0000000000,0.0000000000
22,RegionC,500.0000000000,400.5174004600,610.8500000000,0.0000000000,0.5932000000,0.0000000000,0.0000000000,135.0000000000,400.5174004600,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,99.4825995400,0.0000000000,0.0000000000
23,RegionC,510.2200000000,455.6622004600,611.1300000000,0.0000000000,0.6006000000,0.0000000000,0.0000000000,135.0000000000,455.6622004600,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,54.5577995400,0.0000000000,0.0000000000
0,RegionD,540.1900000000,443.3408000000,279.5000000000,218.0100000000,0.4525000000,0.0000000000,0.0000000000,405.0000000000,443.3408000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,96.8492000000,0.0000000000,-96.8492000000,0.0000000000
1,RegionD,587.8700000000,465.3568000000,279.6800000000,218.1500000000,0.4541000000,0.0000000000,0.0000000000,405.0000000000,465.3568000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,122.5132000000,0.0000000000,-122.5132000000,0.0000000000
2,RegionD,650.0000000000,526.2080004267,279.8600000000,218.2900000000,0.4534000000,0.0000000000,0.0000000000,405.0000000000,526.2080004267,0.0000000000,0.0000000000,0.0000000000,0.0000000000,123.7919995733,0.0000000000,-123.7919995733,0.0000000000
3,RegionD,722.3500000000,523.9167995733,280.0500000000,218.4400000000,0.4505000000,0.0000000000,0.0000000000,405.0000000000,523.9167995733,0.0000000000,0.0000000000,0.0000000000,0.0000000000,180.0000000000,18.4332004267,-180.0000000000,0.0000000000
4,RegionD,800.0000000000,588.2112004267,280.2300000000,218.5800000000,0.4456000000,0.0000000000,0.0000000000,405.0000000000,588.2112004267,0.0000000000,0.0000000000,0.0000000000,0.0000000000,180.0000000000,31.7887995733,-180.0000000000,0.0000000000
5,RegionD,877.6500000000,589.3631995733,280.4100000000,218.7200000000,0.4391000000,0.0000000000,0.0000000000,405.0000000000,589.3631995733,0.0000000000,0.0000000000,0.0000000000,0.0000000000,180.0000000000,108.2868004267,-180.0000000000,0.0000000000
6,RegionD,950.0000000000,587.3408000000,280.5900000000,218.8600000000,0.4315000000,0.0000000000,0.0000000000,405.0000000000,587.3408000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,180.0000000000,182.6592000000,-180.0000000000,0.0000000000
7,RegionD,1012.1300000000,607.4111995733,431.9500000000,336.9200000000,0.4233000000,0.0000000000,0.0000000000,405.0000000000,607.4111995733,0.0000000000,0.0000000000,0.0000000000,0.0000000000,180.0000000000,224.7188004267,-180.0000000000,0.0000000000
8,RegionD,1059.8100000000,580.3135995733,432.2200000000,337.1300000000,0.4150000000,0.0000000000,0.0000000000,405.0000000000,580.3135995733,0.0000000000,0.0000000000,0.0000000000,0.0000000000,180.0000000000,299.4964004267,-180.0000000000,0.0000000000
9,RegionD,1089.7800000000,548.3391995733,432.4800000000,337.3300000000,0.4074000000,0.0000000000,0.0000000000,405.0000000000,548.3391995733,0.0000000000,0.0000000000,0.0000000000,0.0000000000,180.0000000000,361.4408004267,-180.0000000000,0.0000000000
10,RegionD,1100.0000000000,541.8367995733,432.7500000000,337.5500000000,0.4008000000,0.0000000000,0.0000000000,405.0000000000,541.8367995733,0.0000000000,0.0000000000,0.0000000000,0.0000000000,180.0000000000,378.1632004267,-180.0000000000,0.0000000000
11,RegionD,1089.7800000000,488.7296000000,433.0100000000,337.7500000000,0.3959000000,0.0000000000,0.0000000000,405.0000000000,488.7296000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,180.0000000000,421.0504000000,-180.0000000000,0.0000000000
12,RegionD,1059.8100000000,452.1600000000,433.2700000000,337.9500000000,0.3930000000,0.0000000000,0.0000000000,405.0000000000,452.1600000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,180.0000000000,427.6500000000,-180.0000000000,0.0000000000
13,RegionD,1012.1300000000,453.5424000000,433.5300000000,338.1500000000,0.3923000000,0.0000000000,0.0000000000,405.0000000000,453.5424000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,180.0000000000,378.5876000000,-180.0000000000,0.0000000000
14,RegionD,950.0000000000,390.1311995733,433.7800000000,338.3500000000,0.3938000000,0.0000000000,0.0000000000,405.0000000000,390.1311995733,0.0000000000,0.0000000000,0.0000000000,0.0000000000,180.0000000000,379.8688004267,-180.0000000000,0.0000000000
15,RegionD,877.6500000000,388.6515195733,434.0200000000,338.5400000000,0.3976000000,0.0000000000,0.0000000000,405.0000000000,388.6515195733,0.0000000000,0.0000000000,0.0000000000,0.0000000000,180.0000000000,308.9984804267,-180.0000000000,0.0000000000
16,RegionD,800.0000000000,334.7840000000,434.2600000000,338.7200000000,0.4033000000,0.0000000000,0.0000000000,405.0000000000,334.7840000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,180.0000000000,285.2160000000,-180.0000000000,0.0000000000
17,RegionD,722.3500000000,308.6719995733,630.0200000000,491.4200000000,0.4107000000,0.0000000000,0.0000000000,405.0000000000,308.6719995733,0.0000000000,0.0000000000,0.0000000000,0.0000000000,180.0000000000,233.6780004267,-180.0000000000,0.0000000000
18,RegionD,650.0000000000,262.9248000000,630.3600000000,491.6800000000,0.4192000000,0.0000000000,0.0000000000,405.0000000000,262.9248000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,180.0000000000,207.0752000000,-180.0000000000,0.0000000000
19,RegionD,587.8700000000,293.0944004267,630.6900000000,491.9400000000,0.4282000000,0.0000000000,0.0000000000,405.0000000000,293.0944004267,0.0000000000,0.0000000000,0.0000000000,0.0000000000,180.0000000000,114.7755995733,-180.0000000000,0.0000000000
20,RegionD,540.1900000000,279.1168004267,631.0000000000,492.1800000000,0.4373000000,0.0000000000,0.0000000000,405.0000000000,279.1168004267,0.0000000000,0.0000000000,0.0000000000,0.0000000000,180.0000000000,81.0731995733,-180.0000000000,0.0000000000
21,RegionD,510.2200000000,307.4944000000,631.3100000000,492.4200000000,0.4457000000,0.0000000000,0.0000000000,405.0000000000,307.4944000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,180.0000000000,22.7256000000,-180.0000000000,0.0000000000
22,RegionD,500.0000000000,349.8240004267,392.0400000000,305.7900000000,0.4530000000,0.0000000000,0.0000000000,405.0000000000,349.8240004267,0.0000000000,0.0000000000,0.0000000000,0.0000000000,150.1759995733,0.0000000000,-150.1759995733,0.0000000000
23,RegionD,510.2200000000,412.6464004267,392.2200000000,305.9300000000,0.4586000000,0.0000000000,0.0000000000,405.0000000000,412.6464004267,0.0000000000,0.0000000000,0.0000000000,0.0000000000,97.5735995733,0.0000000000,-97.5735995733,0.0000000000
0,RegionE,540.1900000000,448.4125000000,247.0000000000,192.6600000000,0.2370000000,0.0000000000,0.0000000000,370.0000000000,448.4125000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,91.7775000000,0.0000000000,-91.7775000000,0.0000000000
1,RegionE,587.8700000000,497.2374995833,247.1600000000,192.7800000000,0.2378000000,0.0000000000,0.0000000000,370.0000000000,497.2374995833,0.0000000000,0.0000000000,0.0000000000,0.0000000000,90.6325004167,0.0000000000,-90.6325004167,0.0000000000
2,RegionE,650.0000000000,503.4000000000,247.3200000000,192.9100000000,0.2375000000,0.0000000000,0.0000000000,370.0000000000,503.4000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,146.6000000000,0.0000000000,-146.6000000000,0.0000000000
3,RegionE,722.3500000000,545.0000000000,247.4800000000,193.0300000000,0.2360000000,0.0000000000,0.0000000000,370.0000000000,545.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,177.3500000000,0.0000000000,-177.3500000000,0.0000000000
4,RegionE,800.0000000000,556.6874995833,247.6400000000,193.1600000000,0.2334000000,0.0000000000,0.0000000000,370.0000000000,556.6874995833,0.0000000000,0.0000000000,0.0000000000,0.0000000000,220.0000000000,23.3125004167,-220.0000000000,0.0000000000
5,RegionE,877.6500000000,570.3125000000,247.8000000000,193.2800000000,0.2300000000,0.0000000000,0.0000000000,370.0000000000,570.3125000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,220.0000000000,87.3375000000,-220.0000000000,0.0000000000
6,RegionE,950.0000000000,591.8875004167,247.9600000000,193.4100000000,0.2260000000,0.0000000000,0.0000000000,370.0000000000,591.8875004167,0.0000000000,0.0000000000,0.0000000000,0.0000000000,220.0000000000,138.1124995833,-220.0000000000,0.0000000000
7,RegionE,1012.1300000000,585.0250004167,381.7200000000,297.7400000000,0.2217000000,0.0000000000,0.0000000000,370.0000000000,585.0250004167,0.0000000000,0.0000000000,0.0000000000,0.0000000000,220.0000000000,207.1049995833,-220.0000000000,0.0000000000
8,RegionE,1059.8100000000,549.1500004167,381.9600000000,297.9300000000,0.2174000000,0.0000000000,0.0000000000,370.0000000000,549.1500004167,0.0000000000,0.0000000000,0.0000000000,0.0000000000,220.0000000000,290.6599995833,-220.0000000000,0.0000000000
9,RegionE,1089.7800000000,566.0125000000,382.2000000000,298.1200000000,0.2134000000,0.0000000000,0.0000000000,370.0000000000,566.0125000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,220.0000000000,303.7675000000,-220.0000000000,0.0000000000
10,RegionE,1100.0000000000,533.0874995833,382.4300000000,298.3000000000,0.2100000000,0.0000000000,0.0000000000,370.0000000000,533.0874995833,0.0000000000,0.0000000000,0.0000000000,0.0000000000,220.0000000000,346.9125004167,-220.0000000000,0.0000000000
