Hour,Region,PricePeriod,ElectricityPrice_CNY_per_MWh,SellPrice_CNY_per_MWh,CarbonIntensity_tCO2_per_MWh,AvailableRenewable_MW,NonAI_IT_Load_MW,AbsoluteHour,AI_IT_Load_MW,IT_Load_MW,PUE,Total_Load_MW,Q2Method,ObservedElectricityPrice_CNY_per_MWh,ObservedCarbonIntensity_tCO2_per_MWh,ObservedAvailableRenewable_MW,ScenarioPriceMultiplier,ScenarioCarbonMultiplier,ScenarioRenewableMultiplier,ChargePower_MW,DischargePower_MW,SOC_MWh,RenewableToLoad_MW,RenewableCharge_MW,GridCharge_MW,GridLoadPurchase_MW,GridPurchase_MW,GridSell_MW,Curtailment_MW,NetGridImport_MW,ChargeMode,GridImportMode,Method
10,RegionA,Flat,710.5300000000,0.0000000000,0.5756000000,1100.0000000000,340.9533330000,2338,6.1800000000,347.1333330000,1.3500000000,468.6299995500,surrogate_assisted_fix_and_optimize_candidate_PROBE_ONLY,710.5300000000,0.5756000000,1100.0000000000,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,157.5000000000,468.6299995500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,631.3700004500,0.0000000000,0,1,Q2_candidate_plus_integrated_storage_MILP
11,RegionA,Flat,710.9500000000,0.0000000000,0.5684000000,1089.7800000000,318.8353330000,2339,7.5463333333,326.3816663333,1.3500000000,440.6152495500,surrogate_assisted_fix_and_optimize_candidate_PROBE_ONLY,710.9500000000,0.5684000000,1089.7800000000,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,157.5000000000,440.6152495500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,649.1647504500,0.0000000000,0,1,Q2_candidate_plus_integrated_storage_MILP
12,RegionA,Flat,711.3700000000,0.0000000000,0.5640000000,1059.8100000000,298.1053330000,2340,7.8826666667,305.9879996667,1.3500000000,413.0837995500,surrogate_assisted_fix_and_optimize_candidate_PROBE_ONLY,711.3700000000,0.5640000000,1059.8100000000,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,157.5000000000,413.0837995500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,646.7262004500,0.0000000000,0,1,Q2_candidate_plus_integrated_storage_MILP
13,RegionA,Flat,711.8000000000,0.0000000000,0.5630000000,1012.1300000000,285.2006670000,2341,11.0800000000,296.2806670000,1.3500000000,399.9789004500,surrogate_assisted_fix_and_optimize_candidate_PROBE_ONLY,711.8000000000,0.5630000000,1012.1300000000,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,157.5000000000,399.9789004500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,612.1510995500,0.0000000000,0,1,Q2_candidate_plus_integrated_storage_MILP
14,RegionA,Flat,712.2400000000,0.0000000000,0.5653000000,950.0000000000,306.1516670000,2342,12.5560000000,318.7076670000,1.3500000000,430.2553504500,surrogate_assisted_fix_and_optimize_candidate_PROBE_ONLY,712.2400000000,0.5653000000,950.0000000000,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,157.5000000000,430.2553504500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,519.7446495500,0.0000000000,0,1,Q2_candidate_plus_integrated_storage_MILP
15,RegionA,Flat,712.6900000000,0.0000000000,0.5709000000,877.6500000000,299.7593330000,2343,13.0906666667,312.8499996667,1.3500000000,422.3474995500,surrogate_assisted_fix_and_optimize_candidate_PROBE_ONLY,712.6900000000,0.5709000000,877.6500000000,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,157.5000000000,422.3474995500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,455.3025004500,0.0000000000,0,1,Q2_candidate_plus_integrated_storage_MILP
16,RegionA,Flat,713.1400000000,0.0000000000,0.5794000000,800.0000000000,220.9423330000,2344,8.8116666667,229.7539996667,1.3500000000,310.1678995500,surrogate_assisted_fix_and_optimize_candidate_PROBE_ONLY,713.1400000000,0.5794000000,800.0000000000,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,157.5000000000,310.1678995500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,489.8321004500,0.0000000000,0,1,Q2_candidate_plus_integrated_storage_MILP
17,RegionA,Peak,1241.6400000000,0.0000000000,0.5904000000,722.3500000000,194.5866670000,2345,4.6966666667,199.2833336667,1.3500000000,269.0325004500,surrogate_assisted_fix_and_optimize_candidate_PROBE_ONLY,1034.7000000000,0.5904000000,722.3500000000,1.2000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,157.5000000000,269.0325004500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,453.3174995500,0.0000000000,0,1,Q2_candidate_plus_integrated_storage_MILP
18,RegionA,Peak,1242.4440000000,0.0000000000,0.6030000000,650.0000000000,208.5800000000,2346,3.0480000000,211.6280000000,1.3500000000,285.6978000000,surrogate_assisted_fix_and_optimize_candidate_PROBE_ONLY,1035.3700000000,0.6030000000,650.0000000000,1.2000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,157.5000000000,285.6978000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,364.3022000000,0.0000000000,0,1,Q2_candidate_plus_integrated_storage_MILP
19,RegionA,Peak,1243.2360000000,0.0000000000,0.6165000000,587.8700000000,243.5246670000,2347,2.5853333333,246.1100003333,1.3500000000,332.2485004500,surrogate_assisted_fix_and_optimize_candidate_PROBE_ONLY,1036.0300000000,0.6165000000,587.8700000000,1.2000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,157.5000000000,332.2485004500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,255.6214995500,0.0000000000,0,1,Q2_candidate_plus_integrated_storage_MILP
20,RegionA,Peak,1244.0520000000,0.0000000000,0.6301000000,540.1900000000,230.4453330000,2348,1.9213333333,232.3666663333,1.3500000000,313.6949995500,surrogate_assisted_fix_and_optimize_candidate_PROBE_ONLY,1036.7100000000,0.6301000000,540.1900000000,1.2000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,157.5000000000,313.6949995500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,226.4950004500,0.0000000000,0,1,Q2_candidate_plus_integrated_storage_MILP
21,RegionA,Peak,1244.8560000000,0.0000000000,0.6427000000,510.2200000000,257.2800000000,2349,2.5600000000,259.8400000000,1.3500000000,350.7840000000,surrogate_assisted_fix_and_optimize_candidate_PROBE_ONLY,1037.3800000000,0.6427000000,510.2200000000,1.2000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,157.5000000000,350.7840000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,159.4360000000,0.0000000000,0,1,Q2_candidate_plus_integrated_storage_MILP
22,RegionA,Flat,644.3100000000,0.0000000000,0.6537000000,500.0000000000,266.8433330000,2350,18.7266666667,285.5699996667,1.3500000000,385.5194995500,surrogate_assisted_fix_and_optimize_candidate_PROBE_ONLY,644.3100000000,0.6537000000,500.0000000000,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,157.5000000000,385.5194995500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,114.4805004500,0.0000000000,0,1,Q2_candidate_plus_integrated_storage_MILP
23,RegionA,Flat,644.7400000000,0.0000000000,0.6623000000,510.2200000000,315.1273330000,2351,19.0160000000,334.1433330000,1.3500000000,451.0934995500,surrogate_assisted_fix_and_optimize_candidate_PROBE_ONLY,644.7400000000,0.6623000000,510.2200000000,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,157.5000000000,451.0934995500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,59.1265004500,0.0000000000,0,1,Q2_candidate_plus_integrated_storage_MILP
24,RegionA,Valley,465.9500000000,0.0000000000,0.6679000000,540.1900000000,320.0600000000,2352,19.8000000000,339.8600000000,1.3500000000,458.8110000000,surrogate_assisted_fix_and_optimize_candidate_PROBE_ONLY,465.9500000000,0.6679000000,540.1900000000,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,157.5000000000,458.8110000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,81.3790000000,0.0000000000,0,1,Q2_candidate_plus_integrated_storage_MILP
25,RegionA,Valley,466.2500000000,0.0000000000,0.6703000000,587.8700000000,357.6143330000,2353,18.9106666667,376.5249996667,1.3500000000,508.3087495500,surrogate_assisted_fix_and_optimize_candidate_PROBE_ONLY,466.2500000000,0.6703000000,587.8700000000,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,157.5000000000,508.3087495500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,79.5612504500,0.0000000000,0,1,Q2_candidate_plus_integrated_storage_MILP
26,RegionA,Valley,466.5600000000,0.0000000000,0.6693000000,650.0000000000,380.1740000000,2354,18.8693333333,399.0433333333,1.3500000000,538.7085000000,surrogate_assisted_fix_and_optimize_candidate_PROBE_ONLY,466.5600000000,0.6693000000,650.0000000000,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,157.5000000000,538.7085000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,111.2915000000,0.0000000000,0,1,Q2_candidate_plus_integrated_storage_MILP
27,RegionA,Valley,466.8600000000,0.0000000000,0.6650000000,722.3500000000,376.8586670000,2355,19.7080000000,396.5666670000,1.3500000000,535.3650004500,surrogate_assisted_fix_and_optimize_candidate_PROBE_ONLY,466.8600000000,0.6650000000,722.3500000000,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,157.5000000000,535.3650004500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,186.9849995500,0.0000000000,0,1,Q2_candidate_plus_integrated_storage_MILP
28,RegionA,Valley,467.1600000000,0.0000000000,0.6578000000,800.0000000000,382.0483330000,2356,8.9783333333,391.0266663333,1.3500000000,527.8859995500,surrogate_assisted_fix_and_optimize_candidate_PROBE_ONLY,467.1600000000,0.6578000000,800.0000000000,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,157.5000000000,527.8859995500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,272.1140004500,0.0000000000,0,1,Q2_candidate_plus_integrated_storage_MILP
29,RegionA,Valley,467.4700000000,0.0000000000,0.6483000000,877.6500000000,394.3153330000,2357,2.5413333333,396.8566663333,1.3500000000,535.7564995500,surrogate_assisted_fix_and_optimize_candidate_PROBE_ONLY,467.4700000000,0.6483000000,877.6500000000,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,157.5000000000,535.7564995500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,341.8935004500,0.0000000000,0,1,Q2_candidate_plus_integrated_storage_MILP
30,RegionA,Valley,467.7600000000,0.0000000000,0.6370000000,950.0000000000,398.1686670000,2358,1.6213333333,399.7900003333,1.3500000000,539.7165004500,surrogate_assisted_fix_and_optimize_candidate_PROBE_ONLY,467.7600000000,0.6370000000,950.0000000000,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,157.5000000000,539.7165004500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,410.2834995500,0.0000000000,0,1,Q2_candidate_plus_integrated_storage_MILP
31,RegionA,Flat,720.1000000000,0.0000000000,0.6248000000,1012.1300000000,399.2600000000,2359,1.8400000000,401.1000000000,1.3500000000,541.4850000000,surrogate_assisted_fix_and_optimize_candidate_PROBE_ONLY,720.1000000000,0.6248000000,1012.1300000000,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,157.5000000000,541.4850000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,470.6450000000,0.0000000000,0,1,Q2_candidate_plus_integrated_storage_MILP
32,RegionA,Flat,720.5500000000,0.0000000000,0.6126000000,1059.8100000000,397.6533330000,2360,2.4800000000,400.1333330000,1.3500000000,540.1799995500,surrogate_assisted_fix_and_optimize_candidate_PROBE_ONLY,720.5500000000,0.6126000000,1059.8100000000,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,157.5000000000,540.1799995500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,519.6300004500,0.0000000000,0,1,Q2_candidate_plus_integrated_storage_MILP
33,RegionA,Flat,721.0000000000,0.0000000000,0.6013000000,1089.7800000000,396.5840000000,2361,2.0160000000,398.6000000000,1.3500000000,538.1100000000,surrogate_assisted_fix_and_optimize_candidate_PROBE_ONLY,721.0000000000,0.6013000000,1089.7800000000,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,157.5000000000,538.1100000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,551.6700000000,0.0000000000,0,1,Q2_candidate_plus_integrated_storage_MILP
34,RegionA,Flat,721.4400000000,0.0000000000,0.5917000000,1100.0000000000,397.0053330000,2362,1.0946666667,398.0999996667,1.3500000000,537.4349995500,surrogate_assisted_fix_and_optimize_candidate_PROBE_ONLY,721.4400000000,0.5917000000,1100.0000000000,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,157.5000000000,537.4349995500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,562.5650004500,0.0000000000,0,1,Q2_candidate_plus_integrated_storage_MILP
35,RegionA,Flat,721.8800000000,0.0000000000,0.5845000000,1089.7800000000,375.2343330000,2363,0.5173333333,375.7516663333,1.3500000000,507.2647495500,surrogate_assisted_fix_and_optimize_candidate_PROBE_ONLY,721.8800000000,0.5845000000,1089.7800000000,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,157.5000000000,507.2647495500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,582.5152504500,0.0000000000,0,1,Q2_candidate_plus_integrated_storage_MILP
36,RegionA,Flat,722.3100000000,0.0000000000,0.5802000000,1059.8100000000,318.1453330000,2364,0.9213333333,319.0666663333,1.3500000000,430.7399995500,surrogate_assisted_fix_and_optimize_candidate_PROBE_ONLY,722.3100000000,0.5802000000,1059.8100000000,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,157.5000000000,430.7399995500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,629.0700004500,0.0000000000,0,1,Q2_candidate_plus_integrated_storage_MILP
37,RegionA,Flat,722.7400000000,0.0000000000,0.5791000000,1012.1300000000,323.7120000000,2365,1.5546666667,325.2666666667,1.3500000000,439.1100000000,surrogate_assisted_fix_and_optimize_candidate_PROBE_ONLY,722.7400000000,0.5791000000,1012.1300000000,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,157.5000000000,439.1100000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,573.0200000000,0.0000000000,0,1,Q2_candidate_plus_integrated_storage_MILP
38,RegionA,Flat,723.1600000000,0.0000000000,0.5814000000,950.0000000000,306.7846670000,2366,2.2400000000,309.0246670000,1.3500000000,417.1833004500,surrogate_assisted_fix_and_optimize_candidate_PROBE_ONLY,723.1600000000,0.5814000000,950.0000000000,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,157.5000000000,417.1833004500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,532.8166995500,0.0000000000,0,1,Q2_candidate_plus_integrated_storage_MILP
39,RegionA,Flat,723.5700000000,0.0000000000,0.5869000000,877.6500000000,279.2650000000,2367,3.8583333333,283.1233333333,1.3500000000,382.2165000000,surrogate_assisted_fix_and_optimize_candidate_PROBE_ONLY,723.5700000000,0.5869000000,877.6500000000,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,157.5000000000,382.2165000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,495.4335000000,0.0000000000,0,1,Q2_candidate_plus_integrated_storage_MILP
40,RegionA,Flat,723.9800000000,0.0000000000,0.5954000000,800.0000000000,252.6773330000,2368,4.1226666667,256.7999996667,1.3500000000,346.6799995500,surrogate_assisted_fix_and_optimize_candidate_PROBE_ONLY,723.9800000000,0.5954000000,800.0000000000,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,157.5000000000,346.6799995500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,453.3200004500,0.0000000000,0,1,Q2_candidate_plus_integrated_storage_MILP
41,RegionA,Peak,1260.4080000000,0.0000000000,0.6062000000,722.3500000000,244.0370000000,2369,4.2146666667,248.2516666667,1.3500000000,335.1397500000,surrogate_assisted_fix_and_optimize_candidate_PROBE_ONLY,1050.3400000000,0.6062000000,722.3500000000,1.2000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,157.5000000000,335.1397500000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,387.2102500000,0.0000000000,0,1,Q2_candidate_plus_integrated_storage_MILP
42,RegionA,Peak,1261.0800000000,0.0000000000,0.6188000000,650.0000000000,223.7783330000,2370,3.9333333333,227.7116663333,1.3500000000,307.4107495500,surrogate_assisted_fix_and_optimize_candidate_PROBE_ONLY,1050.9000000000,0.6188000000,650.0000000000,1.2000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,157.5000000000,307.4107495500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,342.5892504500,0.0000000000,0,1,Q2_candidate_plus_integrated_storage_MILP
43,RegionA,Peak,1261.7280000000,0.0000000000,0.6321000000,587.8700000000,211.6813330000,2371,3.8453333333,215.5266663333,1.3500000000,290.9609995500,surrogate_assisted_fix_and_optimize_candidate_PROBE_ONLY,1051.4400000000,0.6321000000,587.8700000000,1.2000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,157.5000000000,290.9609995500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,296.9090004500,0.0000000000,0,1,Q2_candidate_plus_integrated_storage_MILP
44,RegionA,Peak,1262.3760000000,0.0000000000,0.6455000000,540.1900000000,228.3473330000,2372,2.6026666667,230.9499996667,1.3500000000,311.7824995500,surrogate_assisted_fix_and_optimize_candidate_PROBE_ONLY,1051.9800000000,0.6455000000,540.1900000000,1.2000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,157.5000000000,311.7824995500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,228.4075004500,0.0000000000,0,1,Q2_candidate_plus_integrated_storage_MILP
45,RegionA,Peak,1262.9880000000,0.0000000000,0.6580000000,510.2200000000,261.0486670000,2373,1.5440000000,262.5926670000,1.3500000000,354.5001004500,surrogate_assisted_fix_and_optimize_candidate_PROBE_ONLY,1052.4900000000,0.6580000000,510.2200000000,1.2000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,157.5000000000,354.5001004500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,155.7198995500,0.0000000000,0,1,Q2_candidate_plus_integrated_storage_MILP
46,RegionA,Flat,653.5800000000,0.0000000000,0.6687000000,500.0000000000,271.9233330000,2374,0.7733333333,272.6966663333,1.3500000000,368.1404995500,surrogate_assisted_fix_and_optimize_candidate_PROBE_ONLY,653.5800000000,0.6687000000,500.0000000000,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,157.5000000000,368.1404995500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,131.8595004500,0.0000000000,0,1,Q2_candidate_plus_integrated_storage_MILP
47,RegionA,Flat,653.8800000000,0.0000000000,0.6771000000,510.2200000000,314.1713330000,2375,1.0400000000,315.2113330000,1.3500000000,425.5352995500,surrogate_assisted_fix_and_optimize_candidate_PROBE_ONLY,653.8800000000,0.6771000000,510.2200000000,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,157.5000000000,425.5352995500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,84.6847004500,0.0000000000,0,1,Q2_candidate_plus_integrated_storage_MILP
48,RegionA,Valley,472.4600000000,0.0000000000,0.6825000000,540.1900000000,309.8046670000,2376,1.1653333333,310.9700003333,1.3500000000,419.8095004500,surrogate_assisted_fix_and_optimize_candidate_PROBE_ONLY,472.4600000000,0.6825000000,540.1900000000,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,157.5000000000,419.8095004500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,120.3804995500,0.0000000000,0,1,Q2_candidate_plus_integrated_storage_MILP
49,RegionA,Valley,472.6600000000,0.0000000000,0.6846000000,587.8700000000,365.4866670000,2377,2.5066666667,367.9933336667,1.3500000000,496.7910004500,surrogate_assisted_fix_and_optimize_candidate_PROBE_ONLY,472.6600000000,0.6846000000,587.8700000000,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,157.5000000000,496.7910004500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,91.0789995500,0.0000000000,0,1,Q2_candidate_plus_integrated_storage_MILP
50,RegionA,Valley,472.8600000000,0.0000000000,0.6833000000,650.0000000000,386.0133330000,2378,2.7000000000,388.7133330000,1.3500000000,524.7629995500,surrogate_assisted_fix_and_optimize_candidate_PROBE_ONLY,472.8600000000,0.6833000000,650.0000000000,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,157.5000000000,524.7629995500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,125.2370004500,0.0000000000,0,1,Q2_candidate_plus_integrated_storage_MILP
