TaskID,ExecutionRegion_incumbent,StartMinute_incumbent,ExecutionRegion_alns,StartMinute_alns,change_type
48,RegionB,51840,RegionB,51840,unchanged
49,RegionE,77280,RegionE,77280,unchanged
50,RegionC,122640,RegionC,122640,unchanged
51,RegionF,112740,RegionF,112740,unchanged
52,RegionA,65040,RegionA,65040,unchanged
53,RegionA,60600,RegionA,60600,unchanged
54,RegionF,137940,RegionF,137940,unchanged
55,RegionE,64560,RegionE,64560,unchanged
56,RegionE,143640,RegionE,143640,unchanged
57,RegionE,143400,RegionE,143400,unchanged
58,RegionE,88920,RegionE,88920,unchanged
59,RegionA,33960,RegionA,33960,unchanged
60,RegionE,121560,RegionE,121560,unchanged
61,RegionB,11520,RegionB,11520,unchanged
62,RegionB,37560,RegionB,37560,unchanged
63,RegionE,39300,RegionE,39300,unchanged
64,RegionF,103740,RegionF,103740,unchanged
65,RegionC,16560,RegionC,16560,unchanged
66,RegionB,93780,RegionB,93780,unchanged
67,RegionF,115080,RegionF,115080,unchanged
68,RegionD,62040,RegionD,62040,unchanged
69,RegionE,2820,RegionE,2820,unchanged
70,RegionF,28140,RegionF,28140,unchanged
71,RegionF,131940,RegionF,131940,unchanged
72,RegionA,83580,RegionA,83580,unchanged
73,RegionA,72120,RegionA,72120,unchanged
74,RegionC,38820,RegionC,38820,unchanged
75,RegionF,780,RegionF,780,unchanged
76,RegionE,64680,RegionE,64680,unchanged
77,RegionF,43860,RegionF,43860,unchanged
78,RegionB,26100,RegionB,26100,unchanged
79,RegionD,73440,RegionD,73440,unchanged
80,RegionE,125160,RegionE,125160,unchanged
81,RegionD,48840,RegionD,48840,unchanged
82,RegionB,91860,RegionB,91860,unchanged
83,RegionC,132540,RegionC,132540,unchanged
84,RegionE,420,RegionE,420,unchanged
85,RegionB,79620,RegionB,79620,unchanged
86,RegionC,4740,RegionC,4740,unchanged
87,RegionB,89160,RegionB,89160,unchanged
88,RegionC,58920,RegionC,58920,unchanged
89,RegionC,59160,RegionC,59160,unchanged
90,RegionF,19320,RegionF,19320,unchanged
91,RegionF,119400,RegionF,119400,unchanged
92,RegionA,130860,RegionA,130860,unchanged
93,RegionA,31500,RegionA,31500,unchanged
94,RegionF,116760,RegionF,116760,unchanged
95,RegionE,40560,RegionE,40560,unchanged
96,RegionE,129660,RegionE,129660,unchanged
97,RegionF,103980,RegionF,103980,unchanged
98,RegionA,132480,RegionA,132480,unchanged
99,RegionF,49380,RegionF,49380,unchanged
100,RegionE,76620,RegionE,76620,unchanged
101,RegionC,91740,RegionC,91740,unchanged
102,RegionF,127140,RegionF,127140,unchanged
103,RegionE,29700,RegionE,29700,unchanged
104,RegionF,55200,RegionF,55200,unchanged
105,RegionA,83040,RegionA,83040,unchanged
106,RegionA,136080,RegionA,136080,unchanged
107,RegionB,54120,RegionB,54120,unchanged
108,RegionB,17400,RegionB,17400,unchanged
109,RegionE,14520,RegionE,14520,unchanged
110,RegionC,16560,RegionC,16560,unchanged
111,RegionA,81180,RegionA,81180,unchanged
112,RegionA,126300,RegionA,126300,unchanged
113,RegionB,68400,RegionB,68400,unchanged
114,RegionE,119340,RegionE,119340,unchanged
115,RegionC,132480,RegionC,132480,unchanged
116,RegionC,140280,RegionC,140280,unchanged
117,RegionE,116160,RegionE,116160,unchanged
118,RegionA,116220,RegionA,116220,unchanged
119,RegionC,46740,RegionC,46740,unchanged
120,RegionB,23820,RegionB,23820,unchanged
121,RegionE,105900,RegionE,105900,unchanged
122,RegionE,104040,RegionE,104040,unchanged
123,RegionE,114720,RegionE,114720,unchanged
124,RegionA,13260,RegionA,13260,unchanged
125,RegionF,24360,RegionF,24360,unchanged
126,RegionA,98940,RegionA,98940,unchanged
127,RegionD,83760,RegionD,83760,unchanged
128,RegionB,61080,RegionB,61080,unchanged
129,RegionC,46740,RegionC,46740,unchanged
130,RegionF,110220,RegionF,110220,unchanged
131,RegionA,103680,RegionA,103680,unchanged
132,RegionA,68400,RegionA,68400,unchanged
133,RegionB,61380,RegionB,61380,unchanged
134,RegionB,108900,RegionB,108900,unchanged
135,RegionE,24600,RegionE,24600,unchanged
136,RegionC,132840,RegionC,132840,unchanged
137,RegionA,22920,RegionA,22920,unchanged
138,RegionA,40860,RegionA,40860,unchanged
139,RegionB,119340,RegionB,119340,unchanged
140,RegionC,52500,RegionC,52500,unchanged
141,RegionD,14400,RegionD,14400,unchanged
142,RegionC,93120,RegionC,93120,unchanged
143,RegionD,95940,RegionD,95940,unchanged
144,RegionC,111780,RegionC,111780,unchanged
145,RegionB,103920,RegionB,103920,unchanged
146,RegionF,137040,RegionF,137040,unchanged
147,RegionE,119580,RegionE,119580,unchanged
148,RegionC,46620,RegionC,46620,unchanged
149,RegionE,53460,RegionE,53460,unchanged
150,RegionF,142320,RegionF,142320,unchanged
151,RegionC,133200,RegionC,133200,unchanged
152,RegionA,77040,RegionA,77040,unchanged
153,RegionB,12300,RegionB,12300,unchanged
154,RegionE,117120,RegionE,117120,unchanged
155,RegionE,131160,RegionE,131160,unchanged
156,RegionD,13920,RegionD,13920,unchanged
157,RegionC,20160,RegionC,20160,unchanged
158,RegionA,16800,RegionA,16800,unchanged
159,RegionE,16740,RegionE,16740,unchanged
160,RegionE,57780,RegionE,57780,unchanged
161,RegionD,29460,RegionD,29460,unchanged
162,RegionF,60480,RegionF,60480,unchanged
163,RegionE,9720,RegionE,9720,unchanged
164,RegionC,20100,RegionC,20100,unchanged
165,RegionB,143400,RegionB,143400,unchanged
166,RegionF,128880,RegionF,128880,unchanged
167,RegionE,64080,RegionE,64080,unchanged
168,RegionC,77160,RegionC,77160,unchanged
169,RegionC,65220,RegionC,65220,unchanged
170,RegionB,32160,RegionB,32160,unchanged
171,RegionE,73860,RegionE,73860,unchanged
172,RegionB,77700,RegionB,77700,unchanged
173,RegionB,2280,RegionB,2280,unchanged
174,RegionD,138360,RegionD,138360,unchanged
175,RegionC,18000,RegionC,18000,unchanged
176,RegionF,52380,RegionF,52380,unchanged
177,RegionC,65160,RegionC,65160,unchanged
178,RegionA,85740,RegionA,85740,unchanged
179,RegionB,60000,RegionB,60000,unchanged
180,RegionF,70020,RegionF,70020,unchanged
181,RegionC,107640,RegionC,107640,unchanged
182,RegionF,74340,RegionF,74340,unchanged
183,RegionA,129960,RegionA,129960,unchanged
184,RegionA,136260,RegionA,136260,unchanged
185,RegionC,25440,RegionC,25440,unchanged
186,RegionB,64980,RegionB,64980,unchanged
187,RegionB,26280,RegionB,26280,unchanged
188,RegionF,135960,RegionF,135960,unchanged
189,RegionE,66900,RegionE,66900,unchanged
190,RegionC,51720,RegionC,51720,unchanged
191,RegionF,84240,RegionF,84240,unchanged
192,RegionB,64860,RegionB,64860,unchanged
193,RegionE,120060,RegionE,120060,unchanged
194,RegionF,12480,RegionF,12480,unchanged
195,RegionC,104040,RegionC,104040,unchanged
196,RegionC,10860,RegionC,10860,unchanged
197,RegionA,81960,RegionA,81960,unchanged
198,RegionA,64320,RegionA,64320,unchanged
199,RegionB,108540,RegionB,108540,unchanged
200,RegionE,105060,RegionE,105060,unchanged
201,RegionF,2340,RegionF,2340,unchanged
202,RegionD,18480,RegionD,18480,unchanged
203,RegionB,36600,RegionB,36600,unchanged
204,RegionF,8880,RegionF,8880,unchanged
205,RegionB,143100,RegionB,143100,unchanged
206,RegionE,36360,RegionE,36360,unchanged
207,RegionE,31320,RegionE,31320,unchanged
208,RegionC,75720,RegionC,75720,unchanged
209,RegionE,9780,RegionE,9780,unchanged
210,RegionC,51720,RegionC,51720,unchanged
211,RegionF,61320,RegionF,61320,unchanged
212,RegionE,25380,RegionE,25380,unchanged
213,RegionF,137580,RegionF,137580,unchanged
214,RegionD,37980,RegionD,37980,unchanged
215,RegionD,39900,RegionD,39900,unchanged
216,RegionA,101280,RegionA,101280,unchanged
217,RegionA,44040,RegionA,44040,unchanged
218,RegionE,81600,RegionE,81600,unchanged
219,RegionC,60960,RegionC,60960,unchanged
220,RegionF,39120,RegionF,39120,unchanged
221,RegionE,26640,RegionE,26640,unchanged
222,RegionF,9480,RegionF,9480,unchanged
223,RegionB,54660,RegionB,54660,unchanged
224,RegionA,113100,RegionA,113100,unchanged
225,RegionC,75000,RegionC,75000,unchanged
226,RegionB,54780,RegionB,54780,unchanged
227,RegionC,47460,RegionC,47460,unchanged
228,RegionF,80640,RegionF,80640,unchanged
229,RegionB,17040,RegionB,17040,unchanged
230,RegionC,86280,RegionC,86280,unchanged
231,RegionD,125280,RegionD,125280,unchanged
232,RegionC,131760,RegionC,131760,unchanged
233,RegionE,6840,RegionE,6840,unchanged
234,RegionC,64140,RegionC,64140,unchanged
235,RegionE,142680,RegionE,142680,unchanged
236,RegionC,9360,RegionC,9360,unchanged
237,RegionA,106740,RegionA,106740,unchanged
238,RegionC,77040,RegionC,77040,unchanged
239,RegionD,125640,RegionD,125640,unchanged
240,RegionC,94620,RegionC,94620,unchanged
241,RegionE,46920,RegionE,46920,unchanged
242,RegionB,10860,RegionB,10860,unchanged
243,RegionF,107160,RegionF,107160,unchanged
244,RegionA,127740,RegionA,127740,unchanged
245,RegionE,48780,RegionE,48780,unchanged
246,RegionF,106020,RegionF,106020,unchanged
247,RegionC,81120,RegionC,81120,unchanged
248,RegionF,77100,RegionF,77100,unchanged
249,RegionB,30600,RegionB,30600,unchanged
250,RegionE,73920,RegionE,73920,unchanged
251,RegionE,75960,RegionE,75960,unchanged
252,RegionE,100320,RegionE,100320,unchanged
253,RegionE,98880,RegionE,98880,unchanged
254,RegionE,72780,RegionE,72780,unchanged
255,RegionF,31680,RegionF,31680,unchanged
256,RegionA,103320,RegionA,103320,unchanged
257,RegionE,93240,RegionE,93240,unchanged
258,RegionF,42720,RegionF,42720,unchanged
259,RegionE,139860,RegionE,139860,unchanged
260,RegionE,99780,RegionE,99780,unchanged
261,RegionF,60,RegionF,60,unchanged
262,RegionC,70500,RegionC,70500,unchanged
263,RegionA,105600,RegionA,105600,unchanged
264,RegionF,79140,RegionF,79140,unchanged
265,RegionC,108540,RegionC,108540,unchanged
266,RegionD,52500,RegionD,52500,unchanged
267,RegionF,116280,RegionF,116280,unchanged
268,RegionE,42120,RegionE,42120,unchanged
269,RegionC,20820,RegionC,20820,unchanged
270,RegionC,126660,RegionC,126660,unchanged
271,RegionE,82620,RegionE,82620,unchanged
272,RegionB,57720,RegionB,57720,unchanged
273,RegionE,76260,RegionE,76260,unchanged
274,RegionC,48900,RegionC,48900,unchanged
275,RegionA,6000,RegionA,6000,unchanged
276,RegionA,60120,RegionA,60120,unchanged
277,RegionB,17880,RegionB,17880,unchanged
278,RegionC,101820,RegionC,101820,unchanged
279,RegionE,141420,RegionE,141420,unchanged
280,RegionC,94320,RegionC,94320,unchanged
281,RegionF,98160,RegionF,98160,unchanged
282,RegionA,36240,RegionA,36240,unchanged
283,RegionF,1320,RegionF,1320,unchanged
284,RegionB,104460,RegionB,104460,unchanged
285,RegionB,43200,RegionB,43200,unchanged
286,RegionE,127260,RegionE,127260,unchanged
287,RegionE,12300,RegionE,12300,unchanged
288,RegionC,61260,RegionC,61260,unchanged
289,RegionA,112140,RegionA,112140,unchanged
290,RegionA,114180,RegionA,114180,unchanged
291,RegionF,130500,RegionF,130500,unchanged
292,RegionE,77940,RegionE,77940,unchanged
293,RegionE,124020,RegionE,124020,unchanged
294,RegionF,134640,RegionF,134640,unchanged
295,RegionA,39060,RegionA,39060,unchanged
296,RegionE,116760,RegionE,116760,unchanged
297,RegionC,63660,RegionC,63660,unchanged
298,RegionB,68100,RegionB,68100,unchanged
299,RegionE,119040,RegionE,119040,unchanged
300,RegionE,58740,RegionE,58740,unchanged
301,RegionB,108060,RegionB,108060,unchanged
302,RegionA,70200,RegionA,70200,unchanged
303,RegionA,66720,RegionA,66720,unchanged
304,RegionC,78540,RegionC,78540,unchanged
305,RegionE,19800,RegionE,19800,unchanged
306,RegionC,37020,RegionC,37020,unchanged
307,RegionD,94080,RegionD,94080,unchanged
308,RegionB,37500,RegionB,37500,unchanged
309,RegionF,52800,RegionF,52800,unchanged
310,RegionB,101940,RegionB,101940,unchanged
311,RegionC,81300,RegionC,81300,unchanged
312,RegionE,114480,RegionE,114480,unchanged
313,RegionE,15300,RegionE,15300,unchanged
314,RegionF,103200,RegionF,103200,unchanged
315,RegionC,143520,RegionC,143520,unchanged
316,RegionF,4800,RegionF,4800,unchanged
317,RegionF,93480,RegionF,93480,unchanged
318,RegionF,1440,RegionF,1440,unchanged
319,RegionE,73380,RegionE,73380,unchanged
320,RegionF,102960,RegionF,102960,unchanged
321,RegionB,134160,RegionB,134160,unchanged
322,RegionE,54840,RegionE,54840,unchanged
323,RegionB,53880,RegionB,53880,unchanged
324,RegionC,107100,RegionC,107100,unchanged
325,RegionD,7080,RegionD,7080,unchanged
326,RegionE,82560,RegionE,82560,unchanged
327,RegionF,99360,RegionF,99360,unchanged
328,RegionC,40560,RegionC,40560,unchanged
329,RegionC,31320,RegionC,31320,unchanged
330,RegionE,131640,RegionE,131640,unchanged
331,RegionB,96780,RegionB,96780,unchanged
332,RegionE,138660,RegionE,138660,unchanged
333,RegionE,6660,RegionE,6660,unchanged
334,RegionA,105300,RegionA,105300,unchanged
335,RegionA,113460,RegionA,113460,unchanged
336,RegionA,12300,RegionA,12300,unchanged
337,RegionC,93120,RegionC,93120,unchanged
338,RegionE,51960,RegionE,51960,unchanged
339,RegionE,80280,RegionE,80280,unchanged
340,RegionE,93120,RegionE,93120,unchanged
341,RegionB,103560,RegionB,103560,unchanged
342,RegionC,20100,RegionC,20100,unchanged
343,RegionC,4740,RegionC,4740,unchanged
344,RegionE,132540,RegionE,132540,unchanged
345,RegionC,85980,RegionC,85980,unchanged
346,RegionC,16860,RegionC,16860,unchanged
347,RegionC,9960,RegionC,9960,unchanged
348,RegionA,60720,RegionA,60720,unchanged
349,RegionA,4980,RegionA,4980,unchanged
350,RegionF,37560,RegionF,37560,unchanged
351,RegionB,31020,RegionB,31020,unchanged
352,RegionE,28080,RegionE,28080,unchanged
353,RegionF,53520,RegionF,53520,unchanged
354,RegionC,62940,RegionC,62940,unchanged
355,RegionC,41220,RegionC,41220,unchanged
356,RegionF,28140,RegionF,28140,unchanged
357,RegionB,76440,RegionB,76440,unchanged
358,RegionC,142200,RegionC,142200,unchanged
359,RegionC,76620,RegionC,76620,unchanged
360,RegionB,92280,RegionB,92280,unchanged
361,RegionC,48720,RegionC,48720,unchanged
362,RegionA,59640,RegionA,59640,unchanged
363,RegionB,74100,RegionB,74100,unchanged
364,RegionE,29700,RegionE,29700,unchanged
365,RegionF,10080,RegionF,10080,unchanged
366,RegionF,130920,RegionF,130920,unchanged
367,RegionB,91020,RegionB,91020,unchanged
368,RegionA,124320,RegionA,124320,unchanged
369,RegionD,83820,RegionD,83820,unchanged
370,RegionB,103200,RegionB,103200,unchanged
371,RegionF,25920,RegionF,25920,unchanged
372,RegionE,88980,RegionE,88980,unchanged
373,RegionF,112980,RegionF,112980,unchanged
374,RegionC,37560,RegionC,37560,unchanged
375,RegionB,43260,RegionB,43260,unchanged
376,RegionD,128220,RegionD,128220,unchanged
377,RegionE,66360,RegionE,66360,unchanged
378,RegionE,132240,RegionE,132240,unchanged
379,RegionF,114240,RegionF,114240,unchanged
380,RegionA,65940,RegionA,65940,unchanged
381,RegionC,60300,RegionC,60300,unchanged
382,RegionB,68520,RegionB,68520,unchanged
383,RegionC,59880,RegionC,59880,unchanged
384,RegionE,140040,RegionE,140040,unchanged
385,RegionE,93240,RegionE,93240,unchanged
386,RegionF,7020,RegionF,7020,unchanged
387,RegionC,79860,RegionC,79860,unchanged
388,RegionA,119820,RegionA,119820,unchanged
389,RegionB,87180,RegionB,87180,unchanged
390,RegionF,83640,RegionF,83640,unchanged
391,RegionF,67860,RegionF,67860,unchanged
392,RegionE,2460,RegionE,2460,unchanged
393,RegionB,47040,RegionB,47040,unchanged
394,RegionA,59280,RegionA,59280,unchanged
395,RegionF,99840,RegionF,99840,unchanged
396,RegionC,136440,RegionC,136440,unchanged
397,RegionB,117000,RegionB,117000,unchanged
398,RegionF,120600,RegionF,120600,unchanged
399,RegionF,4200,RegionF,4200,unchanged
400,RegionA,72300,RegionA,72300,unchanged
401,RegionA,99360,RegionA,99360,unchanged
402,RegionF,59820,RegionF,59820,unchanged
403,RegionD,142920,RegionD,142920,unchanged
404,RegionF,116280,RegionF,116280,unchanged
405,RegionE,130500,RegionE,130500,unchanged
406,RegionC,104520,RegionC,104520,unchanged
407,RegionF,135240,RegionF,135240,unchanged
408,RegionB,86460,RegionB,86460,unchanged
409,RegionF,111480,RegionF,111480,unchanged
410,RegionF,75300,RegionF,75300,unchanged
411,RegionE,56640,RegionE,56640,unchanged
412,RegionE,47280,RegionE,47280,unchanged
413,RegionC,29340,RegionC,29340,unchanged
414,RegionD,131640,RegionD,131640,unchanged
415,RegionF,45480,RegionF,45480,unchanged
416,RegionB,53160,RegionB,53160,unchanged
417,RegionE,118980,RegionE,118980,unchanged
418,RegionE,128880,RegionE,128880,unchanged
419,RegionC,69660,RegionC,69660,unchanged
420,RegionA,47700,RegionA,47700,unchanged
421,RegionC,55860,RegionC,55860,unchanged
422,RegionC,44040,RegionC,44040,unchanged
423,RegionD,3420,RegionD,3420,unchanged
424,RegionF,131220,RegionF,131220,unchanged
425,RegionD,67380,RegionD,67380,unchanged
426,RegionA,13380,RegionA,13380,unchanged
427,RegionF,71760,RegionF,71760,unchanged
428,RegionF,31020,RegionF,31020,unchanged
429,RegionE,120600,RegionE,120600,unchanged
430,RegionC,3000,RegionC,3000,unchanged
431,RegionF,69840,RegionF,69840,unchanged
432,RegionF,117600,RegionF,117600,unchanged
433,RegionA,83700,RegionA,83700,unchanged
434,RegionA,12600,RegionA,12600,unchanged
435,RegionC,117360,RegionC,117360,unchanged
436,RegionB,16020,RegionB,16020,unchanged
437,RegionD,120840,RegionD,120840,unchanged
438,RegionC,141780,RegionC,141780,unchanged
439,RegionC,13440,RegionC,13440,unchanged
440,RegionA,36660,RegionA,36660,unchanged
441,RegionE,74640,RegionE,74640,unchanged
442,RegionB,60960,RegionB,60960,unchanged
443,RegionC,137100,RegionC,137100,unchanged
444,RegionE,55440,RegionE,55440,unchanged
445,RegionF,93480,RegionF,93480,unchanged
446,RegionB,108780,RegionB,108780,unchanged
447,RegionB,105360,RegionB,105360,unchanged
448,RegionC,139740,RegionC,139740,unchanged
449,RegionE,14760,RegionE,14760,unchanged
450,RegionE,24360,RegionE,24360,unchanged
451,RegionC,51840,RegionC,51840,unchanged
452,RegionC,19920,RegionC,19920,unchanged
453,RegionA,58920,RegionA,58920,unchanged
454,RegionA,135600,RegionA,135600,unchanged
455,RegionB,38460,RegionB,38460,unchanged
456,RegionB,100380,RegionB,100380,unchanged
457,RegionE,115440,RegionE,115440,unchanged
458,RegionF,7980,RegionF,7980,unchanged
459,RegionA,70800,RegionA,70800,unchanged
460,RegionF,69660,RegionF,69660,unchanged
461,RegionF,111540,RegionF,111540,unchanged
462,RegionB,57360,RegionB,57360,unchanged
463,RegionE,48600,RegionE,48600,unchanged
464,RegionE,28200,RegionE,28200,unchanged
465,RegionC,55500,RegionC,55500,unchanged
466,RegionE,36660,RegionE,36660,unchanged
467,RegionB,34920,RegionB,34920,unchanged
468,RegionB,14640,RegionB,14640,unchanged
469,RegionB,75540,RegionB,75540,unchanged
470,RegionF,139860,RegionF,139860,unchanged
471,RegionF,107880,RegionF,107880,unchanged
472,RegionA,115140,RegionA,115140,unchanged
473,RegionE,74700,RegionE,74700,unchanged
474,RegionF,98880,RegionF,98880,unchanged
475,RegionC,122940,RegionC,122940,unchanged
476,RegionE,121320,RegionE,121320,unchanged
477,RegionE,19740,RegionE,19740,unchanged
478,RegionF,9840,RegionF,9840,unchanged
479,RegionC,79200,RegionC,79200,unchanged
480,RegionF,61920,RegionF,61920,unchanged
481,RegionB,22440,RegionB,22440,unchanged
482,RegionB,141360,RegionB,141360,unchanged
483,RegionF,5040,RegionF,5040,unchanged
484,RegionF,66180,RegionF,66180,unchanged
485,RegionB,10740,RegionB,10740,unchanged
486,RegionA,115620,RegionA,115620,unchanged
487,RegionF,108720,RegionF,108720,unchanged
488,RegionC,44580,RegionC,44580,unchanged
489,RegionE,107100,RegionE,107100,unchanged
490,RegionF,120840,RegionF,120840,unchanged
491,RegionF,115500,RegionF,115500,unchanged
492,RegionC,100320,RegionC,100320,unchanged
493,RegionB,78900,RegionB,78900,unchanged
494,RegionE,25680,RegionE,25680,unchanged
495,RegionB,81000,RegionB,81000,unchanged
496,RegionD,121740,RegionD,121740,unchanged
497,RegionF,98400,RegionF,98400,unchanged
498,RegionC,9060,RegionC,9060,unchanged
499,RegionB,21600,RegionB,21600,unchanged
500,RegionB,61980,RegionB,61980,unchanged
501,RegionC,28440,RegionC,28440,unchanged
502,RegionE,126420,RegionE,126420,unchanged
503,RegionC,133320,RegionC,133320,unchanged
504,RegionF,101520,RegionF,101520,unchanged
505,RegionA,46080,RegionA,46080,unchanged
506,RegionE,89040,RegionE,89040,unchanged
507,RegionF,122640,RegionF,122640,unchanged
508,RegionE,108600,RegionE,108600,unchanged
509,RegionC,49980,RegionC,49980,unchanged
510,RegionE,134940,RegionE,134940,unchanged
511,RegionA,70740,RegionA,70740,unchanged
512,RegionC,119100,RegionC,119100,unchanged
513,RegionA,7080,RegionA,7080,unchanged
514,RegionE,58800,RegionE,58800,unchanged
515,RegionE,38880,RegionE,38880,unchanged
516,RegionE,135360,RegionE,135360,unchanged
517,RegionE,135720,RegionE,135720,unchanged
518,RegionC,22860,RegionC,22860,unchanged
519,RegionA,27840,RegionA,27840,unchanged
520,RegionB,28860,RegionB,28860,unchanged
521,RegionE,37800,RegionE,37800,unchanged
522,RegionE,71700,RegionE,71700,unchanged
523,RegionF,67740,RegionF,67740,unchanged
524,RegionB,118560,RegionB,118560,unchanged
525,RegionB,59880,RegionB,59880,unchanged
526,RegionB,135420,RegionB,135420,unchanged
527,RegionB,94260,RegionB,94260,unchanged
528,RegionB,124860,RegionB,124860,unchanged
529,RegionF,33660,RegionF,33660,unchanged
530,RegionD,67860,RegionD,67860,unchanged
531,RegionA,83520,RegionA,83520,unchanged
532,RegionF,65640,RegionF,65640,unchanged
533,RegionB,69480,RegionB,69480,unchanged
534,RegionE,73320,RegionE,73320,unchanged
535,RegionE,142500,RegionE,142500,unchanged
536,RegionE,120420,RegionE,120420,unchanged
537,RegionF,109740,RegionF,109740,unchanged
538,RegionC,118980,RegionC,118980,unchanged
539,RegionC,81660,RegionC,81660,unchanged
540,RegionE,133560,RegionE,133560,unchanged
541,RegionF,111900,RegionF,111900,unchanged
542,RegionE,46320,RegionE,46320,unchanged
543,RegionE,58680,RegionE,58680,unchanged
544,RegionB,94080,RegionB,94080,unchanged
545,RegionA,100920,RegionA,100920,unchanged
546,RegionB,78180,RegionB,78180,unchanged
547,RegionE,116460,RegionE,116460,unchanged
548,RegionE,93660,RegionE,93660,unchanged
549,RegionE,37380,RegionE,37380,unchanged
550,RegionF,9060,RegionF,9060,unchanged
551,RegionA,123420,RegionA,123420,unchanged
552,RegionE,81960,RegionE,81960,unchanged
553,RegionB,108180,RegionB,108180,unchanged
554,RegionB,129240,RegionB,129240,unchanged
555,RegionF,3720,RegionF,3720,unchanged
556,RegionF,35400,RegionF,35400,unchanged
557,RegionB,37920,RegionB,37920,unchanged
558,RegionA,115380,RegionA,115380,unchanged
559,RegionC,83160,RegionC,83160,unchanged
560,RegionD,97800,RegionD,97800,unchanged
561,RegionE,19980,RegionE,19980,unchanged
562,RegionE,131100,RegionE,131100,unchanged
563,RegionF,77820,RegionF,77820,unchanged
564,RegionC,119880,RegionC,119880,unchanged
565,RegionF,8940,RegionF,8940,unchanged
566,RegionF,16800,RegionF,16800,unchanged
567,RegionB,70620,RegionB,70620,unchanged
568,RegionC,22200,RegionC,22200,unchanged
569,RegionE,24180,RegionE,24180,unchanged
570,RegionB,24660,RegionB,24660,unchanged
571,RegionB,40860,RegionB,40860,unchanged
572,RegionD,73680,RegionD,73680,unchanged
573,RegionB,11280,RegionB,11280,unchanged
574,RegionE,13980,RegionE,13980,unchanged
575,RegionE,88080,RegionE,88080,unchanged
576,RegionF,105840,RegionF,105840,unchanged
577,RegionA,60000,RegionA,60000,unchanged
578,RegionF,101280,RegionF,101280,unchanged
579,RegionE,44220,RegionE,44220,unchanged
580,RegionB,43020,RegionB,43020,unchanged
581,RegionC,93960,RegionC,93960,unchanged
582,RegionF,59160,RegionF,59160,unchanged
583,RegionB,143280,RegionB,143280,unchanged
584,RegionA,57060,RegionA,57060,unchanged
585,RegionB,62400,RegionB,62400,unchanged
586,RegionC,62700,RegionC,62700,unchanged
587,RegionE,2280,RegionE,2280,unchanged
588,RegionE,70680,RegionE,70680,unchanged
589,RegionF,134280,RegionF,134280,unchanged
590,RegionA,18120,RegionA,18120,unchanged
591,RegionB,84900,RegionB,84900,unchanged
592,RegionD,73620,RegionD,73620,unchanged
593,RegionE,104220,RegionE,104220,unchanged
594,RegionE,61440,RegionE,61440,unchanged
595,RegionE,74220,RegionE,74220,unchanged
596,RegionF,94500,RegionF,94500,unchanged
597,RegionC,26160,RegionC,26160,unchanged
598,RegionA,93720,RegionA,93720,unchanged
599,RegionF,88260,RegionF,88260,unchanged
600,RegionE,72660,RegionE,72660,unchanged
601,RegionE,72540,RegionE,72540,unchanged
602,RegionC,97260,RegionC,97260,unchanged
603,RegionA,1980,RegionA,1980,unchanged
604,RegionF,12180,RegionF,12180,unchanged
