Hour,Region,AvailableRenewable_MW,Total_Load_MW,ElectricityPrice_CNY_per_MWh,SellPrice_CNY_per_MWh,CarbonIntensity_tCO2_per_MWh,ChargePower_MW,DischargePower_MW,SOC_MWh,RenewableToLoad_MW,RenewableCharge_MW,GridCharge_MW,GridPurchase_MW,GridLoadPurchase_MW,GridSell_MW,Curtailment_MW,NetGridImport_MW,GridEnergyForCost_MW,Horizon_h,Method
10,RegionA,1100.00000000,531.71100000,724.61000000,0.00000000,0.59170000,0.00000000,0.00000000,157.50000000,531.71100000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,568.28900000,0.00000000,0.00000000,24,no_storage_renewable_first
11,RegionA,1089.78000000,506.10150000,725.04000000,0.00000000,0.58450000,0.00000000,0.00000000,157.50000000,506.10150000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,583.67850000,0.00000000,0.00000000,24,no_storage_renewable_first
12,RegionA,1059.81000000,466.47900000,725.48000000,0.00000000,0.58020000,0.00000000,0.00000000,157.50000000,466.47900000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,593.33100000,0.00000000,0.00000000,24,no_storage_renewable_first
13,RegionA,1012.13000000,443.66670000,725.90000000,0.00000000,0.57910000,0.00000000,0.00000000,157.50000000,443.66670000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,568.46330000,0.00000000,0.00000000,24,no_storage_renewable_first
14,RegionA,950.00000000,423.08730000,726.32000000,0.00000000,0.58140000,0.00000000,0.00000000,157.50000000,423.08730000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,526.91270000,0.00000000,0.00000000,24,no_storage_renewable_first
15,RegionA,877.65000000,379.06650000,726.74000000,0.00000000,0.58690000,0.00000000,0.00000000,157.50000000,379.06650000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,498.58350000,0.00000000,0.00000000,24,no_storage_renewable_first
16,RegionA,800.00000000,334.04400000,727.14000000,0.00000000,0.59540000,0.00000000,0.00000000,157.50000000,334.04400000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,465.95600000,0.00000000,0.00000000,24,no_storage_renewable_first
17,RegionA,722.35000000,316.91250000,1054.92000000,0.00000000,0.60620000,0.00000000,0.00000000,157.50000000,316.91250000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,405.43750000,0.00000000,0.00000000,24,no_storage_renewable_first
18,RegionA,650.00000000,299.44350000,1055.49000000,0.00000000,0.61880000,0.00000000,0.00000000,157.50000000,299.44350000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,350.55650000,0.00000000,0.00000000,24,no_storage_renewable_first
19,RegionA,587.87000000,386.49150000,1056.03000000,0.00000000,0.63210000,0.00000000,0.00000000,157.50000000,386.49150000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,201.37850000,0.00000000,0.00000000,24,no_storage_renewable_first
20,RegionA,540.19000000,330.88500000,1056.56000000,0.00000000,0.64550000,0.00000000,0.00000000,157.50000000,330.88500000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,209.30500000,0.00000000,0.00000000,24,no_storage_renewable_first
21,RegionA,510.22000000,376.12350000,1057.08000000,0.00000000,0.65800000,0.00000000,0.00000000,157.50000000,376.12350000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,134.09650000,0.00000000,0.00000000,24,no_storage_renewable_first
22,RegionA,500.00000000,388.00350000,656.43000000,0.00000000,0.66870000,0.00000000,0.00000000,157.50000000,388.00350000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,111.99650000,0.00000000,0.00000000,24,no_storage_renewable_first
23,RegionA,510.22000000,408.92850000,656.73000000,0.00000000,0.67710000,0.00000000,0.00000000,157.50000000,408.92850000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,101.29150000,0.00000000,0.00000000,24,no_storage_renewable_first
0,RegionB,540.19000000,458.74350000,448.50000000,0.00000000,0.62480000,0.00000000,0.00000000,144.00000000,458.74350000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,81.44650000,0.00000000,0.00000000,24,no_storage_renewable_first
1,RegionB,587.87000000,527.33700000,448.79000000,0.00000000,0.62710000,0.00000000,0.00000000,144.00000000,527.33700000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,60.53300000,0.00000000,0.00000000,24,no_storage_renewable_first
2,RegionB,650.00000000,531.36000000,449.08000000,0.00000000,0.62610000,0.00000000,0.00000000,144.00000000,531.36000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,118.64000000,0.00000000,0.00000000,24,no_storage_renewable_first
3,RegionB,722.35000000,531.36000000,449.38000000,0.00000000,0.62210000,0.00000000,0.00000000,144.00000000,531.36000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,190.99000000,0.00000000,0.00000000,24,no_storage_renewable_first
4,RegionB,800.00000000,531.36000000,449.67000000,0.00000000,0.61540000,0.00000000,0.00000000,144.00000000,531.36000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,268.64000000,0.00000000,0.00000000,24,no_storage_renewable_first
5,RegionB,877.65000000,531.36000000,449.96000000,0.00000000,0.60640000,0.00000000,0.00000000,144.00000000,531.36000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,346.29000000,0.00000000,0.00000000,24,no_storage_renewable_first
6,RegionB,950.00000000,531.36000000,450.24000000,0.00000000,0.59590000,0.00000000,0.00000000,144.00000000,531.36000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,418.64000000,0.00000000,0.00000000,24,no_storage_renewable_first
7,RegionB,1012.13000000,531.36000000,693.12000000,0.00000000,0.58450000,0.00000000,0.00000000,144.00000000,531.36000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,480.77000000,0.00000000,0.00000000,24,no_storage_renewable_first
8,RegionB,1059.81000000,531.36000000,693.56000000,0.00000000,0.57310000,0.00000000,0.00000000,144.00000000,531.36000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,528.45000000,0.00000000,0.00000000,24,no_storage_renewable_first
9,RegionB,1089.78000000,531.36000000,693.99000000,0.00000000,0.56250000,0.00000000,0.00000000,144.00000000,531.36000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,558.42000000,0.00000000,0.00000000,24,no_storage_renewable_first
10,RegionB,1100.00000000,531.36000000,694.41000000,0.00000000,0.55350000,0.00000000,0.00000000,144.00000000,531.36000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,568.64000000,0.00000000,0.00000000,24,no_storage_renewable_first
11,RegionB,1089.78000000,531.36000000,694.83000000,0.00000000,0.54680000,0.00000000,0.00000000,144.00000000,531.36000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,558.42000000,0.00000000,0.00000000,24,no_storage_renewable_first
12,RegionB,1059.81000000,482.38200000,695.25000000,0.00000000,0.54270000,0.00000000,0.00000000,144.00000000,482.38200000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,577.42800000,0.00000000,0.00000000,24,no_storage_renewable_first
13,RegionB,1012.13000000,443.23600000,695.66000000,0.00000000,0.54170000,0.00000000,0.00000000,144.00000000,443.23600000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,568.89400000,0.00000000,0.00000000,24,no_storage_renewable_first
14,RegionB,950.00000000,422.43390000,696.06000000,0.00000000,0.54390000,0.00000000,0.00000000,144.00000000,422.43390000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,527.56610000,0.00000000,0.00000000,24,no_storage_renewable_first
15,RegionB,877.65000000,377.50050000,696.45000000,0.00000000,0.54910000,0.00000000,0.00000000,144.00000000,377.50050000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,500.14950000,0.00000000,0.00000000,24,no_storage_renewable_first
16,RegionB,800.00000000,341.65940000,696.84000000,0.00000000,0.55700000,0.00000000,0.00000000,144.00000000,341.65940000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,458.34060000,0.00000000,0.00000000,24,no_storage_renewable_first
17,RegionB,722.35000000,344.73600000,1010.97000000,0.00000000,0.56710000,0.00000000,0.00000000,144.00000000,344.73600000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,377.61400000,0.00000000,0.00000000,24,no_storage_renewable_first
18,RegionB,650.00000000,291.10050000,1011.51000000,0.00000000,0.57880000,0.00000000,0.00000000,144.00000000,291.10050000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,358.89950000,0.00000000,0.00000000,24,no_storage_renewable_first
19,RegionB,587.87000000,336.97350000,1012.03000000,0.00000000,0.59130000,0.00000000,0.00000000,144.00000000,336.97350000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,250.89650000,0.00000000,0.00000000,24,no_storage_renewable_first
20,RegionB,540.19000000,356.07600000,1012.54000000,0.00000000,0.60380000,0.00000000,0.00000000,144.00000000,356.07600000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,184.11400000,0.00000000,0.00000000,24,no_storage_renewable_first
21,RegionB,510.22000000,375.32700000,1013.04000000,0.00000000,0.61550000,0.00000000,0.00000000,144.00000000,375.32700000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,134.89300000,0.00000000,0.00000000,24,no_storage_renewable_first
22,RegionB,500.00000000,423.63000000,629.08000000,0.00000000,0.62560000,0.00000000,0.00000000,144.00000000,423.63000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,76.37000000,0.00000000,0.00000000,24,no_storage_renewable_first
23,RegionB,510.22000000,444.74400000,629.37000000,0.00000000,0.63340000,0.00000000,0.00000000,144.00000000,444.74400000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,65.47600000,0.00000000,0.00000000,24,no_storage_renewable_first
0,RegionC,540.19000000,468.10980000,435.50000000,0.00000000,0.59250000,0.00000000,0.00000000,135.00000000,468.10980000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,72.08020000,0.00000000,0.00000000,24,no_storage_renewable_first
1,RegionC,587.87000000,536.54400000,435.78000000,0.00000000,0.59460000,0.00000000,0.00000000,135.00000000,536.54400000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,51.32600000,0.00000000,0.00000000,24,no_storage_renewable_first
2,RegionC,650.00000000,536.54400000,436.07000000,0.00000000,0.59370000,0.00000000,0.00000000,135.00000000,536.54400000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,113.45600000,0.00000000,0.00000000,24,no_storage_renewable_first
3,RegionC,722.35000000,536.54400000,436.35000000,0.00000000,0.59000000,0.00000000,0.00000000,135.00000000,536.54400000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,185.80600000,0.00000000,0.00000000,24,no_storage_renewable_first
4,RegionC,800.00000000,536.54400000,436.63000000,0.00000000,0.58360000,0.00000000,0.00000000,135.00000000,536.54400000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,263.45600000,0.00000000,0.00000000,24,no_storage_renewable_first
5,RegionC,877.65000000,536.54400000,436.91000000,0.00000000,0.57510000,0.00000000,0.00000000,135.00000000,536.54400000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,341.10600000,0.00000000,0.00000000,24,no_storage_renewable_first
6,RegionC,950.00000000,536.54400000,437.19000000,0.00000000,0.56510000,0.00000000,0.00000000,135.00000000,536.54400000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,413.45600000,0.00000000,0.00000000,24,no_storage_renewable_first
7,RegionC,1012.13000000,536.54400000,673.03000000,0.00000000,0.55430000,0.00000000,0.00000000,135.00000000,536.54400000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,475.58600000,0.00000000,0.00000000,24,no_storage_renewable_first
8,RegionC,1059.81000000,536.54400000,673.45000000,0.00000000,0.54350000,0.00000000,0.00000000,135.00000000,536.54400000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,523.26600000,0.00000000,0.00000000,24,no_storage_renewable_first
9,RegionC,1089.78000000,536.54400000,673.87000000,0.00000000,0.53340000,0.00000000,0.00000000,135.00000000,536.54400000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,553.23600000,0.00000000,0.00000000,24,no_storage_renewable_first
10,RegionC,1100.00000000,536.54400000,674.29000000,0.00000000,0.52490000,0.00000000,0.00000000,135.00000000,536.54400000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,563.45600000,0.00000000,0.00000000,24,no_storage_renewable_first
11,RegionC,1089.78000000,527.85000000,674.69000000,0.00000000,0.51850000,0.00000000,0.00000000,135.00000000,527.85000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,561.93000000,0.00000000,0.00000000,24,no_storage_renewable_first
12,RegionC,1059.81000000,474.41640000,675.10000000,0.00000000,0.51470000,0.00000000,0.00000000,135.00000000,474.41640000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,585.39360000,0.00000000,0.00000000,24,no_storage_renewable_first
13,RegionC,1012.13000000,464.81160000,675.49000000,0.00000000,0.51370000,0.00000000,0.00000000,135.00000000,464.81160000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,547.31840000,0.00000000,0.00000000,24,no_storage_renewable_first
14,RegionC,950.00000000,429.90310000,675.88000000,0.00000000,0.51570000,0.00000000,0.00000000,135.00000000,429.90310000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,520.09690000,0.00000000,0.00000000,24,no_storage_renewable_first
15,RegionC,877.65000000,386.56420000,676.27000000,0.00000000,0.52070000,0.00000000,0.00000000,135.00000000,386.56420000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,491.08580000,0.00000000,0.00000000,24,no_storage_renewable_first
16,RegionC,800.00000000,342.13100000,676.64000000,0.00000000,0.52820000,0.00000000,0.00000000,135.00000000,342.13100000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,457.86900000,0.00000000,0.00000000,24,no_storage_renewable_first
17,RegionC,722.35000000,368.80500000,981.67000000,0.00000000,0.53780000,0.00000000,0.00000000,135.00000000,368.80500000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,353.54500000,0.00000000,0.00000000,24,no_storage_renewable_first
18,RegionC,650.00000000,293.00160000,982.19000000,0.00000000,0.54890000,0.00000000,0.00000000,135.00000000,293.00160000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,356.99840000,0.00000000,0.00000000,24,no_storage_renewable_first
19,RegionC,587.87000000,312.79080000,982.70000000,0.00000000,0.56080000,0.00000000,0.00000000,135.00000000,312.79080000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,275.07920000,0.00000000,0.00000000,24,no_storage_renewable_first
20,RegionC,540.19000000,349.69200000,983.19000000,0.00000000,0.57260000,0.00000000,0.00000000,135.00000000,349.69200000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,190.49800000,0.00000000,0.00000000,24,no_storage_renewable_first
21,RegionC,510.22000000,364.59600000,983.67000000,0.00000000,0.58370000,0.00000000,0.00000000,135.00000000,364.59600000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,145.62400000,0.00000000,0.00000000,24,no_storage_renewable_first
22,RegionC,500.00000000,400.51740000,610.85000000,0.00000000,0.59320000,0.00000000,0.00000000,135.00000000,400.51740000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,99.48260000,0.00000000,0.00000000,24,no_storage_renewable_first
23,RegionC,510.22000000,455.66220000,611.13000000,0.00000000,0.60060000,0.00000000,0.00000000,135.00000000,455.66220000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,54.55780000,0.00000000,0.00000000,24,no_storage_renewable_first
0,RegionD,540.19000000,443.34080000,279.50000000,218.01000000,0.45250000,0.00000000,0.00000000,405.00000000,443.34080000,0.00000000,0.00000000,0.00000000,0.00000000,96.84920000,0.00000000,-96.84920000,0.00000000,24,no_storage_renewable_first
1,RegionD,587.87000000,465.35680000,279.68000000,218.15000000,0.45410000,0.00000000,0.00000000,405.00000000,465.35680000,0.00000000,0.00000000,0.00000000,0.00000000,122.51320000,0.00000000,-122.51320000,0.00000000,24,no_storage_renewable_first
2,RegionD,650.00000000,526.20800000,279.86000000,218.29000000,0.45340000,0.00000000,0.00000000,405.00000000,526.20800000,0.00000000,0.00000000,0.00000000,0.00000000,123.79200000,0.00000000,-123.79200000,0.00000000,24,no_storage_renewable_first
3,RegionD,722.35000000,523.91680000,280.05000000,218.44000000,0.45050000,0.00000000,0.00000000,405.00000000,523.91680000,0.00000000,0.00000000,0.00000000,0.00000000,180.00000000,18.43320000,-180.00000000,0.00000000,24,no_storage_renewable_first
4,RegionD,800.00000000,588.21120000,280.23000000,218.58000000,0.44560000,0.00000000,0.00000000,405.00000000,588.21120000,0.00000000,0.00000000,0.00000000,0.00000000,180.00000000,31.78880000,-180.00000000,0.00000000,24,no_storage_renewable_first
5,RegionD,877.65000000,589.36320000,280.41000000,218.72000000,0.43910000,0.00000000,0.00000000,405.00000000,589.36320000,0.00000000,0.00000000,0.00000000,0.00000000,180.00000000,108.28680000,-180.00000000,0.00000000,24,no_storage_renewable_first
6,RegionD,950.00000000,587.34080000,280.59000000,218.86000000,0.43150000,0.00000000,0.00000000,405.00000000,587.34080000,0.00000000,0.00000000,0.00000000,0.00000000,180.00000000,182.65920000,-180.00000000,0.00000000,24,no_storage_renewable_first
7,RegionD,1012.13000000,607.41120000,431.95000000,336.92000000,0.42330000,0.00000000,0.00000000,405.00000000,607.41120000,0.00000000,0.00000000,0.00000000,0.00000000,180.00000000,224.71880000,-180.00000000,0.00000000,24,no_storage_renewable_first
8,RegionD,1059.81000000,580.31360000,432.22000000,337.13000000,0.41500000,0.00000000,0.00000000,405.00000000,580.31360000,0.00000000,0.00000000,0.00000000,0.00000000,180.00000000,299.49640000,-180.00000000,0.00000000,24,no_storage_renewable_first
9,RegionD,1089.78000000,548.33920000,432.48000000,337.33000000,0.40740000,0.00000000,0.00000000,405.00000000,548.33920000,0.00000000,0.00000000,0.00000000,0.00000000,180.00000000,361.44080000,-180.00000000,0.00000000,24,no_storage_renewable_first
10,RegionD,1100.00000000,541.83680000,432.75000000,337.55000000,0.40080000,0.00000000,0.00000000,405.00000000,541.83680000,0.00000000,0.00000000,0.00000000,0.00000000,180.00000000,378.16320000,-180.00000000,0.00000000,24,no_storage_renewable_first
11,RegionD,1089.78000000,488.72960000,433.01000000,337.75000000,0.39590000,0.00000000,0.00000000,405.00000000,488.72960000,0.00000000,0.00000000,0.00000000,0.00000000,180.00000000,421.05040000,-180.00000000,0.00000000,24,no_storage_renewable_first
12,RegionD,1059.81000000,452.16000000,433.27000000,337.95000000,0.39300000,0.00000000,0.00000000,405.00000000,452.16000000,0.00000000,0.00000000,0.00000000,0.00000000,180.00000000,427.65000000,-180.00000000,0.00000000,24,no_storage_renewable_first
13,RegionD,1012.13000000,453.54240000,433.53000000,338.15000000,0.39230000,0.00000000,0.00000000,405.00000000,453.54240000,0.00000000,0.00000000,0.00000000,0.00000000,180.00000000,378.58760000,-180.00000000,0.00000000,24,no_storage_renewable_first
14,RegionD,950.00000000,390.13120000,433.78000000,338.35000000,0.39380000,0.00000000,0.00000000,405.00000000,390.13120000,0.00000000,0.00000000,0.00000000,0.00000000,180.00000000,379.86880000,-180.00000000,0.00000000,24,no_storage_renewable_first
15,RegionD,877.65000000,388.65150000,434.02000000,338.54000000,0.39760000,0.00000000,0.00000000,405.00000000,388.65150000,0.00000000,0.00000000,0.00000000,0.00000000,180.00000000,308.99850000,-180.00000000,0.00000000,24,no_storage_renewable_first
16,RegionD,800.00000000,334.78400000,434.26000000,338.72000000,0.40330000,0.00000000,0.00000000,405.00000000,334.78400000,0.00000000,0.00000000,0.00000000,0.00000000,180.00000000,285.21600000,-180.00000000,0.00000000,24,no_storage_renewable_first
17,RegionD,722.35000000,308.67200000,630.02000000,491.42000000,0.41070000,0.00000000,0.00000000,405.00000000,308.67200000,0.00000000,0.00000000,0.00000000,0.00000000,180.00000000,233.67800000,-180.00000000,0.00000000,24,no_storage_renewable_first
18,RegionD,650.00000000,262.92480000,630.36000000,491.68000000,0.41920000,0.00000000,0.00000000,405.00000000,262.92480000,0.00000000,0.00000000,0.00000000,0.00000000,180.00000000,207.07520000,-180.00000000,0.00000000,24,no_storage_renewable_first
19,RegionD,587.87000000,293.09440000,630.69000000,491.94000000,0.42820000,0.00000000,0.00000000,405.00000000,293.09440000,0.00000000,0.00000000,0.00000000,0.00000000,180.00000000,114.77560000,-180.00000000,0.00000000,24,no_storage_renewable_first
20,RegionD,540.19000000,279.11680000,631.00000000,492.18000000,0.43730000,0.00000000,0.00000000,405.00000000,279.11680000,0.00000000,0.00000000,0.00000000,0.00000000,180.00000000,81.07320000,-180.00000000,0.00000000,24,no_storage_renewable_first
21,RegionD,510.22000000,307.49440000,631.31000000,492.42000000,0.44570000,0.00000000,0.00000000,405.00000000,307.49440000,0.00000000,0.00000000,0.00000000,0.00000000,180.00000000,22.72560000,-180.00000000,0.00000000,24,no_storage_renewable_first
22,RegionD,500.00000000,349.82400000,392.04000000,305.79000000,0.45300000,0.00000000,0.00000000,405.00000000,349.82400000,0.00000000,0.00000000,0.00000000,0.00000000,150.17600000,0.00000000,-150.17600000,0.00000000,24,no_storage_renewable_first
23,RegionD,510.22000000,412.64640000,392.22000000,305.93000000,0.45860000,0.00000000,0.00000000,405.00000000,412.64640000,0.00000000,0.00000000,0.00000000,0.00000000,97.57360000,0.00000000,-97.57360000,0.00000000,24,no_storage_renewable_first
0,RegionE,540.19000000,448.41250000,247.00000000,192.66000000,0.23700000,0.00000000,0.00000000,370.00000000,448.41250000,0.00000000,0.00000000,0.00000000,0.00000000,91.77750000,0.00000000,-91.77750000,0.00000000,24,no_storage_renewable_first
1,RegionE,587.87000000,497.23750000,247.16000000,192.78000000,0.23780000,0.00000000,0.00000000,370.00000000,497.23750000,0.00000000,0.00000000,0.00000000,0.00000000,90.63250000,0.00000000,-90.63250000,0.00000000,24,no_storage_renewable_first
2,RegionE,650.00000000,503.40000000,247.32000000,192.91000000,0.23750000,0.00000000,0.00000000,370.00000000,503.40000000,0.00000000,0.00000000,0.00000000,0.00000000,146.60000000,0.00000000,-146.60000000,0.00000000,24,no_storage_renewable_first
3,RegionE,722.35000000,545.00000000,247.48000000,193.03000000,0.23600000,0.00000000,0.00000000,370.00000000,545.00000000,0.00000000,0.00000000,0.00000000,0.00000000,177.35000000,0.00000000,-177.35000000,0.00000000,24,no_storage_renewable_first
4,RegionE,800.00000000,556.68750000,247.64000000,193.16000000,0.23340000,0.00000000,0.00000000,370.00000000,556.68750000,0.00000000,0.00000000,0.00000000,0.00000000,220.00000000,23.31250000,-220.00000000,0.00000000,24,no_storage_renewable_first
5,RegionE,877.65000000,570.31250000,247.80000000,193.28000000,0.23000000,0.00000000,0.00000000,370.00000000,570.31250000,0.00000000,0.00000000,0.00000000,0.00000000,220.00000000,87.33750000,-220.00000000,0.00000000,24,no_storage_renewable_first
6,RegionE,950.00000000,591.88750000,247.96000000,193.41000000,0.22600000,0.00000000,0.00000000,370.00000000,591.88750000,0.00000000,0.00000000,0.00000000,0.00000000,220.00000000,138.11250000,-220.00000000,0.00000000,24,no_storage_renewable_first
7,RegionE,1012.13000000,585.02500000,381.72000000,297.74000000,0.22170000,0.00000000,0.00000000,370.00000000,585.02500000,0.00000000,0.00000000,0.00000000,0.00000000,220.00000000,207.10500000,-220.00000000,0.00000000,24,no_storage_renewable_first
8,RegionE,1059.81000000,549.15000000,381.96000000,297.93000000,0.21740000,0.00000000,0.00000000,370.00000000,549.15000000,0.00000000,0.00000000,0.00000000,0.00000000,220.00000000,290.66000000,-220.00000000,0.00000000,24,no_storage_renewable_first
9,RegionE,1089.78000000,566.01250000,382.20000000,298.12000000,0.21340000,0.00000000,0.00000000,370.00000000,566.01250000,0.00000000,0.00000000,0.00000000,0.00000000,220.00000000,303.76750000,-220.00000000,0.00000000,24,no_storage_renewable_first
10,RegionE,1100.00000000,533.08750000,382.43000000,298.30000000,0.21000000,0.00000000,0.00000000,370.00000000,533.08750000,0.00000000,0.00000000,0.00000000,0.00000000,220.00000000,346.91250000,-220.00000000,0.00000000,24,no_storage_renewable_first
11,RegionE,1089.78000000,452.58750000,382.66000000,298.47000000,0.20740000,0.00000000,0.00000000,370.00000000,452.58750000,0.00000000,0.00000000,0.00000000,0.00000000,220.00000000,417.19250000,-220.00000000,0.00000000,24,no_storage_renewable_first
12,RegionE,1059.81000000,443.68500000,382.89000000,298.65000000,0.20590000,0.00000000,0.00000000,370.00000000,443.68500000,0.00000000,0.00000000,0.00000000,0.00000000,220.00000000,396.12500000,-220.00000000,0.00000000,24,no_storage_renewable_first
13,RegionE,1012.13000000,430.68120000,383.12000000,298.83000000,0.20550000,0.00000000,0.00000000,370.00000000,430.68120000,0.00000000,0.00000000,0.00000000,0.00000000,220.00000000,361.44880000,-220.00000000,0.00000000,24,no_storage_renewable_first
